Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Uh, I guess, uh, I've always been kind of interested in, in, space and stuff.",major topic start,,Talking about space
A,"I've, read a lot of the, the, uh, astronomy books and, and stuff like that. Uh,",minor topic start,,How much they're following space
B,Uh-huh.,,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,"Have you been following the, uh, the progress of the space health code ?",,,
A,"Uh, to a degree.",,,
A,"I haven't kept up as, uh, much as I would like,",,,
B,Uh-huh.,,,
A,"I've just been so busy, uh,",,,
B,Uh-huh.,,,
A,"I barely get a chance to read a newspaper now and then,",,,
A,so.,,,
B,Yeah.,,,
B,"I think it's pretty exciting that they can, uh,",minor topic end,,
B,"it would be interesting to see if they can find, uh, other planets that are, that will be more habitable to, uh, you know, uh, humans",minor topic end,,Discuss their possibilities of space travel
B,"and, uh, yeah,",,,
B,"I think I would be very interested in space travel in the future if, uh, if it, you know, if it is at all possible.",,,
A,Yeah.,,,
A,"Well, I wouldn't even mind, uh, being a pilot on one,",,,
A,or right now,,,
A,but I'm probably getting a little too old for that.,,,
B,"Well, I know if they make the advances that they have been making, that, uh, maybe age will no longer, age or even physical, uh, abilities may not be, uh, a barrier anymore.",,,
A,Right.,,,
A,Yeah.,,,
A,"Well, they, they just made leaps and jumps.",minor topic end,,
A,"I think a lot of our, our technology we have is, is quite a bit due to lot of the space travel, uh, uh, equipment and stuff that,",off topic end,,They relate space travel to other inventions like Velcro
B,"Yeah,",,,
B,"I agree. Uh,",,,
B,"as a matter of fact we're the ones that I have been to Houston to, to, you know, to visit the, uh, space center out there,",,,
B,"and, uh, one of the big advances that we use every day now is Velcro",,,
A,Uh-huh.,,,
B,"and, uh, that vacuum , uh, little space program was one of the big, you know, backers of that.",,,
A,Yeah.,,,
B,"It's amazing, you know,",,,
B,"you,",,,
B,it's hard to imagine what life was like without it now.,,,
A,Yeah.,,,
A,"I don't know if you ever watch Gallagher , you know,",,,
A,he's one of the comedians,,,
A,"and and, you know, he, he talks a lot on, on Velcro.",,,
B,"Uh-huh,",,,
B,"yeah,",,,
B,I've seen him before.,,,
A,what would we do without it?,,,
B,Yeah.,,,
B,we were talking about that just the other day.,,,
B,What did we do without it back then?,,,
A,Yeah.,,,
B,I guess there was a lot of buttons and a lot of zippers and snaps.,,,
A,Yeah.,,,
A,"Yeah,",,,
A,"there's, there's a lot of, a lot of little things that have come up .",,,
A,"I know maybe some of the big things that, uh, uh,",,,
A,concentrated foods for one maybe,,,
A,"I Uh, I don't know",,,
B,That's right.,,,
B,That's right.,off topic end,major topic end,
A,"it's also just I've, I've often pictured, uh, in my mind, you know, what it would be like to just, what would you find if you just kept on going, kept on going?",major topic start,,Philosophical discussion about humans and their motivations
B,Uh-huh.,,,
B,That's true.,,,
A,"Uh, I guess our minds are so, uh, uh, what is it? Uh, finite",minor topic start,,Finite nature of mind
B,Uh-huh.,,,
A,"when we try and picture the universe as an infinite object, and it's hard to, to see, you know.",,,
B,Uh-huh.,,,
B,Yeah.,,,
A,"I always thought well, what do you do hit a brick wall, eventually.",,,
A,It's hard to consider that something could go on indefinitely.,,,
B,"Yeah,",,,
B,"that, that is, uh, that is something that would be hard to think about.",,,
B,I agree.,,,
B,You know like you say we're used to finite things,,,
B,and something that is infinite and just incomprehensible.,,,
A,Yeah.,,,
A,"But,",,,
B,"But, uh, yeah,",,,
B,"I would like to see them, uh, do more in that area to make space travel more, uh, something that the ordinary person can, uh, enjoy.",,,
A,Yeah.,minor topic end,,
A,I know it's I think it's in people's nature to be the first to do something.,minor topic start,,Talk about people's desire to be first
B,Uh-huh.,,,
A,"And I, I'd love to be the first one to step on a planet or some like, you know,",,,
B,Yeah.,,,
B,"Yeah,",,,
B,me too.,minor topic end,,
B,"I wouldn't even mind being not so much being first but just, uh, get out there and, and just explore.",minor topic start,,Discuss people's thirst for exploration
A,Yeah.,,,
B,"I think, uh, it's in everyone's nature to some degree to want to get out and explore something they haven't, or experience something, you know, indifferent.",,,
A,Huh.,,,
A,"I think that's what made us, uh, progress to the state we are is our curiosity.",,,
B,"Oh, sure.",,,
B,Sure.,,,
B,Of course.,,,
B,That's true.,minor topic end,,
A,There must be some better better way of doing this.,minor topic start,,Talk about a better way of doing things
A,"A better place to be or whatever, you know",,,
A,"it's,",,,
B,Uh-huh.,,,
A,"So you, you are always looking for something better.",,,
B,"Yeah,",,,
B,that's true.,,,
A,"I know at work, uh, people always complain to me",,,
A,"I, well, you are always whining",,,
A,"and, it's, I'm always looking for something better. Uh,",,,
B,Yeah,,,
A,There's a better way of doing it than what we are doing it.,,,
B,That's right.,,,
B,That's right.,,,
B,"And if you are just content with being, you know, with the way things are then, you know, then you must lead, lead a pretty dull life.",,,
A,Yeah.,,,
B,Because if,,,
A,"Well, they are always finding easier ways",,,
A,"and, you know, just because they don't talk about it or something like that.",,,
B,Uh-huh.,,,
A,"And they are doing it you know, unconsciously.",,,
B,"Yeah,",,,
B,"I guess, uh, you don't really think about it too much.",,,
B,I guess you are always finding newer ways and better ways of doing stuff,,,
B,but,,,
B,"it, it's in a subconscious, you know, thing.",,,
B,"You know, somewhere they can sit down and write down what, you know, things that you've improved upon,",,,
B,you probably wouldn't have a pretty good list.,,,
A,Uh-huh.,,,
B,But you just don't think about them.,,,
A,Right.,,,
B,And that's true.,,,
B,"I think, uh, you know,",minor topic end,major topic end,
B,"we've gotten different programs at work, you know, to, to, uh, make it visible to management that we are doing things better,",,,
