Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Do you use credit cards a good bit?,major topic start,,"Uses of credit cards
"
B,"I do,",,,
B,and I wish I didn't,,,
A,Uh.,,,
B,"Before I got married, uh, about the only credit cards I used were gas cards, because I didn't like carrying, you know  the cash  with me all the time,",off topic start,,Speaker B his first interaction with credict cards
A,Uh-huh.,,,
B,but I just never wanted to get into the hang-up of using credit cards and having all those bills hanging over my head.,,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"In fact, I remember getting my first MasterCard,",,,
B,"and the only reason I got it was, you know, there was a while years ago when you couldn't cash a check without like a MasterCard or VISA.",,,
A,Okay.,,,
A,Absolutely.,,,
A,Right.,,,
B,And so that's why I went ahead and got one.,,,
A,Uh-huh.,,,
B,It was a mistake,,,
A,Yeah.,off topic end,,
A,"Well, actually, I, I have a whole wallet full of credit cards.",,,
B,Yeah.,,,
A,I don't use them very often.,,,
A,"Um, oh, I may use, I try to use at least one gasoline credit card a week, and try to use a different one, so that, you know, I have, keep those active.",,,
B,Yeah.,,,
A,"I have a half a dozen department store credit cards,",,,
A,"and I, I'll use those if I need to run in and buy a dozen pair hose right quick or something like that,",,,
B,Yeah.,,,
A,just enough to keep them active.,,,
A,"My biggies are the VISA, MasterCard and Discover.",,,
B,Yeah.,,,
A,"And for the most part, I had used those for like, uh, charging airline tickets, where I can pay for those, you know, you could make the transaction over the telephone,",,,
B,Yeah.,,,
A,"or I fly Southwest a good little bit, which means I can just run that card through the machine.",,,
B,That's right.,,,
A,"Uh, and it saves a lot time.",,,
A,And that's what I was using it for.,,,
A,"However, we had a, had a, a very pressing financial family crisis, which said you have no alternative,",off topic start,,Personal usage of credit card by A
A,"you must have the money to do this with,",,,
A,and you do not have any other options,,,
B,Uh-huh.,,,
A,"so I charged all three of those cards up,",,,
A,and right now I am paying and praying.,,,
B,I know how that goes,,,
A,"But, uh,",off topic end,,
B,"and that's exactly what we've, I mean I have to say I have been thankful for them, because there were times when it was just like that when we had to have the money",,,
A,Uh-huh.,,,
A,Uh-huh,,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,we had no way around it,,,
A,Uh-huh.,,,
B,"and the only way to do it is go get, you know, an advance on a card",,,
A,Uh-huh.,,,
A,Uh-huh,,,
B,"and so like you were paying for it,",,,
B,but it's one of those I'm glad it was there.,,,
A,"Well, I never did, Right.",,,
A,I never did use it for an advance.,,,
A,"Most of my charges were, uh, medications.",,,
B,"Oh, I see.",,,
A,Didn't have cash for the medications,,,
