Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Well, have you seen a new movie lately?",Major Topic - start,,Discussing Movies and TV shows
B,"Well, uh, I am a student",,,
B,"and I have, uh, been actually watching more movies on video, than being able to go out to see, uh, movies at the store, or at the theater.",,,
A,Uh-huh.,,,
B,"Uh, I I want to see the FISHER KING and, and, uh, catch ROBIN HOOD.",,,
A,Okay.,,,
A,"I, uh, I haven't seen either one of those.",,,
A,"Uh, what, what are some of the shows that you have been able to rent though?",,,
B,"Uh, let's see.",,,
B,"Uh, I'm trying to just think of the ones that have come on.",,,
B,"Uh, WHITE PALACE which I thought was over rated, over hyped, um, recently.",,,
B,"Well, you're catching me at, it, uh, uh, at mind's end here.",,,
B,What have you seen recently?,,,
A,"Well, maybe you, uh, you have seen DANCES WITH WOLVES.",Minor Topic - start,,about DANCES WITH WOLVES
B,Yes.,,,
A,Okay.,,,
B,Yes.,,,
A,What did you think of that one?,,,
B,Enjoyed that quite a bit.,,,
B,"Um, I thought the, uh, the the cinematography was excellent.",,,
A,Uh-huh.,,,
B,"Uh, the story was,",,,
B,"uh, though it tended to be a little one sided uh, it was good.",,,
A,Yeah.,,,
B,"Uh, it was, it was believable.",Minor Topic - end,,
A,"I, uh, I just moved down, in fact, from South Dakota in, in June,",Off topic - start,,How A moved to South Dakota and how there was where the filming was happening
A,"and that's when the movie was filmed,",,,
B,Uh-huh.,,,
A,"and, uh, we, when, when the movie came out, we went,",,,
A,"uh, my dad lives in the state capital, which is Pierre",,,
B,Uh-huh.,,,
A,and it was filmed right outside of Pierre.,,,
A,"In fact, the buffalo, the scene, the big buffalo herd scene, that was, that was a live scene.",,,
B,Wow.,,,
A,"Uh, there's a guy that has got a, a buffalo farm,",,,
A,"and he has got over ten thousand head of buffalo and, and, uh, we, my dad has got a little plane, we flew over it all looked at the buffalo,",Off topic - end,,
A,it was really neat.,,,
A,"But, uh, so we are watching the, the movie in the movie theater in Pierre",Off topic - start,,Movie theatre disturbances
B,Uh-huh.,,,
A,"and, uh, just every time I would start to get into the movie, and it was getting good someone in the crowd would yell, hey, there's John Red Eagle, you know",,,
B,Uh-huh.,,,
A,"or, you know, they'd start recognizing people.",,,
B,"They knew, they knew the extras or the,",,,
A,Yeah.,,,
A,"So, I kind of, I think I enjoyed it more when I, when I watched it on video cassette than I did, uh, in the movie theater because my attention would get diverted every time they'd say that.",,,
A,"I'd go now, now which one could that be you know,",,,
B,Uh-huh.,,,
A,"and I'd, I'd start trying to focus in on people instead of, of picking up the overall,",,,
B,Scope.,,,
A,Right.,,,
A,Exactly.,,,
B,Uh-huh.,Off topic - end,,
A,"So, but I, I thought it was a good film.",,,
A,"But you are right,",,,
A,"I think, I think it was very one sided.",,,
B,"It, it was,",,,
B,"but it's a side that hasn't been told. Uh, as far as, you know, telling it from, you know, the Indians as the good guys and the, the white men as the bad guys.",Minor Topic - start,,How newer movies show the other side of white men
B,"I, I really thought about, uh, all the, the westerns that we have seen for years and years,",,,
A,Sure.,,,
B,"and it's just, shoot the Indians,",,,
B,and they are always the savages.,,,
A,Right.,,,
B,"So,",,,
A,"In fact, I was watching WILD WILD WEST last night",,,
A,"and, it was a similar, uh, situation with the Iroquois Indians attacking a, an army fort.",,,
B,Uh-huh.,,,
A,"Um, but it was an interesting movie.",Minor Topic - end,,
A,"Uh, have you seen PRETTY WOMAN?",Minor Topic - start,,about PRETTY WOMAN
B,Yes.,,,
A,Now I thought that was a good show.,,,
B,Yeah.,,,
B,"That was, that was a good movie.",,,
B,"Um, it was just kind of a get away movie.",,,
A,Yeah.,,,
B,"Kind of,",,,
A,"It didn't, uh, it didn't have any real social bearing",,,
A,"or, uh, and it wasn't really a comedy,",,,
A,but it was an enjoyable movie.,,,
A,"It was, it was kind of like the STAR WARS series, you know, just something a little different,  yet  believable.",Minor Topic - end,,
B,Uh-huh.,,,
B,Right.,,,
B,Yes.,,,
B,"You're bringing it,",,,
B,"I don't know,",,,
B,"I had a, I sure did have a mind lock about the movies I've seen.",,,
B,"But, yeah,",,,
B,"I've seen PRETTY WOMAN and DANCES WITH WOLVES,",Major Topic - end,,
B,"and, uh,",,,
A,"Uh, now are you, are you going to see, or do you, are you much of a STAR TREK fan,",Off topic - start,,"about STRA TREK's series concept and reach, not how it was as a movie"
A,are you going to see this next one that's coming out?,,,
B,"Oh, definitely.",,,
A,Have you seen the rest?,,,
B,Yes.,,,
A,I think I've missed one.,,,
A,"I'm not sure,",,,
A,but I think I've missed one.,,,
B,"I actually went to the STAR TREK twenty fifth anniversary marathon that happened about a month ago,",,,
B,and they showed all five in a row.,,,
A,Was that here in Dallas?,,,
B,"Oh, they had it everywhere,",,,
B,"uh, every major city had one theater that did it",,,
B,"and,",,,
A,Okay.,,,
A,Because we had one here in Dallas.,,,
B,"Right,",,,
B,"and they did it in Houston,",,,
B,"they did it, well, they did it everywhere.",,,
B,"And it was, it was really good to see all the movies and how the story developed,",,,
B,"and the thing that I didn't realize is that if you watch the movies in a row, uh, time wise they happen one after another and just no, no time between them,",Off topic - end,,
A,Uh-huh.,,,
B,"but you can watch the characters develop,",,,
