Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay.,major topic start,minor topic start,Personel view on guns
B,All right.,,,
A,What's your view.,,,
B,Huh?,,,
A,What's your view?,,,
B,"Well, I have a hard time thinking that they can control guns. Personally.",,,
A,Yeah,,,
A,"Yeah,",,,
A,that's true.,,,
B,"I mean,",,,
A,"You know, even if they give it a shot, it's still going to be black market all over the place, you know,",,,
B,That's right.,,,
B,That's right.,,,
A,I don't know.,,,
A,"Coming from Texas you're probably,",,,
A,I don't know,,,
A,"I shouldn't make stereo types,",,,
A,but gun control is probably frowned on quite a bit down there I would think.,minor topic end,,
B,Yeah.,off topic start,,Where are speakers from?
B,"It is,",,,
B,"but I'm not really from I'm not really from Texas,",,,
B,I just live down here now.,,,
B,I've  I've lived down here a couple years.,,,
A,"Oh, you're  just live down there?",,,
A,Yeah.,,,
B,"I'm originally from Colorado,",,,
B,but  yeah,,,
A,Oh well.,,,
B,"there, uh, there, uh there's a lot of hunters here.",,,
A,"Yeah,",,,
A,well I know how you feel.,,,
A,"I'm, uh, I grew up in Nebraska",,,
A,"and, and we always use to go out and hunt all the time, you know",,,
A,"and man, there's no way. There's no way I would ever go for a total ban on all weapons.",off topic end,,
B,Uh-huh.,,,
A,"That's just,",,,
A,I don't know.,,,
B,"I just think, I think it's ridiculous.",,,
A,Yeah.,,,
B,"I mean,",,,
A,It doesn't sit with me very well.,,,
A,"I don't know, I, anymore",minor topic start,,Guns for protection
A,"I keep a thirty-eight in my truck, you know.",,,
B,Really.,,,
A,"Yeah,",,,
A,"I just about all,",,,
A,well I live in Minneapolis,,,
A,"and I,",,,
A,"well actually I live in Florida,",,,
A,but I am staying in Minneapolis for a year,,,
A,"and you know, both areas are pretty crime ridden right now",,,
B,Uh-huh.,,,
B,Right.,,,
A,"and it's just, you never know who is out there.",,,
B,Right.,,,
A,You know it's just for self protection purposes,,,
A,"and then of course there's the hunting issue,",,,
A,so,,,
B,Sure.,,,
A,yeah,,,
A,that's good.,minor topic end,,
A,"What do you do, Jeff?",off topic start,,Occupation of the speakers
B,"Uh, I, I'm in, uh, program control for a company up here.",,,
A,"Oh, yeah.",,,
B,Yeah.,,,
A,All right.,,,
B,"We do schedules, for programs, schedule programs.",,,
A,Yeah.,,,
B,What do you do?,,,
A,"I'm, uh, researcher of Honeywell up here.",,,
B,"Oh, okay.",,,
A,"So, uh,",off topic end,,
A,yeah.,,,
A,"You guys uh, do you get much of a chance to hunt or anything",minor topic start,,They talk about hunting
A,"or,",,,
B,"Uh, I haven't had a chance to do any hunting since I've been down here.",,,
B,"I don't own a shotgun,",,,
B,but I'd like to go bird hunting.,,,
A,Yeah.,,,
A,You know  that's something I miss quite a bit.,,,
B,So.,,,
B,"Yeah,",,,
B,"uh, when I was in Colorado we went deer and elk hunting you, you know, quite a bit",,,
A,Yeah.,,,
B,"but,",,,
A,Yeah.,,,
A,All right.,,,
A,"Yeah,",,,
A,"my brother was, uh, a guide for bear and elk hunts out in Idaho for a while and, uh, really enjoyed it quite a bit,",minor topic end,,
A,but I don't know.,,,
A,"I guess that what the scale now is, it's zero for, uh, for a complete,",,,
B,"One for a total ban and, uh,",,,
A,That's right.,,,
A,I guess I am about eight or nine,minor topic start,,Measures government can take instead of banning guns
B,"Yeah,",,,
B,"I, I agree with you there",,,
A,"Yeah,",,,
A,no doubt about it,,,
A,"but, uh,",,,
B,"I mean, if they can anyway get it, keep criminals from having guns which they can't",,,
A,Yeah.,,,
B,"I, you know,  I'm not  for it.",,,
A,"Yeah,",,,
A,"if there's  if there's a way, you know, to limited it to people that, I don't know that",,,
A,"they, I guess they passed a couple of, uh, uh, laws a here while back in some states in terms of a waiting period where you know you go to buy a hand gun",,,
B,Uh-huh.,,,
A,"and then they actually, uh,",,,
A,I know it's this way in Florida.,,,
A,They have a waiting period where you buy one,,,
A,and that's a week,,,
B,Uh-huh.,,,
A,and then they check you out and make sure you don't have a record you know and things like that.,,,
A,I think that's a pretty good idea.,,,
A,"Uh, and that's,",,,
A,"I don't know,",,,
A,"that's not a bad idea,",,,
A,but then again you can always get around that.,,,
A,You could go through the black market like you say.,,,
A,"You know, you always be able to get around",,,
A,"but, uh,",,,
B,Sure.,,,
A,"Yeah,",,,
A,it's one of things,,,
A,"but, uh, I don't know.",,,
A,"I guess, I guess some forms of guns should probably be controlled just like I'm not real sure why anybody would need a full automatic weapon.",,,
B,"Yeah,",,,
B,I don't either,,,
A,"Yeah,",,,
A,"I'm just not,",,,
A,"I think those have been pretty much, you know, banned altogether anyway.",,,
B,"Yeah,",,,
B,I,,,
A,"There,",,,
B,"fully auto,",,,
B,"but, even well, I mean, a semiautomatic, I guess that's,",,,
A,It kind of takes the sport out of hunting,,,
B,Yeah.,,,
B,Right.,,,
A,"You know, it's like what can you do with that, that you can't do in a self protection situation with like a seven or a twenty shot twelve.",,,
B,Sure.,,,
A,"You know, you might do the same thing.",,,
B,Right.,,,
A,"And so it's like, I don't know. It does.",minor topic end,,
A,It takes the sport out of it.,,,
A,For me I would much rather have a bow anytime,off topic start,,Use of bow is a good sport
B,"Oh, really.",,,
A,"I, I like bows.",,,
A,"You know, I have done some bow hunting",,,
A,"and I, uh, I get into it",,,
A,"and I think it's more of a challenge, you know.",,,
B,Yeah.,,,
A,"But, uh, I don't know.",,,
A,I guess it keeps the shell makers in business.,,,
B,Sure.,,,
A,"But, uh, I don't know.",,,
A,"Anyway, that's about where I stand",,,
B,Me too.,,,
A,"You, uh,",,,
B,"Yeah,",,,
B,I am about the same way.,off topic end,major topic end,
A,"And you, uh, have you eaten yet or whatever.",closing,,They started talking about dinner and other things
B,Yeah.,,,
A,Is it seven o'clock there?,,,
B,"Uh, yeah,",,,
B,it's about seven fifteen.,,,
A,You guys central?,,,
B,How is the weather up there?,,,
A,"Oh, it's not too good.",,,
A,It's kind of rainy actually.,,,
B,Is it?,,,
A,"Around this time of year you expect it up here to get down to about, uh, I don't know, ten or twenty degrees",,,
B,Right.,,,
A,and it's been up around forty.,,,
A,"So people are, people are whining about the rain and stuff, but not too bad about the temperature.",,,
A,Ice is starting to melt and stuff like that,,,
A,so.,,,
B,Yeah.,closing,,
A,I am just up here for the year,,,
A,and it's kind of shocking.,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
