Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay.,major topic start,,What do they wear and why
A,Guess we can go ahead.,,,
A,"Uh, well, I guess you know it's, you know,",,,
A,"since living in Dallas it's always so hot, so in the summertime, I just, I wear lots of shorts, so because I don't work during the day.",,,
B,Uh-huh.,,,
A,"So, do you work?",,,
B,"Yes,",,,
B,"uh-huh,",,,
B,"yeah,",,,
B,I do work.,,,
A,Oh.,,,
B,"Uh, and,",,,
B,"but I work at a manufacturing plant,",,,
B,"so I wear a lot of blue jeans,  and  T-shirts.",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"But occasionally I have to get dressed up and wear panty hose and a dress,  and  high heel shoes",,,
A,Uh-huh.,,,
B,and I feel really uncomfortable doing that,,,
B,"and,  in  the plant so, uh, it's, it's a problem for me.",,,
A,Yeah.,,,
A,Uh-huh.,,,
B,"But, normally I just wear blue jeans and a T-shirt.",,,
A,Uh-huh.,,,
B,"Very, very, comfortable.",,,
B,I like that so much better than having to wear dress clothes.,,,
A,"Yeah,",,,
A,"yeah,",,,
A,"and buying suits and stuff, yeah, because just being at home",,,
A,"and, I work at home,",,,
A,"so,  I  just have, you know, I just wear my, you know, my shorts and stuff like that.",,,
B,Uh-huh.,,,
A,"I don't go out and spend lots of money on, uh, different, you know, suits and stuff, you know.",,,
B,"Uh-huh,",,,
B,uh-huh.,,,
A,"But when I,",,,
A,"before I got married, you know, I was working",,,
A,"so I, uh, you know, I had more suits and stuff then",,,
A,"but,",,,
B,Right,,,
A,Worry about all that kind of stuff,,,
B,"Well, I have plenty of suits and dress clothes because I'm like you, when I first started working,  uh,  I have all these suits and blouses and skirts and mix and match, and that kind of stuff",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"but  now that I, you know, work in the manufacturing plant, then it's just, it's so much more difficult for me to, to actually get dressed up to come in to work like that.",,,
A,Right.,,,
B,"Uh, but occasionally I have to because, uh, part of my job is teaching,  and  training,",,,
A,Uh-huh.,,,
B,"and, uh, so you have to look just a little bit nicer than your normal,  garb",,,
A,"When you're training, right.",,,
A,Yeah.,,,
B,Than your normal garb,,,
B,"But I'm like you, too, uh, I moved from Ohio down to here",minor topic start,,Having loads of clothes they no longer wear
A,"Uh-huh,",,,
A,"moved from,  Winter.",,,
B,"and I had mostly polyesters and,  wools  and winter clothes and buying all these cotton clothes,",,,
A,Uh-huh.,,,
B,"and then, of course, you have to iron them all the time.",,,
A,Uh-huh.,,,
B,"That's really,",,,
B,that's been a problem for me.,,,
A,"Yeah,",,,
A,because I came from Wyoming,,,
A,and I had wool suits and wool skirts,,,
A,"and, You know, I've got all these clothes that I never wear,  because  you can't wear them here.",,,
B,Right.,,,
B,Right.,,,
A,"And, uh, the seasons are just so much different.",,,
A,You have so much summer.,,,
B,Uh-huh.,,,
A,"And, uh, so then when I, you know, I finally get a chance to go out with my husband it's like a real chore to find something nice to wear",,,
B,"That's true, that's true.",,,
A,Yeah,,,
B,"Well, I know, I was just now, uh, uh, putting away a lot of my winter clothes,",,,
A,Uh-huh.,,,
B,and  I was going through here,,,
B,"and I was thinking, I haven't worn this in three years.",,,
A,Yeah.,,,
B,"And, because it's a wool skirt",,,
B,and there's just not that many opportunities to wear it.,,,
A,Yeah.,,,
B,"And I have five or six wool skirts,",,,
A,Uh-huh.,,,
B,"so  I was thinking well, maybe, you know, I need to think about getting rid of them,",,,
B,"but no, I folded it up neatly and put it away  maybe next year",,,
A,Yeah.,,,
A,"You hate to  get rid of it, because you know how much you spent on them.",,,
B,"Uh-huh,",,,
B,uh-huh.,,,
A,"And it's real hard to get rid of some of that stuff, I know.",,,
A,"So,",,,
B,"Well, I know last year, uh, well, this past winter, it wasn't that cold.",,,
A,Uh-huh.,minor topic end,,
B,"But the previous winter we had more, uh, cold weather where I was able to actually wear,  your  double and triple layerings of, uh, clothes yeah, like you would when you're up north.",,,
A,Uh-huh.,,,
A,"Clothes,",,,
A,yeah.,,,
B,So  that's  really interesting.,,,
A,Uh-huh.,,,
A,"Yeah,",,,
A,"yeah,",,,
A,"and I, I just don't spend, you know,",,,
A,"right now my clothes come from Target, you know",,,
B,"Yes,",,,
B,"yes,",,,
B,"yes,",,,
B,and they're all one hundred percent cotton,,,
B,and,,,
A,"Yes,",,,
A,"and they,",,,
A,you take them out of the drier,,,
A,and they're wadded up in a ball.,,,
B,"Yes,",,,
B,"yes,",,,
B,I know.,major topic end,,
A,Oh,major topic start,,Talking about iron boards
A,"I'm so glad to meet somebody that, that their iron board is their permanent fixture in their house.",,,
B,"It is, it is.",,,
A,"You know, I have very little furniture,",,,
