Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,So the general topic is hobbies.,major topic start,,Starts directly with the major topic of hobbies
B,Yes.,,,
A,Let's hear about your hobbies.,,,
B,"Well, let's see,",,,
B,what kind of hobbies do I have?,,,
B,"I guess, uh, I, it's more not so much a hobby but things I enjoy doing.",,,
B,"I enjoy playing basketball and, and basically all kinds of sports.",,,
B,"And, uh,",,,
A,Any handicrafts?,,,
B,Excuse me.,,,
A,Any handicrafts?,,,
B,"No,",,,
B,"not, not really, um,",,,
B,"no,",,,
B,I'm really not too creative,,,
B,"well, I, uh, you know, around with my hands and things like that",,,
B,I leave that more up to my Mom,,,
A,"So, um, I think I'm in handicraft.",,,
B,"Oh, yeah.",major topic end,,
A,I think it will become resume writing.,major topic start,,Shifts to talking about each other's employment never coming back to the initial major topic of hobby
B,"Oh, well, let's hope that you, you aren't employed by that craft for too long.",,,
A,"Uh, yeah,",,,
A,"I, I hate to think about it",,,
A,"and, and I'm getting rather good at reading want ads.",,,
B,Uh-huh.,,,
A,"Yeah,",,,
A,"it, it,",,,
B,"what kind of time frame is it, uh, looking for the, uh, different shifts up there?",,,
A,I,,,
A,who knows.,,,
B,"Is it, uh,",,,
B,"basically, I had read that they're just looking at relocating them all to McKinney is it, Texas,",minor topic start,,Talks about the companies which are increasing job opportunities
A,"No,",,,
A,"all means about fifteen to twenty percent,  of, of,  oh,",,,
B,"Oh, wow.",,,
A,I'm sure the number's somewhere classified,,,
A,"but some of the internal news and the news services,",,,
A,"so, it's approximately six fifty,",,,
B,Uh-huh.,,,
A,"so  ten percent of six fifty, is sixty-five",,,
A,and twenty percent would be one thirty.,,,
B,"Wow,",,,
B,how about that.,,,
B,"Yeah,",,,
B,that's what it did report was a hundred and thirty relocating down to McKinney.,,,
A,"Yeah,",,,
A,that's possible.,,,
B,How about that.,,,
B,"Well, that's, uh, that's unfortunate",,,
B,"is there many other,",,,
B,are you in the defense?,,,
A,"Oh, yes, .",,,
B,"Is it, uh, many other corporations in the area?",,,
A,"Uh, I saw Seven Eleven that was hiring.",,,
B,"Well, I'm sure with the new, uh, contract awarding",,,
B,"I, I think it went to Lockheed, didn't it?",,,
A,Yes.,,,
B,"That, uh, I hear they're hiring all over the place for that.",,,
A,"Yeah, uh,",,,
A,"no,",,,
