Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Well, uh, what what do you think about the metric system?",major topic start,,Talking about the metric system
A,"Uh, do you, uh, find it useable?",,,
A,Have you tried much with it?,,,
B,"Well, with an engineering,  degree,  it's, of course, it's a whole lot easier.",,,
A,Yeah.,,,
A,Uh-huh.,,,
B,"because,  uh,",,,
A,"To use you mean,",,,
A,uh-huh.,,,
B,"yeah,",,,
B,"if, if somebody  is totally unfamiliar with it, uh, human nature being what it is we don't like to change.",,,
A,Yes.,,,
B,"Uh, it just absolutely makes perfectly good sense to me because it's all decimal.",,,
A,Yes.,,,
B,And it's so easy to convert from one set of units to another.,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
A,"We,",,,
A,"well I've lived both in the United States and, and in a country where they do use the metric system",,,
A,"and, uh, so I've, I've lived with pounds and inches and found it really quite easy to convert over.",,,
A,"Um, the secret seeming to me to be to not bother ever converting inches to centimeters and,  pounds  to uh, uh, kilograms,",,,
B,Right.,,,
B,That's right.,,,
A,"and, I  think that's what hung people up the most is they went now wait a minute, an inch is two point fifty-four centimeters,",,,
B,Right.,,,
A,how  on earth am I every going to do the math? *spelling,,,
B,Right.,,,
A,"And the problem is that we tried to convert everything from inches to centimeters preserving basically the inches but expressing them as centimeters rather than saying no, a centimeter is about the width of your thumbnail, or whatever, and, you know, and leaving it at that",,,
A,"and, uh, you know, a kilogram weighs about this much",,,
A,"and get used to it from scratch,",,,
A,cause I still can't convert back and forth from inches to centimeters,,,
A,but I'm perfectly comfortable using either.,,,
B,Uh-huh.,,,
A,"And I think the real problem with this, this weird conversion, you see signs that say fifty-five miles per hour and, you know, whatever it would be one hundred six kilometers per hour, you know,",,,
A,"people, you know,",,,
A,it's hard to take it seriously.,,,
B,"Oh, yeah.",,,
A,"And as long as both were given, you, basically, just don't read the kilometers per hour,",,,
A,"you just say, well look read the miles per hour one,",,,
A,the other one must be for someone else.,,,
B,That's right.,,,
A,"Uh, I don't know,",,,
A,I mean even Britain has converted over,minor topic start,,Talking about Britain's measurement system
A,and we inherited this mess from them,,,
A,"and, uh,",,,
B,"That's right,",,,
B,it's all their fault.,,,
A,"Well, I mean, it's more  our fault than theirs at this point because they, they saw the light, um,",,,
A,"I don't know why they um, were more able than we were",,,
A,"except I think, that they probably just said well, we're just going to start using the things now",,,
A,and you sort of have to force people to change since they don't want to,,,
B,"Of course, being part of the European community, if everybody else did it they, they were probably much more,",,,
B,is much more necessary for them than for us.,,,
A,"That's true,",,,
A,"that's, that's probably true",,,
A,"and America does have a long history of sort of doing things our own way rather than adopting, you know, some other model.",,,
B,"There's an expression for that,",,,
B,"With eyes on the past, backing confidently into the future.",,,
A,"I've never heard that one,",,,
A,that's very nice,minor topic end,,
A,"Oh, so I'm all for the metric system and converting over",,,
A,"and I think,",,,
A,"I guess, my feeling is the way to do it is, is to just start giving weights, you know, have a very brief transition period and then just start giving weights and kilometers, er, just as in kilometers and weights and kilograms and everything like that and, uh, just have people start using it rather than having people constantly trying to convert.",,,
A,"Remember me getting a package of something that said one pound,",off topic start,,Talking about getting some package
A,"this is a package of dates mind you,",,,
A,"it's, was, presumably something you weigh fairly precisely,",,,
A,it said one pound,,,
A,and then in parenthesis it said four hundred fifty-four point six grams,,,
B,"Right,",,,
B,right.,,,
A,"And, as near as I could tell, seeing that was basically anti-metric propaganda",,,
A,"cause anyone who would say, well look I can either buy a pound of something at four hundred sixty-four point six grams which, of course, they couldn't weigh it out accurately anyway, um,",,,
A,"every time I see something like that I think, well, that's, that's an anti-metric argument.",,,
B,Yeah.,,,
B,"Well, uh, I, I don't think it'll, it could ever happen with, with a quick transition.",,,
A,You don't?,,,
B,No.,,,
B,"I, I think that would be the easiest way",,,
B,"but human nature being such as it is,  I would  think it would take, probably, two or three years before people could completely cut the cord.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
A,"Yeah,",off topic end,,
A,"oh, oh, that's what I was thinking by quick transition,",,,
A,"I didn't mean, you know, I didn't mean like Sweden going over to right hand drive or anything, you know,",off topic start,,Talking about Sweden's switching their measurement system in one night
A,"at midnight, tonight we all switch over or anything.",,,
B,Did they switch?,,,
A,"Uh, I believe so,",,,
A,"yeah,",,,
A,and I think they did it overnight,,,
A,"cause you know, you can't do it gradually.",,,
A,That's an example of something you can't do gradually.,,,
B,Well that's true.,,,
B,"It, it has to be kind of a discreet transaction",,,
A,"Yes,",,,
A,it does,,,
A,A quantum leap from left to right hand drive,,,
B,Interesting.,,,
A,"And they,",,,
A,"but, you know, that must have taken, uh,",,,
A,"that was something that had to be done quickly,  you know,  because of external circumstances,",,,
B,"Oh, yes.",,,
A,"but they decided to do it to make themselves in sync with the rest of Europe,  or  the rest of continental Europe",,,
B,Yeah.,,,
A,"and, you know. But that must have been tremendously difficult to orchestrate.",,,
B,Yeah.,,,
B,I'm sure.,off topic end,,
