Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,"Hi,",opening,,
B,this is Donna Donahue.,,,
A,"Hi, Donna.",,,
B,Hi.,,,
A,Ready to get started?,,,
B,"Uh, yeah,",,,
B,I think so.,,,
A,Okay.,,,
A,Sort of an interesting topic since I just got back from lunch here,,,
B,Okay.,,,
B,"Well, what did you have for lunch?",major topic start,,talking about food
A,"Oh, it was, uh, it was,",,,
A,"I'm an officer in the Air Force, Yeah.",off topic start,,talking about A's livelihood
B,Oh.,,,
B,Oh.,,,
B,"Well, that's interesting.",,,
B,Okay.,off topic end,,
B,"So our topic is, is food today,",,,
B,"is that,",,,
A,Yeah.,,,
B,Okay.,,,
A,"If you're having a dinner party, what, what would you serve?",minor topic start,,talking about dinner parties
B,"Okay, uh,",,,
B,do you want me to go first?,,,
A,Sure.,,,
B,Okay.,,,
B,"If I was having a dinner party I would probably, um, have some, um, some, uh, um, some fruit to start with with some apples sliced up and maybe some cheddar cheese and crackers and grapes and, um, probably serve maybe some wine and beer and maybe have some, uh, uh, salsa and chips around and peanuts.",,,
B,"And then I would have, um, let's see. I usually have like a little theme when I have a dinner party Um, I would have maybe, um, say if it was like Greek night or something *sd um, maybe, um, on the barbecue we'd put, uh, cubes of lamb or I guess lamb used for Greek. And, um, like a shish kabob, and, um, mushrooms and tomatoes and onions",,,
A,Uh-huh.,,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,"and then we'd have, um, like a big Greek tossed salad kind of like a Caesar salad.",,,
A,Uh-huh.,,,
B,"And, um, let's see what else.",,,
B,"Um, maybe some rolls and, um, I guess some, uh, some rice or something like that.",,,
B,How does that sound?,,,
A,"Jeez,",,,
A,"well, well, when is the party here?",,,
B,Yeah.,,,
B,"Um, yeah,",,,
B,that would take some planning,,,
B,"but,",,,
A,I don't know,,,
A,"being a, being the bachelor here that I am, I, I don't think I'd, I'd be",,,
A,"I mean it, it's not a question of capability here to do something like that.",,,
A,"It's just there's, there's no motivation.",,,
B,That's right.,,,
A,"You know, I want to, I want to throw some charcoal on the grill and, and throw a steak on there and some baked potatoes and stuff like that",,,
A,"but, um,",,,
B,"Well, that sounds good too.",,,
B,"I have, um, I have three kids",,,
A,Uh-huh.,,,
B,"so, um, when we have friends over I have my oldest kind of baby-sit for the little two younger ones upstairs",,,
B,"and, um, usually we just have very plain kind of, you know, interesting, not very interesting meals. Pizza and that all",,,
A,Uh-huh.,,,
B,"so once in a while when we do something like that it's kind of fun,",,,
B,"but it's not a, not a regular thing. Now are we supposed to talk for about five minutes,",,,
A,Yeah.,,,
A,Yeah.,,,
B,it?,,,
A,"Yeah,",,,
A,"that's what they, they are shooting for here.",,,
B,Okay.,,,
B,"Um, let's see now",,,
B,"okay,",,,
B,so you would have a barbecue,,,
A,"Well, I live on a, I live on a lake here,",,,
B,Uh-huh.,,,
A,"and, uh, so it,",,,
A,"and then during the summertime it's real nice to be able to entertain outdoors,",,,
B,"Oh, sure.",,,
A,like that's a little more a casual thing.,,,
A,"But in mine the wintertime it's not bad too because then I've got a, a fireplace and a nice, nice house and all that",,,
A,"so we, really good place to do entertaining like that.",,,
B,Uh-huh.,,,
B,"Oh, that sounds wonderful.",,,
A,"I just haven't, uh, really tried a whole lot",,,
A,"but, uh I don't know,",,,
B,Uh-huh.,,,
A,let's see.,,,
A,"I have had, well, one time I did have a dinner party.",,,
A,"I served a, uh, uh,",,,
A,"I had a gang of people over and kind of made a fried chicken thing and biscuits, and kind of southern, uh, southern food even though I'm up here in New York,",,,
B,Uh-huh.,minor topic end,,
A,so,off topic start,,talking about where A and B are from
B,"Oh, you are in New York right now?",,,
A,Yeah.,,,
B,Oh.,,,
B,"I'm, I'm in Texas.",,,
B,"I didn't know this was all, from all over the whole country.",,,
A,"Oh, yeah.",,,
A,"Yeah,",,,
B,"Oh, I see.",,,
A,it is.,,,
A,"It's,",,,
B,And I'm originally from Long Island.,,,
A,"Oh, no kidding?",,,
B,"Yes,",,,
B,and now where are you in New York?,,,
A,Upstate.,,,
B,"Oh, upstate.",,,
A,Rome.,,,
A,"In, uh, Griffins Air Force Base.",,,
B,"Oh, okay.",,,
B,"Oh, okay.",,,
B,"Is that where you, you are originally from around there?",,,
B,"Oh, okay.",,,
A,"and, uh, been all over the place.",,,
B,"Oh, wow.",,,
B,That's interesting.,off topic end,,
B,"Okay,",,,
B,let's see.,,,
B,"Um, well, I like to have, um, sometimes when I have a dinner party I'll have, um, everybody bring something,",,,
A,Yeah.,,,
B,"and that's real interesting because then you get different, um, different kinds of foods and new recipes",,,
B,"and, um, uh, sometimes somebody will be bring something that you really like,",,,
A,Right.,,,
B,and get the recipe from them or whatever.,,,
B,"And we are just getting interested in, in Mexican food",minor topic start,,talking about food in texas
