Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Well, what I believe is one of the major uh, things that is wrong with our public school system is that, um, we do not have enough discipline",major topic start,,Regarding discpline of students in this modern schools.
B,Uh-huh.,,,
A,and the parents do not let the teachers discipline the children the way that they need to be disciplined right now.,,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,I agree with that.,,,
A,"Uh, when I went to school, I know I was scared to death about being disciplined,",minor topic start,,Comparing A's school and his/her daughter's school discipline
B,You were?,,,
A,and the discipline that my daughter receives now in going to school is just totally different.,,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,"You know, you just, you did not see, I did not see anybody in my classrooms, when I was going to school, act up the way that kids do these days in the classroom.",,,
B,Yeah.,,,
B,"Yeah,",,,
B,yeah.,,,
B,"From what I understand, they act up pretty bad",,,
A,"Yeah,",,,
A,"that's right,",,,
A,that's right.,minor topic end,,
B,"What, uh,  grade is your daughter in?",off topic start,,Asking grade of A's Daughter
A,"My, my daughter's in the, um, fourth grade",,,
B,"Uh-huh,",,,
B,uh-huh.,off topic end,,
A,"and, um, there's children in her classroom that just totally disrupt the classroom, where the teacher cannot teach",,,
B,"Uh-huh,",,,
B,uh-huh.,,,
B,Yeah.,,,
A,and when I went to school that just wasn't put up with.,minor topic start,,The speaker school's discipline mechanism
B,"Oh, no,",,,
B,uh-huh.,,,
B,They always had a paddle in our school.,,,
A,Uh-huh.,,,
A,"Well, they, they just don't do that any more.",,,
B,I know.,minor topic end,,
A,"But the school system's afraid of getting sued and, um, all sorts of lawsuits I'm sure because of things like that.",minor topic start,,School system's problem for being leninet
B,Uh-huh.,,,
B,"Yeah,",,,
B,yeah.,minor topic end,,
A,"And, I also believe we don't, even though I feel like I pay a good share towards the school system, that the teachers are still underpaid",off topic start,,About the teacher's salary
A,and we still don't have enough money towards put in toward public school.,,,
B,"Uh-huh,",,,
B,uh-huh.,,,
B,Uh-huh.,,,
A,"And, um, I think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems.",,,
B,Yeah.,,,
B,"Wasn't that what part of the lottery is going to go for, if we approve it?",,,
A,Yes,,,
A,"supposedly that's what it's suppose to go for,",,,
A,"and you know, we'll just have to wait and see whether that's approved or not.",,,
B,Uh-huh.,,,
A,"You know, I don't know your feelings toward that.",,,
A,I guess we shouldn't get into that,,,
A,"but, um, and what else, um,",off topic end,,
A,I think in some ways that they need to be more careful of the teachers that they hire.,minor topic start,,Related to quality of teachers hired which has an effect on student's descipline
B,Uh-huh.,,,
A,"I have heard stories, uh, from other parents that I know of, their children are in high school that teachers are out there giving drugs and selling drugs,",,,
B,Uh-huh.,,,
B,No.,,,
B,Really?,,,
A,"Oh, yeah,",,,
B,Ooh.,,,
A,"I've, I've heard some horrible, horrible stories about high, high school teachers",,,
B,Uh-huh.,,,
A,"and, you know, to be, be more careful of the teachers that we place in our school.",,,
B,Uh-huh. Um.,,,
A,"Um, that's basically about all that I know that may be wrong with the school system.",,,
A,"I think, with what they have to work with, I think they're doing a pretty good job right now.",,,
B,"Oh, I do too,",,,
B,I think they're doing real good job.,,,
A,"Uh-huh,",,,
A,so.,minor topic end,major topic end,
B,"But, then, what do I know,",closing,,The B speaker indicating he is not interested to A
B,I don't have any kids.,,,
B,"No,",,,
B,none at all,,,
A,"Yeah,",,,
A,"okay,",,,
A,so this is probably a real hard subject for you.,,,
B,"Oh, yeah",,,
A,Yeah.,,,
A,"Okay,",,,
A,"well, I guess, um, we can discontinue our call now.",,,
B,Okay.,,,
A,It was a joy in talking with you.,,,
B,"Well, it was good talking to you too.",,,
A,"Okay,",,,
A,thanks.,,,
B,"We'll see you,",,,
B,bye-bye.,,,
A,Bye,closing,,
