Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Arlington, Texas",,,
A,"now since I got somebody from Arlington, Virginia one day",opening,,
B,Is that right?,,,
A,Yeah.,off topic start,,talk about names of places
B,"Well, I never thought about that,",,,
B,"but there is an Arlington,",,,
B,"like I had a call the other day from Birmingham, Michigan you know,",,,
A,Oh,,,
B,"and I was thinking yeah, and I was thinking",,,
A,Birmingham.,,,
B,the only Birmingham I could think of was Alabama.,,,
A,Right.,,,
A,"It's funny how many names have been used, uh, all over the country.",off topic end,,
B,"Yeah,",,,
B,"well, tell me what kind of books have you read?",major topic start,,talk about various books
A,"Well, to tell you the truth, I've been going to college for the last four years",,,
A,"so mainly, text books.",,,
B,"I was going to say, not fun kind, right?",,,
A,"No, um,",,,
A,"but, I, I really tend to like biographies a lot, not necessarily always heavy ones",minor topic start,,biographies
B,Uh-huh.,,,
A,"but, you know, sometimes",,,
A,I just read one about Grace Kelley.,,,
A,I love to read about real people.,,,
A,"To me, half the time it's more fascinating than some of these made up stories",,,
B,"Yeah,",,,
B,"it is,",,,
B,because you know that's it's really and truly a true thing.,,,
A,"Yeah,",,,
A,it happened.,,,
B,"You know, I read one about Bob Hope that I liked.",,,
A,Really?,,,
B,"Yeah,",,,
B,that was real good.,,,
B,"I'm like you,",,,
B,"if it's not a heavy biography, you know I enjoy it.",,,
A,Right.,minor topic end,,
A,I used to like to read about royalty a lot.,,,
A,"I, when I was younger I read about every king and queen that lived, I think, in Europe.",,,
A,That was my thing for a while.,,,
B,"I was trying to think, uh,",,,
B,"I read a, uh, a novel that used the names of like Princess Di and Prince Phillip coming over here to be entertained and all,",,,
B,and there was a murder.,,,
A,"Oh, really.",,,
B,"Yeah,",,,
B,it was some time ago.,,,
B,"Seems like it was THE SPY WENT DANCING, or something like that.",,,
A,"Oh, it sounds like fun.",,,
B,"It was a lot of fun because they used these real names, you know.",,,
A,"Wonder if it was by one of those famous writers, you know",,,
A,Margaret Truman Daniels writes a lot those.,,,
B,"Yeah,",,,
B,in fact I believe it was,,,
B,"because,",,,
A,Really?,,,
B,Uh-huh.,,,
B,I believe.,,,
A,Sounds like something she would write.,,,
B,"Yeah,",,,
B,"I think it was by her, now that you mention it, because someone had given it to me,",,,
B,"and I thought, well, this will be great,",,,
B,and it was.,,,
A,"Yeah,",,,
A,"I've heard that she's done you know, her books are really interesting,",,,
A,and they always sell well.,,,
B,Uh-huh.,,,
A,"And, uh,",,,
B,"Well, when you use real people like that, I think royalty, especially, you know.",,,
A,"Yeah,",,,
A,brings it to life.,,,
A,"I know, uh, the some of the British people laugh at us because we're so enthralled with their royalty.",off topic start,,opinions of british people
B,"Yeah,",,,
B,"but you know, that's like them being enthralled with our football and so forth, you know.",,,
A,"I know,",,,
A,our movie stars.,,,
B,"Our movie stars,",,,
B,because it's totally different concept to us.,off topic end,,
A,"Oh, right.",,,
B,"I haven't, I haven't had a chance to read a lot lately either.",,,
B,"I have read, uh, mostly novels.",,,
B,I went to visit my daughter in Florida,,,
A,Um.,,,
B,"and I took a novel with me, uh, and read it at Thanksgiving time,",,,
B,"and, uh, it was, uh, one of those generation novels, you know",,,
A,"Oh, yes.",,,
B,starts out when they're small and continues through generations,,,
A,"Oh, I always like those.",,,
B,and I like that.,,,
A,Have you ever read anything by Susan Howatch?,,,
B,"Yes,",,,
B,I have.,,,
A,Isn't she fabulous?,,,
B,"Oh, she is wonderful.",,,
A,"Oh, once you",,,
A,I don't like to get one of her books,,,
A,"because, I, I just live to read.",,,
A,"I'll, I'll skip everything just to get back to the book",,,
B,"I stayed up one night, I think until two in the morning finishing one of hers because I I could not put it down.",,,
A,"Oh, yeah.",,,
A,"She's just a,",,,
A,"I don't know,",,,
A,"does she, how often does she come out with them.",,,
A,I probably have missed the last few since I've been back in school.,,,
B,"Well, no,",,,
B,"it seems like she doesn't write as often as, oh, well, like Danielle Steele and those silly things.",minor topic start,,danielle steele's writing
B,She writes the same thing.,,,
A,"Well, she can, she can turn them out overnight, I swear.",,,
B,"Yeah,",,,
B,"and, and they're the same silly things,",,,
B,"I mean, if you've read one, I mean it's, It, it's practically the same thing over and over, you know.",,,
A,"Yeah,",,,
A,"I've never read a whole one of hers, I don't think.",,,
A,And think how rich she is.,,,
B,"Yeah,",,,
B,"wouldn't I, you know,",,,
B,"I'm criticizing her,",,,
B,and wouldn't I like to have her money,,,
A,"Oh, yeah.",,,
B,because they go from hardback to paperback,,,
B,and she has millions of them.,,,
A,And then make movies out of some of them.,,,
B,Uh-huh.,minor topic end,,
B,"You know, mini series and so forth,",,,
B,and it seems to me like Susan Howatch does not write as often.,,,
B,I have not seen as many of hers.,,,
A,"Well, hers are so involved,",,,
A,"and they're so such a higher intellectual level, because she quotes a lot, you know.",,,
B,Uh-huh.,,,
B,"I think she does a lot of research, too.",,,
A,"I do too,",,,
A,"so she couldn't possibly turn them out like some of these popular writers,",,,
B,Huh-uh.,,,
A,"but oh, her books are just incredible.",,,
A,"I don't think they've ever made a movie, do you?",minor topic start,,movies
B,"No,",,,
B,"I don't think so,",,,
B,"and I've often wondered why, haven't you?",,,
A,Yes,,,
B,"You know, I,",,,
