Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,what are your favorite things to watch?,major topic start,minor topic start,"Start talking about tv shows which is the major topic, persons favourite TV shows"
B,"Oh, uh, let's see,",,,
B,"I, uh, I have enjoyed, uh, THIRTYSOMETHING in the past, uh, now that it has gone off",,,
A,Uh-huh.,,,
B,"Uh, some comedy shows, uh, I can not, can not think of, off hand,",,,
A,Yeah.,,,
B,"but,  what, what are your,",,,
B,"what is,",,,
A,"We do not watch a lot of T V,",,,
A,"we try to watch it on Thursday nights,",,,
A,"we usually watch L A LAW,",,,
A,I like that real well. And CHEERS,,,
B,Yeah.,,,
B,Yeah.,,,
A,we like to watch that.,,,
A,"Uh, we sort of got hooked on LA LAW.",,minor topic end,
A,"Uh, do you ever watch that?",,,
B,"Yeah,",,,
B,"uh, yeah,",,,
B,"yeah,",,,
B,"we, we we try to catch that most, most nights.",,,
A,Yeah,,,
A,"And I, I have watched THIRTYSOMETHING some in the last couple seasons.",,,
A,I was sort of sorry to see it go too.,,,
B,Yeah.,,,
B,"It, it was kind of interesting, uh, some people complained about, uh, uh, the kind of whining or whatever on it.",off topic start,,persons views upon the show THIRTYSOMETHING
B,"I, I really did not think it, it was,  that  way.",,,
A,Yeah.,,,
B,"I think it had some, some good, uh, good situations that it presented.",,,
A,"Yeah,",,,
A,"I thought a lot of the,",,,
A,"like the problems that Michael and Hope had in their marriage and stuff, I can relate to some of those things.",,,
B,Yeah.,,,
A,Just the dynamics of it and everything.,,,
B,"Well, I think, I think a lot of people, you know, kind of felt that way,",,,
B,"but they had a lot of, uh, uh, counseling groups that use some of the episodes as,  as examples  of things that were going on",off topic end,,
A,"Oh, really.",,,
B,"and, and uh, you know, that they called interaction between people and sort of to use as, uh, as a way of getting people to talk about their problems,",,,
A,Yeah.,,,
B,and  that sort of thing,,,
B,"Uh, we kind of,",,,
B,"uh, our T V viewing has, uh, slowed down a little bit since our our daughter came along,",minor topic start,,change in persons Tv consumption because of child
B,"so, uh,",,,
A,Uh-huh.,,,
B,"that,  that tends to, uh, put a cramp in your viewing, because by the time you get through getting her ready for bed and everything, uh, it's, uh, very little T V time left.",,,
A,"Yeah,",,,
A,you are too tired to do anything.,,,
B,Yeah.,,,
A,"Oh, it's better to spend time with your kids, I think though, than glued in front of the T V anyway.",,,
B,"Yeah,",,,
B,that's right.,,,
A,Probably more worthwhile.,minor topic end,,
A,"I just don't, I don't think there's as many good things to watch as there used to be, really.",minor topic start,,persons opinion on less worthwhile shows
B,"No,",,,
B,"I, I can not, uh, *typo? cannot?",,,
B,"I don't think there were, Uh,",,,
B,"I have not, I have not, uh, uh, there are not as many good shows that I, that I continuously like to watch as much as I used to",,,
B,"I, uh, you know,",,,
B,"I, uh, I used to could be able to name ten shows or so, you know, that I felt were worth my time to watch,",,,
B,"but, uh, I uh, you know very seldom like to watch you know those,",,,
B,there's a couple now that I tend to want to watch.,minor topic end,,
B,"I like, uh, home improvement shows like Bob Vela's, uh, HOME AGAIN on Saturday morning,",off topic start,,person starts talking about HOME AGAIN
A,"Right,",,,
A,yeah.,,,
B,"it's, I  notice it's like, it's like THIS OLD HOUSE,",,,
B,yeah,,,
B,"but it's, uh, it's on",,,
B,instead of being on P B S it's on regular T V.,,,
A,Oh.,,,
B,"But, it's, uh, it's kind of interesting because they renovate an old house",,,
B,"and,",,,
A,Uh-huh.,,,
A,"Yeah,",,,
A,"I have seen parts of that before,",,,
A,it is interesting.,,,
B,"Yeah,",,,
B,so I like to watch that,,,
B,"and uh, some, some things on P B S I like to watch",off topic end,,
B,"but, uh.",,,
A,Do you watch sports much on T V?,minor topic start,,persons sports consumption
B,"Yeah,",,,
B,"if it's if it's a team or something that I am really interested in I am not one to just watch a football game just, just to be watching it",,,
B,"or,  or  I am not a big basketball or baseball fan, if it, unless it's baseball, if it's some, if it's a team I really like, I may watch",,,
A,Yeah.,,,
B,"but, uh, baseball to me is a little hard to watch on T V,  for  an extended period.",,,
A,Yeah.,,,
A,It's slow.,,,
B,"Yeah,",,,
B,"it's so slow that you just get bored, you know,",,,
B,"I, I will switch between something else and, and a baseball game going back and forth, you know watching it.",,,
B,"But, I usually,",,,
B,"if, if, if it's a football team I really like, a college team or, or pro team that I am fond of, I usually will sit and watch that.",,,
B,"But, uh, that's the",,,
A,"Yeah,",,,
A,we are like that,,,
A,"and occasionally we will, like on, if we do not have anything to do or kind of bored and we just want to sit in the house or something,  we  will watch a little bit of a golf tournament.",,,
A,"But, uh,  you  can not take a whole lot of that either,",,,
B,Yeah.,,,
A,it's pretty slow.,,,
B,"Yeah,",,,
B,"it's kind of like,  like  baseball",,,
A,Yeah.,minor topic end,,
A,Do you,,,
A,"we went to the movies a lot on weekends and watch them at home, because there's just,  on  Friday and Saturday nights there's nothing good on",,,
A,"and,",,,
B,Right.,,,
B,I think that that's what more people are doing,,,
B,"and I think that's, you know,",,,
B,"as, as T V,",,,
B,"I think the less good shows being on T V has caused a lot of people to do, to do that, uh, you know, get more movies and watch.",off topic start,,persons rental movie consumption
A,Uh-huh.,,,
B,"I  know we, we have done that too in the past, uh,",,,
B,"we do not do it quite as much now, cause our baby will not let us watch them.",,,
A,Yeah.,,,
B,"But, uh, you know, we usually will, we used to rent, uh, two or three movies on a weekend and, and try to watch.",,,
A,Uh-huh.,off topic end,,
A,Do you have cable T V?,minor topic start,,persons access to cable TV
B,"No, uh,",,,
A,We do  not either.,,,
B,"we live in,",,,
A,I thought we were the only ones  who  did not have it.,,,
B,No.,,,
B,"No,",,,
B,"we, uh,",,,
B,"the, uh, development we moved into was,",,,
B,"they have it on one like right across the street from us,",,,
A,Uh-huh.,,,
B,"but  when they built our section they did not, did not put it in",,,
B,and we have been there about two years now.,,,
A,Gosh.,,,
B,"and  they are still, still do not have it",,,
B,"so  I  am hoping that, that soon they will, they will,",,,
A,Yeah.,,,
B,I have contacted them about this,,,
B,"and they say that well, it's, it's,",,,
B,"they look,",,,
