Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,All righty .,opening,major topic start,Hobby discussion
A,"Uh, I'll just hand it off to you",,,
A,and hobbies in our spare time is what we've been selected to discuss today.,opening,,
B,"Well, uh, the hobbies that I pursue in my spare time, are crafts",minor topic start,,
B,"and, uh, I've been involved in making, uh, hat stands and, uh, rag dolls and, uh, different type hats with, uh, flowers and roses, you know, and, uh, that kind of thing, straw hats and, all that kind of stuff.",,,
A,Oh like typing noises in,,,
B,"And I enjoy it,",,,
B,it's relaxing.,,,
B,And you kind of get absorbed in it,,,
B,"so the time goes by, you know, before you realize anything is going on.",minor topic end,,
B,"And I play the organ sometimes, uh, just for my own satisfaction Not for anybody else's ears",minor topic start,,B's interest in instruments
B,"because I'm not that good at it,",,,
B,but I like to bang on the keyboards once in a while.,,,
A,Oh really?,minor topic end,,
B,How about yourself?,off topic start,,A's inability to deal with many hobbies
A,"Well, oh, hobbies, gee whiz,",,,
A,I guess I got too many hobbies,,,
A,so I never have time to deal with them.,,,
B,Really?,off topic end,,
A,"I like photography a lot,",minor topic start,,A's interest in photography
B,"Oh, yeah,",,,
B,that's neat.,,,
A,"uh, I used to do that a lot",,,
A,"and then I like, um,",,,
A,"we have a new child that will be a year old here next week,",,,
A,"so I'll take a lot of pictures of her, you know, and spoil them,",,,
B,"Oh, that's great,",,,
B,uh-huh.,,,
A,"first one, you know how that is.",minor topic end,,
A,"And, um, uh, I play the guitar and a banjo.",minor topic start,,A's interest in instruments
A,"I mainly play the guitar a lot,",,,
A,I play about every night.,,,
A,"And, um, I really love that,",,,
A,"if I had a druther ,",,,
A,"if I could have, if I could make it on the road, I'd like to play on like a bluegrass band or something,",,,
A,"because that's,",,,
A,"I've,",,,
B,"Oh, that sounds nice.",,,
B,"I like bluegrass, too.",,,
A,"yeah,",,,
A,"I've done it before and when I was in in high school and college, and thoroughly enjoyed it,",,,
B,Uh-huh.,,,
A,"and it's really a, a blast.",minor topic end,,
A,"My wife hates it,",off topic start,,A's wife dislikes bluegrass
A,"but that's the way life is, I guess.",,,
B,"That's the hard part, right?",,,
A,Exactly.,,,
B,"If you can do things together, that really helps a lot.",,,
A,"yeah,",off topic end,,
A,"we, uh,",minor topic start,,A and his wife's experience with aerobics
A,"she's, uh, into aerobics,",,,
A,"and, uh, and we did aerobics together for about a month and a half",,,
B,"Oh, that's good, too.",,,
A,"and that went over real well,",,,
B,Uh-huh.,,,
A,"but, uh, that's about it there.",,,
B,"Oh, it's good",,,
B,"and it's healthy, too.",,,
A,"Oh, yeah,",,,
A,yeah.,minor topic end,,
B,"We do that too,",minor topic start,,B indulging in exercise and movies
B,"we have a, uh, a treadmill and, uh, a bicycle and that kind of stuff,",,,
B,"we try to get twenty minutes like at least three for four times a week, you know.",,,
A,"Oh, that's great.",,,
B,Yeah.,,,
A,That's great.,,,
B,"And we like movies,",,,
B,that,,,
B,yeah.,,,
A,"Yeah,",minor topic end,,
A,"that's, uh,",minor topic start,,Responsibility of having a child
A,"spare time,",,,
A,"with a child it's, kind of",,,
A,"she's,",,,
A,"we have, uh,",,,
A,we're looking for a baby-sitter,,,
A,so we've been out twice in in this year so far. By ourselves without the child,,,
B,Uh-huh.,,,
A,"so it's kind of, uh, become an issue you could say.",,,
B,Sure.,minor topic end,,
A,"Um, hobbies,",minor topic start,,Modifying house interiors with spouses
A,"I like, messing around in your house building things, and, you know, putting cabinets up, and, those kind of things, um,",,,
B,"Oh yeah,",,,
B,"that's great, too.",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,"we did some remodeling when we bought a house,",,,
B,"we built, put a kitchen in and, um, that kind of stuff, and painting and some wallpapering,",,,
B,that's fun.,,,
A,It's really kind of fun.,,,
B,It is.,,,
B,It really is.,,,
A,"Especially if your spouse will get in there with you and get dirty,",,,
A,yeah.,,,
B,"Yeah,",,,
B,exactly.,minor topic end,,
B,"I like things that, you know, two people can do,",minor topic start,,Hobbies they indulge in themselves
B,"but I like the quiet of doing things away, you know,",,,
B,"kind of gives you some space for yourself,",,,
B,"and that's what I find in making the dolls and things, that it gives me something that I can create,",,,
B,and I like to crochet and knit.,,,
B,I made some afghans and that kind of stuff.,,,
B,I like doing things with my hands.,,,
A,Uh-huh.,,,
A,Sounds like it.,,,
B,Yeah.,minor topic end,,
A,Do you like to cook?,minor topic start,,Interest in cooking
B,"Yes,",,,
B,I love to cook.,,,
A,"Yeah,",,,
A,"I love to cook, too,",,,
A,"I'm, uh,",,,
B,Italian food,,,
A,"Oh, really?",,,
B,"Yeah,",,,
B,pizzas and spaghettis and lasagnas and that kind of stuff.,,,
A,"Well, we're all skinny farts",,,
A,"so, I,",,,
A,"it,",,,
A,"so when it comes to,",,,
A,"I like to cook and eat and, to have, mainly, I guess, I get to",,,
B,Yeah.,,,
A,"amount of people eat, *listen and then say, man this is really good,",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,it is.,,,
A,"um, um, but it just,",,,
A,"work in the garden, work around the yard, of course,",minor topic end,,
B,Do you do barbecues?,off topic start,,Talking about barbecues and restaurants
A,"Yes,",,,
A,"we sure do,",,,
A,smoke them,,,
B,"Well, uh, uh, smoking and  all that stuff?",,,
A,"Oh, yeah,",,,
A,all that hoedown stuff.,,,
B,"Yeah,",,,
B,"yep,",,,
A,All that stuff that's bad for you.,,,
B,"I, I lived in Abilene for  a little while, and, uh, worked in the Abilene plant,",,,
A,"Oh, sure,",,,
A,yeah.,,,
B,"and we used to go to Joe Allen's Barbecue,",,,
B,"and, uh, oh, that was great.",,,
A,"Oh, yeah.",,,
B,"Really great,",,,
A,"That's, uh, only way to do it.",,,
B,they have some nice stuff down there.,,,
B,I miss it,,,
A,"Well, yeah,",,,
A,"it's, uh, it's, uh, it's, uh,",,,
A,"there's, uh, there's pluses to everything,",,,
B,"Oh, yeah.",off topic end,,
A,"but, you know, seems like there's just so many things to do down here,",minor topic start,,New things to do at A's neighbourhood
A,"I like the sports,",,,
A,I play a lot of racquetball.,,,
B,"We did, I did horseback riding, too,",minor topic end,,
B,"in fact, when my children were growing up, we always had horses",off topic start,,Talking about horses
B,"and, uh, that was kind of for them,",,,
B,"but they weren't as interested in it as we were, you know,",,,
B,"so, uh, that was a real,",,,
B,"I'd say probably for maybe fifteen years, we dabbled in that, you know,",,,
B,"we always had horses around,",,,
B,"and I really enjoyed that,",,,
A,"Oh, that's great,",,,
A,"sounds like you,",,,
B,and I was disappointed when I went to Texas.,,,
B,I didn't see that many of them.,,,
A,Horses?,,,
B,Yes,,,
A,"Yeah,",,,
A,you really don't.,,,
A,"Yeah,",,,
A,"the,",off topic end,,
A,"you have to look real hard to see a lot of things besides concrete, uh,",off topic start,,Dullness at Texas
B,"I know,",,,
B,"I know,",,,
B,it's true.,,,
A,there's buildings and concrete and a lot of people,,,
A,"and that's about it down here,",,,
A,"and so,",,,
B,Uh-huh.,,,
A,Yeah.,off topic end,major topic end,
A,"But, uh, that's great.",closing,,
A,"Well, sounds like you have a lot of nice hobbies there.",,,
B,"Yeah,",,,
B,"you too,",,,
B,you too.,,,
A,"Well, great,",,,
A,"well look, uh,",,,
A,"I know it's probably late for you,",,,
B,Okay.,,,
A,I enjoyed speaking with you,,,
B,Me too.,,,
A,have a good weekend.,,,
B,Okay.,,,
A,Bye-bye.,closing,,
B,"Bye, now.",,,
