Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,what kind of house do you live in?,Major Topic - start,,Comparing their residences' specs
B,"Well, uh, we live in a, a brick home in far north Dallas",,,
B,"and it's, uh, four bedrooms and three and a half baths and swimming pool in the back",,,
B,"and, It's about thirty-five hundred square feet.",,,
A,Uh-huh.,,,
A,"Well, it sounds like ours are pretty similar.",,,
A,"I live in one,",,,
A,I don't have a swimming pool.,,,
A,And mine's about twenty-seven hundred square foot.,,,
B,Yeah.,,,
A,But the four bedrooms,,,
A,and all the rest of it sounds just about about alike.,,,
A,I think it's pretty much typical for this area.,,,
B,It is.,,,
B,Have you been living there very long?,Minor Topic - start,,Comparing their periods of living in residences'
A,I've been in the house,,,
A,I'm in here right now about twelve and a half years.,,,
B,So you've been there longer.,,,
B,"We built this one about, uh,",,,
B,"it's been let's see it's been six years six and a half years ago,",Minor Topic - end,,
A,Uh-huh.,,,
B,and we subcontracted it out ourselves.,Minor Topic - start,,Contracting the house
B,"We bought the lot and, uh, had an architect draw the plans based on our specifications",,,
A,"Oh, really?",,,
A,Uh-huh.,,,
B,"and then we subbed it out,",,,
B,"so, we've been here a little over six years now. And uh, have really enjoyed it because we built what we wanted to have to live in.",Minor Topic - end,,
A,Uh-huh.,,,
A,"Well, I bet you,",,,
A,Uh-huh.,,,
B,My husband got his big garage.,Off topic - start,,Comparing Husbands' interests
B,"He we have a three car garage, that he has a big work area in",,,
A,Uh-huh.,,,
B,and he likes to rebuild cars and redo engines,,,
B,"and, so he has all the work space he needs.",,,
A,"Well, that sounds interesting.",,,
A,I bet he's enjoyed having it that way,,,
B,"He,",,,
A,because,,,
A,kind of hard to find one prebuilt that 's kind of fits those specifications.,,,
B,"It is,",,,
B,and that's why we decided to build.,,,
B,"We looked at things that were already, uh, built",,,
A,Uh-huh.,,,
B,"and the garages were always, if the house was large, it seemed like the garages were small even if they were three car garages which is what we have.",,,
A,"Well, then, most of them don't have a three car garage.",,,
B,Uh-huh.,,,
A,They're kind of rare.,,,
