Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Well a lot of women are as knowledge about football as I am.,major topic start,,about their favorite teams and various other teams
A,"Can I guess your favorite team, if you had one, might be the Steelers.",,,
B,"Yes,",,,
B,uh-huh.,,,
A,"Well, I can understand that.",,,
A,"I, you know, I kind of like the Cowboys, too.",,,
B,Do you?,,,
A,They've had  some great games in the past.,,,
B,"Uh-huh,",,,
B,"I, I always enjoy watching the the, Dallas and Pittsburgh together. You know.",,,
A,"Uh-huh,",,,
A,me too.,,,
A,"It wasn't nearly as much fun when Bradshaw was playing for you guys, I'll tell you.",,,
A,"He lives in the Dallas area now, as a matter of fact.",off topic start,,where Bradshaw lives
B,Does he really?,,,
A,"Well, actually, it's probably closer to Fort Worth,",,,
A,"but it's, it's in the same area.",,,
A,"He bought, uh, bought a big horse farm out in a little town called Roanoke, Texas.",,,
B,Uh-huh.,,,
A,But he pops up on the Dallas scene quite often.,off topic end,,
A,"As a matter of fact, there was some talk about trying to get him involved with the team management in some sort of a coaching job.",minor topic start,,about Bradshaw from team Steelers entering the team as a coach
B,"Oh,",,,
B,I wonder if he'd ever do that.,,,
A,"I don't know,",,,
A,he'd be good at it.,,,
A,"He's such a motivator, he,  primarily,  you know, with the quarterbacks.",,,
B,Yes.,,,
B,Uh-huh.,,,
A,That  would be his specialty.,,,
A,"I wished, I wished they could work something,",,,
A,I really like him.,,,
A,I really do.,,,
B,Uh-huh.,minor topic end,,
B,Well what about the Houston Oilers.,,,
B,Do you like them?,,,
A,"Yeah,",,,
A,"okay,",,,
A,I'd love to see Dallas and Houston play in a Super Bowl.,,,
A,That would be really great.,,,
B,Uh-huh.,,,
A,"That may not ever happen,",,,
A,I don't know.,,,
A,"Uh, Houston  has had some wonderful talent, you know, down through the years",,,
A,and in the earlier years they really had some super teams.,,,
B,Uh-huh.,,,
B,"And Warren Moon,  is, is  proving himself quite well right now.",off  topic start,,about Warren Moon
A,That's right.,,,
A,"He certainly is,",,,
A,he's very good.,,,
B,Uh-huh.,,,
A,He's very good.,,,
B,"He's one of the few, uh, Black quarterbacks that there are.",,,
A,That's right.,off topic end,,
A,"Randall Cunningham was with Philadelphia, I guess last year,",minor topic start,,about Randall Cunningham from team Philadelphia
A,but he's no longer with the team.,,,
A,"So, you're right,",,,
A,"there are very few Black quarterbacks, or at least that are starting anyway.",,,
B,Uh-huh.,minor topic end,,
A,How do you think the Steelers are going to do this year.,,,
A,You have any idea.,,,
B,"I don't know,",,,
B,"I hope they, they do better.",,,
B,"They, they",,,
B,during the past couple of years they've been doing a little bit better.,,,
A,Uh-huh.,,,
B,"But, uh, I think they still have a little, I think they're still such a, a young team I think they still have a little bit to go before they reach the potential,   that it did when ever Bradshaw was playing.",,,
A,Yeah.,,,
A,"Oh, yeah,",,,
A,that was just such super team.,,,
B,"Or, if they even reach that potential again, you know, they may never reach that again.",,,
A,Yeah.,,,
A,"Well that's a tough,",,,
A,"it would be tough to do,",,,
A,it really would.,,,
B,Uh-huh.,,,
