Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay.,major topic start,,talkng about budgeting
A,"So Frank, what, uh, type of, uh, budget do you or your family have?",,,
B,"Well, uh I don't know that we really have a budget.",,,
B,"I have a set amount that I, that I save.",,,
B,"Actually, well actually there is a, a way,",,,
B,budget our money apparently.,,,
B,"The,",,,
B,"uh, my wife, uh, has so much, uh, gets so much to do shopping with every couple of weeks",,,
B,"and, uh, we allot each of us so much money per week for our personal stuff, gas, and things like that",,,
B,"and besides that I, uh, you know, I have a set amount that I save every month.",,,
A,Right.,,,
A,"That's, uh, sounds like probably a tighter controlled budget than what I have",,,
B,Uh-huh.,,,
A,"I am single,",,,
A,"so. I guess, I don't know if that's an excuse for not having a tight budget,",,,
B,Uh-huh.,,,
A,"but  I basically,",,,
B,Really don't  need to.,,,
A,"Right,",,,
A,I don't need to.,,,
A,I am the only that I have to keep track of,,,
A,so it makes it a little bit easier.,,,
B,That's right.,,,
A,"Uh, and also I, you know, I try to save a certain amount each month as well",,,
B,Uh-huh.,,,
A,"and, uh, I try to, try to have an idea of what my expenses are",,,
A,and I am pretty consistent from month to month,,,
B,Uh-huh.,,,
A,"and, uh, whenever, uh, I need to, uh, whenever that changes I am pretty well aware of it without actually having to maintain a budget for it.",,,
B,Right.,,,
B,"Well, I found that, uh, you know, things, as I have gotten older,",minor topic start,,B's experience of budgeting
B,"I am in my fifties now,",,,
B,"but before we use to have, to have to have a very strict budget,",,,
B,I had four kids,,,
B,"and, uh, you know we planned out how much we were going to spend for food and how much for, for this and for that.",,,
B,Kind of anticipate how much things were going to be.,,,
B,"Uh, I guess one interesting aspect of the budgeting I do now is that I set aside, uh, I kind of fence off areas of my check book.",,,
B,"For instance, there are certain things that I know come up, uh, every so often.",,,
B,Every six months I have to pay car insurance.,,,
B,"Uh, every six months I have to pay my taxes.",,,
B,So I take a set amount.,,,
A,Uh-huh.,,,
B,"I've got a money market account that I do a lot of uh, uh, saving in",,,
B,"and I also have got a checking account besides that,",,,
B,"but, what I do on my money market account, my taxes for instance which amount to an average of two hundred and twenty dollars a month. I will just take two hundred and twenty out",,,
B,and I put it in parenthesis.,,,
B,I take it out of the right line total and put it in parenthesis in there and let it build up.,,,
A,Uh-huh.,,,
B,Every month I add two hundred and twenty dollars to it.,,,
B,Then when the tax bill comes in I've got that much set aside.,,,
A,Right.,,,
B,And I guess that's a way of budgeting.,minor topic end,,
A,Yeah.,,,
A,"That's,",,,
A,"I guess I kind of do a similar thing. More, uh, medium or longer range.",,,
A,I just have a maybe a targeted amount that I will save for.,,,
A,"Like I am,",,,
A,probably within a year I would like to buy a new car.,minor topic start,,talking about how cars affect budget
B,Uh-huh.,,,
A,"So, I kind of have a, an amount in my mind",,,
A,"and I am making every effort to, to put a little bit away and increase the amount that I need for a down payment or whatever.",,,
B,Uh-huh.,,,
B,Yeah.,,,
B,"Uh, cars are definitely something that you have to figure into your budget. Not only for buying them, but for keeping them on the road too.",,,
A,Right.,,,
B,"Uh, you know, we've got two cars.",,,
B,My wife has a car,,,
B,and I like to drive pick up truck.,,,
B,"So, we are on a schedule where I try every, uh, three or four years to, to buy a new one.",,,
B,"And you know I am constantly making car payments,",,,
B,"but I figure that's got to be the story of my life anyway, is making car payments.",,,
A,Uh-huh.,,,
B,"So, uh, you know, I get one paid for",,,
B,"and, uh, actually I am saving up for another one besides",,,
B,"so it's you know, it's kind of a never ending thing,",,,
A,Huh. Right.,,,
B,"but you try to, you try to schedule those things so that, uh, you only, you're not paying for two of at the same time I guess is what I am saying.",,,
A,Right.,,,
A,"Have you thought about, uh, leasing?",,,
B,"Well, uh, I have thought about it,",,,
B,"but leasing wouldn't,",,,
B,"you know, I don't use it for my business.",,,
A,I see.,,,
B,My wife uses hers just for pleasure,,,
B,and I use mine just to go back and forth to work which is only ten miles away,,,
A,Right.,,,
B,so.,,,
A,"But if you are rolling it over every three years, it might be advantageous to do that.",,,
B,"Yeah,",,,
B,I guess.,,,
B,"Uh,",,,
A,"You know, typically, you, if you purchase your own car you tend to make, uh, the best returns after you pay it off.",,,
B,Uh-huh.,,,
A,"Of course, the longer you keep it beyond that point, the more profitable it is to own it yourself.",,,
B,Right.,,,
B,"Yeah,",,,
B,you're right.,,,
B,"Uh, I have, uh, been know to keep trucks or cars for oh, ten or twelve years,",,,
B,but I find that after about four years they kind of start going down hill,,,
B,and you got to put put stuff in them you know.,,,
A,That's right.,,,
A,"Yeah,",,,
A,"mine's, uh, seven years old",,,
A,"and I think last year was, that was a rough year for it.",,,
A,I had a number of expenses,,,
B,Uh-huh.,,,
A,"But, uh, I am hoping that most of them were just kind of,",,,
A,"uh, you know the,",,,
A,"as you get to a certain number of miles, you have to get everything replaced, brakes, shocks and all that.",,,
A,"So, I just went through that whole set last year.",,,
B,Uh-huh.,,,
A,I hope that I only have a slow period before I do that again,minor topic end,,
B,"Those things can really upset your budget when they, when they come in.",,,
B,"Uh, you know, it's nice to have a little bit set aside for the, for the unexpected shall we say. So that it doesn't, uh, kill you all in one month.",,,
A,Right.,,,
A,Right.,major topic end,,
A,What line of work are you in?,closing,,
