Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay, um,",opening,,
A,I have two children,major topic start,,talking about appropriate child care
A,"and they're older now,",,,
A,"but, um, I found it very difficult to find good child care when I was looking for a place to for stay while I thought school,",,,
B,Uh-huh.,,,
A,"and,  um, I wanted when they were very young when they were babies say till they were about two years old I preferred that they had an individual take care of them in a home",,,
A,and that's what I looked for,,,
A,"and I was lucky enough to find one right across from my school,",,,
A,and that worked.,,,
B,"Well, that's good.",,,
A,"Yeah,",,,
A,that worked out real well,,,
A,"but when they got older I wanted them to be in a school type situation, three, I think they were both three when they started where they could learn to interact with kids and,  and  be around kids their own age because I think that's that, that would prepare them for school also, it's real important ,  that they  do that, um, that they get that preparation for school,",,,
B,Uh-huh.,,,
B,"Yes,",,,
B,yeah.,,,
B,Uh-huh.,,,
A,so,,,
A,"but I had,",,,
A,"I have switched schools several times because I, I really didn't care for what was going on at that the school.",minor topic start,,talking about schools
A,I wanted them to learn to play I didn't academics forced on them at an early age.,,,
B,"Yeah,",,,
B,"I, um,",,,
B,"that, that's,",,,
B,"oh, oh, you mean you switched schools for the kids.",,,
A,"Yeah,",,,
A,for the for the kids.,minor topic end,,
B,Uh-huh.,,,
A,Yes.,,,
B,"well, I'm just recently married.",minor topic start,,talking about potential future child care
A,Uh-huh.,,,
B,So I don't have any children. Though we plan on having them soon,,,
A,Okay.,,,
B,"but I think, um, that I, that that's probably one of the biggest difficulties, uh,",,,
B,"I think, um, I'm lucky though that, um, my wife will probably not have to work while our children,  are  under four,  or  five.",,,
A,Oh.,,,
A,Wonderful.,,,
B,"Yeah,",,,
B,"I'm a college professor,",,,
A,"Oh,",,,
B,"so,",,,
A,great.,,,
B,"and that's also,",,,
B,"and it's nice for me because, um, most of the time you have so, so much flexible hours so that I could probably work two or three days a week,  and  then one or two evenings,  so  that if my wife does, um, does go back to work part time, um, there probably will be a possibility that I could stay home two days that she would go to work and that I would have to teach at night.",,,
A,Um.,,,
A,Great.,,,
A,"Oh that's, wonderful.",,,
B,"Yeah,",,,
B,"so it will probably workout real nice for us, uh,",,,
A,Yeah.,,,
B,"I  think we're very lucky because just my job sort of builds in flexible schedules,",,,
A,That's wonderful.,,,
