Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Hello.,opening,,
B,Hello,,,
A,"Hi, um,",,,
A,this is Betty,,,
A,"and I'm in Richardson, Texas.",,,
B,I'm Nola,,,
B,and I'm in Plano.,,,
A,"Oh, okay,",,,
A,well here we go,opening,,
A,"I guess we're going to have a lot of parades this weekend in honor of these guys that are, that did some stuff over in the Gulf. Um.",major topic start,,Talking about Gulf and parades
B,"Yeah,",,,
B,"now, did you push one?",off topic start,,Talking personal
A,"Yeah, uh,",,,
B,"Oh, okay.",,,
A,no,,,
A,I haven't pushed one yet.,,,
A,"I just,",,,
B,"Okay,",,,
B,"but, I think it's,",,,
B,I just started doing this,,,
B,so I don't know too much about it.,,,
A,"Okay,",,,
A,we're just sort of getting acquainted here.,,,
B,"Oh, okay.",,,
A,"Um, you know, I, I just wanted to see if, you know, you had an opinion about this,",,,
A,"or, you know.",,,
B,Uh-huh.,,,
A,"Um, so, if that's okay with you, then I'll just press one.",,,
B,That will be fine.,,,
A,Okay,off topic end,,
A,"Well, hi,",,,
B,Hi.,,,
A,"Good morning. Um,",,,
A,"I think I mean, if, if I start this I just wanted to say that, um, one of the things that I don't think we really understood about the, the middle eastern situation is that they're a totally different type of people than we are,",minor topic start,,Talking about middle eastern situation
A,and I mean they think differently,,,
A,and their idea of what is justice is totally different from ours.,,,
A,"And, and right now, I, I think that that's been proven in the fact that, um, they have just,",,,
A,"well, anyway, I just think that, you know, the United States policy over there,",,,
A,I think we should just leave them alone.,,,
A,"I really do. In, in a major way because they just, um, that whole region over there, I think needs to settle its own differences within itself.",,,
B,Yeah.,,,
A,"And that's the way, the course that they should go,",,,
A,"I mean, you know, we can maybe help them a little bit, prompt them,",,,
A,but I don't think this intervention at such high levels should be going on.,,,
A,"The, the thing with Israel and Palestine, I believe that should be settled between them.",,,
A,"And also, um, you know, the other thing is their idea, or our idea of democracy has nothing to do with them.",,,
A,"I mean, I mean, I'm talking about the whole middle",,,
A,"and, and maybe this is too general,",,,
A,"but I just believe that, um, they do not look at democracy the same way we do.",,,
A,They don't understand it as we don't understand the way they live.,,,
B,Yeah.,,,
A,"And, so, you know, trying to put like a square peg in a round hole is just, you know,",,,
A,I don't think that that's the way to go in this,,,
A,"and, um, you know, it, it. Oh, well, that's, that's a couple thoughts on it.",,,
B,Yeah.,,,
A,"I, I guess, you know, I'd like you to maybe express something here.",,,
B,"Well I, I, I think overall that's right.",,,
B,"I think it's kind of sad though, that, for generations they've been taught to hate each other.",,,
A,Yeah.,,,
B,"And that's, you know,",,,
B,"if,",,,
B,somewhere in there someone's going to have to learn a different way.,,,
A,"That's,",,,
A,yeah.,,,
B,"You know, an, an, I, I think that, um,",,,
B,"true we do have completely different ways of looking at things, at a lot of things,",minor topic end,,
B,"but, uh, at the same time, I think there are a lot of, there is a lot of good that the United States and other countries can do, as far as example",,,
B,"and, and, uh, I think some different things could come from what's happened, than what we expect.",,,
A,"Well,",,,
A,"well, yeah,",,,
A,"um, I, I guess we could be a catalyst for their change.",,,
A,"I, um,",,,
A,the war has certainly sort of set things on end over there,,,
A,"and I don't think we'd be talking about this, you know, the Israeli situation, Palestinian situation, um, sort of came to a head, um, unless there had been a war.",,,
A,"I mean that was one thing, that came out of it, good or bad,",,,
B,Yeah.,,,
A,"I, I don't judge any war as good or bad,",,,
A,it's just a war.,,,
B,Yeah.,,,
A,"And I don't see any winners or losers,",,,
A,I just see dead bodies.,,,
A,"I'm sorry. You know,",,,
A,"but, um, I, I just think, you know, you're right",off topic start,,Talking about solving the problem
A,and I think maybe it's at a whole different level of them trying to cooperate and get along.,,,
A,"It's not going to be that we're going to, uh, you know, sort of, tell them to go to their room",,,
A,and that's going to solve the whole problem.,,,
B,Yeah.,,,
A,"It's going to be them,",,,
B,"But, that's the type of thing they understand.",,,
A,Yeah.,,,
B,They don't understand any other way.,,,
A,"And, you know,",,,
B,"And so at that, at that, you have to work at their level, to an extent, too.",,,
A,"It's,",,,
A,"Yeah,",,,
A,"that, that's true too,",,,
A,"I, um.",,,
B,They wouldn't have understood anything else than what we did in the war.,,,
A,"Oh, well yeah,",,,
A,"they, they understand violence.",,,
B,There was nothing else.,,,
B,Yeah.,off topic end,,
A,"They love violent leaders, to, you know,",,,
A,"I mean look at, you know, the leader they had.",,,
A,"They, they just adored him, because he was so strict and cruel,",,,
B,Yeah.,,,
