Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"In, in the light of what has been happening lately with the doctors that I know and lawyers and whatnot, I think national health insurance is a way to throw a lot of money at a very small problem.",major topic start,,Lot of money spent on Health insurance
B,Do you?,,,
B,Why?,,,
A,Why?,,,
A,"Well, if you took half the money that they would spend in the state of Texas for health insurance and gave it to qualified students to, so they could become doctors, the problem would go away.",minor topic start,,Relating number of doctors on cost required for health insurance
B,You think the problem is not enough doctors?,,,
A,"I think the problem is that the doctor doctors have conspired to limit the number of doctors, and that the lawyers have conspired to make sure that if you are a doctor, you are going to pay high premiums on your uh, I mean, on your liability.",,,
B,"Gosh, for one thing.",,,
A,Oh?,,,
A,Uh-huh.,,,
A,And you think there are plenty of doctors?,,,
B,"Oh, yeah,",,,
B,I don't think there is a shortage of doctors,minor topic end,,
B,"and I do know that O B, which is my field the doctors' health the doctors' malpractice insurance is over two hundred thousand dollars a year that deliver babies.",off topic start,,Malpractice Insurance For Doctors
A,Uh-huh.,,,
A,It's astronomical.,,,
B,Now they can't doing anything about that.,,,
B,I don't think they're in a conspiracy.,,,
B,"I think it's our fault, because we as people just sue them.",,,
A,"No,",,,
A,people don't sue,,,
B,"People are very sue, sue conscious.",,,
A,lawyers sue.,,,
A,If you put a ten thousand dollar cap on the amount of money that a lawyer could make from a law suit against a doctor,,,
B,Yeah.,,,
B,"Well, that's probably true, too.",,,
B,But people are very conscious of how much money they can get real fast these days.,,,
A,"Well, sure.",,,
B,"And, so,",off topic end,,
A,"But, you know, when you think about reasonableness, now, I believe that a law suit should have some foundation in the tort theory.",off topic start,,Justification of mistakes committed by doctors
A,You know what tort theory is?,,,
B,No.,,,
A,"Well, a tort is when you do something wrong.",,,
B,Right.,,,
A,"Well, it, uh,",,,
A,an O B G Y N doctor cannot control the fetus in the womb a hundred percent.,,,
B,That's right.,,,
A,"If the baby is born dead, well, that happens.",,,
B,"Well,",,,
A,"If, if they have complications and,",,,
B,It depends.,,,
A,"Well, I know, I mean, there are guys that are real slobs,",off topic end,,
A,"but you know, there are also people out there that are really doing their job.",,,
B,"Well, that's true,",,,
B,they are because doctors are performing many more tests.,,,
B,"Many of them are unnecessary,",,,
B,they are doing so many C sections just to prevent.,,,
A,Just to prevent a a law suit.,,,
B,Because they have all these monitors now,,,
B,"and if anything looks even a little bit funny their only safety precaution is to go in and get that baby,",,,
A,Yeah.,,,
B,"and so it's costing more all around in health insurance for tests, for surgery, for longer hospital stay.",,,
A,Yeah.,,,
A,Uh-huh.,,,
A,"See, I believe that there, there is a system already in place for health care.",,,
B,"So, it's terrible.",,,
B,Uh-huh.,,,
A,"You know, they have indigent health care.",minor topic start,,Showing people prefer cheaper places to Doctor
A,You show up at Parkland bleeding,,,
B,You'll get it.,,,
B,That's true.,,,
B,"In fact, you'll get it at Presbyterian if you show up there, too.",,,
A,Yeah.,,,
B,And we have that happen.,,,
B,We have patients that go through Parkland through the clinic,,,
A,Uh-huh.,,,
B,"and at the last minute, they come to us.",,,
B,"Well uh, we can't turn them away.",,,
A,Uh-huh,,,
B,"So,",,,
A,"Yeah,",minor topic end,,
A,I think that if you just wrote the lawyers out of the equation the problem would pretty much evaporate.,,,
B,Yeah.,,,
B,I'm for that.,off topic start,,Lawyer involvement in Divorce case
B,"I've been through a two year divorce where the only one that came out ahead was my lawyer,",,,
B,so I'd like to wipe them all out,,,
A,Yeah.,,,
A,"Well, I, I happen to know a few",,,
A,and I even claim one as a friend.,,,
A,He's a divorce attorney.,,,
A,"But,",,,
B,He better not be mine,off topic end,,
A,"I think he'll go nameless for the, for the purposes of this conversation.",minor topic start,,Problems faced by OBGYN doctors against Lawyers
A,"But I also know an, uh, O B G Y N who has stopped practicing.",,,
B,"Yeah,",,,
B,some they do.,,,
A,"Uh, he just said,",,,
B,They stop their O B at least.,,,
A,"Yeah,",,,
A,"I mean, he's not going to deliver any more babies ever.",,,
B,"Right,",,,
B,Right.,,,
A,His malpractice was five hundred thousand dollars a year.,,,
B,That's incredible.,,,
A,"And, you know, he said, I had to, he had to gross two million to take home as much as his malpractice.",,,
B,Yeah.,,,
B,And most of them are very sincere.,,,
B,Most of them do the best they can.,,,
A,Yeah,minor topic end,,
B,They are human.,off topic start,,Showing that doctors can also make mistakes
B,Occasionally something will go wrong.,,,
B,"Well, you can be human and Catholic.",,,
A,"I know you can be human and Catholic,",,,
A,"but, you're not likely to find somebody who is going to, you know, have a less conscientious effort.",,,
B,"Yeah,",,,
B,no,,,
A,"I mean,",,,
B,most of them do.,,,
B,I really believe that.,,,
B,"From dealing with doctors, dealing with lawyers, there is no doubt in my mind who is more conscientious.",off topic end,,
A,"Well, you know, who is getting rich?",minor topic start,,About Insurance companies getting benefitted from insurance
A,Insurance companies.,,,
B,"Yeah,",,,
B,they are.,,,
A,"You know, if you were able to write a malpractice insurance that would negate any financial obligation on the part of the doctor over and above the insurance,",,,
A,"say, say you have malpractice insurance and a kid dies or is malformed",,,
A,"or,",minor topic end,major topic end,End has been incomplete
