Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Back by that.,,,
A,"The, uh, uh,",major topic start,,They talk about racial and sexual inequality
A,"you know there are so many ramifications to this entire thing of woman, how women have changed,",minor topic start,,They talk about women not being heads in US
B,Uh-huh.,,,
A,"uh, look at them,",,,
A,"in England, Margaret Thatcher was prime minister, uh, Indira Ghandi , uh, in India,",,,
B,Uh-huh.,,,
A,"so many, uh, women are heads of state",,,
A,"and I, you know, we, we keep saying oh yes, we feel some day a woman will be president.",,,
A,"But, uh, I have some question, whether or not they will ever really get around to that.",,,
A,I think we'll have a black president before we have a women president.,minor topic end,,
B,Uh-huh.,,,
A,"And, uh, I don't know whether that's bad or good,",,,
A,"it's just a point that I have observed that we,",,,
B,"Yeah,",,,
B,"I, I,",,,
B,"yeah,",,,
B,"I, I, I truly believe that, that before that, that we have to address the racial, racial issues in the United States, before we can go anywhere.",minor topic start,,They talk about racial inequality
A,Yes.,,,
A,Right.,,,
B,"Um, because it is so, you know, it's,",,,
A,"Uh, oh.",,,
B,Hello.,,,
A,"Uh, oh, I think, we're, we're supposed to hang up.",,,
B,"Yeah,",,,
B,"well it wasn't the matter of wealth,",,,
B,"it was the matter that they were not wealthy, that made them equal.",minor topic end,,
A,Yes.,,,
B,"Well, I'll talk to you later,",closing,,
A,All right.,,,
A,Thank you.,,,
A,"Bye, bye.",,,
B,Okay.,closing,,
B,Bye-bye.,,,
