Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay,opening,,
B,"Okay, uh,",opening,,
B,"the question was about, uh, physical fitness and staying in shape and exercise.",,,
A,Uh-huh.,,,
B,"Well, uh, I, I don't do it as much as I should.",minor topic start,major topic start,person starts talking about exercising and frequency
B,I try to walk.,,,
A,Uh-huh.,,,
B,"And, uh, last year I would, I did it every day,",,,
B,"but I've kind of, in ninety-one I've kind of gone down hill.",,,
A,Uh-huh.,,,
B,"And so I'm not doing it as much as I need to,",,,
B,"but I, I can tell you when I do do it on a regular basis I feel so much better and so much healthier.",,,
A,I agree,,,
B,"But it's just to get motivated to do it,",,,
B,"and once I get started, and, and, I, I, I I do it every night.",,,
A,Uh-huh.,,,
B,"It's just to get, uh, motivated again,",,,
B,and what happened about couple of weeks ago I started again.,minor topic end,,
B,"And I was walking,",off topic start,,person starts talking about a personal event 
B,and it got kind of dark.,,,
A,Uh-huh.,,,
B,"And I was by myself,",,,
B,and there was this fellow in this truck that kept circling the block.,,,
A,Ooh.,,,
B,"And, so I, I kind of got frightened,",,,
B,and I kind of use that as an excuse.,,,
B,"All I have to do, is start earlier,",,,
B,but.,off topic end,,
A,Right.,,,
B,"I haven't walked since,",minor topic start,,persons views on excuses on fitness
B,so.,,,
A,It's always easy to find an excuse not to exercise.,,,
A,I know what you mean.,,,
B,"Yeah,",,,
B,it sure is.,,,
B,It sure is.,minor topic end,,
B,How about you?,,,
B,Do you exercise on a regular basis?,minor topic start,,person A's previous fitness regime
A,"Um, well, I try to.",,,
A,"Um, I started at the beginning of this year,",,,
A,"I decided all right, I'm going to start exercising again,",,,
A,"I'm going to be real good,",,,
A,"and I went through the T I fitness center and registered for the, uh, aerobics classes there.",,,
B,Uh-huh.,,,
A,And they run for two months at a time.,,,
A,"And you have to, you do have to pay to take them.",,,
A,"And I took, I signed up for one that was three nights a week, an hour and a half,",,,
A,so that was four and a half hours a week.,,,
B,Oh.,,,
A,"And it cost sixty dollars,",,,
A,"and I thought, okay, that's not cheap,",,,
A,that'll encourage me to always go since I spent that much money.,,,
B,Right.,,,
A,"And I had a friend of mine going,",,,
A,"so I was real good,",,,
A,I only missed it about three times.,,,
A,"And then, oh, March came around,",,,
A,"and I signed up again,",,,
A,"and I got, uh, caught up with a class I was taking at T I,",,,
A,and then I was having to work some real late hours to get caught with my work after I got out of class.,,,
B,Uh-huh.,,,
A,And then I went to Colorado Springs the next week to do some training at the T I up there.,,,
A,"And so that was two weeks I had missed,",,,
A,"and, boy, I tell you what, I've been terrible ever since then.",minor topic end,,
B,"Yeah,",,,
B,"it's once you get out of that habit you just don't, you don't get back into it.",,,
A,Uh-huh.,,,
B,"Because I teach school,",minor topic start,,person B now narrates previous personal regime for fitness
B,and last year a bunch of teachers had an aerobics class.,,,
B,"We went in together and hired a private instructor,",,,
B,and she came to our school twice a week.,,,
A,Uh-huh.,,,
B,"And, I, I was,",,,
B,"I would go faithfully,",,,
B,and then I missed once.,,,
B,"Then I went back again a couple times and missed another time, and then kept missing and never went back again.",,,
A,Uh-huh.,,,
B,"I think, if you,",,,
B,you just have to stick with it.,minor topic end,,
A,"Oh, yeah.",,,
A,"I think I've been two maybe three times the month of April,",minor topic start,,person A's recent fitness regime
A,and this session is about to run out.,,,
