Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Hello.,Opening,,
A,"I pressed the button one,",,,
A,so we're recording right now.,,,
A,I'm sorry,,,
B,That's okay.,,,
B,I'm Bill from Raleigh.,,,
A,"Okay,",,,
A,"and I'm Melanie from Harrisville, Utah.",,,
B,"Oh, another one from a different state besides Texas.",,,
A,Yeah.,,,
A,"Um, okay,",,,
A,"Bill, we're talking about family reunions.",Major Topic Start,,Talking about reunions
B,Right.,,,
A,"Okay, um,",,,
A,have you ever had to plan a family reunion?,,,
B,"Uh, yes",,,
B,"and no,",,,
B,"it wasn't really a a planning one,",,,
B,"but it was kind of, uh, it was a birthday",Off topic start,,Talking about birthday
A,Oh.,,,
B,and I brought a lot of family together then.,,,
A,Uh-huh.,,,
A,And how did you feel it went?,,,
B,It went pretty good.,Off topic end,,
B,"I'm, I've worked in hotels,",,,
B,"so I, I kind of know how to do these things.",,,
A,Oh.,,,
B,"I used to, you know.",,,
A,"All this planning and, and getting together and such.",,,
A,"Um, oh, let's see what else.",,,
B,"Usually when we have kind of our family reunion it's my grandmother's birthday,",Minor Topic Start,,Talking about grandmother’s birthday
B,"and and it's all of like, she, she comes from a big family.",,,
A,Uh-huh.,,,
B,She has like seven sisters I think.,,,
A,"Oh, boy",,,
B,They show up and all their kids.,,,
B,"And then all, she has, uh,",,,
B,"I have like, uh,",,,
B,"let's see,",,,
B,"she has four sons and two daughters,",,,
B,"and they show up and all their kids,",,,
A,Uh-huh.,,,
B,"so it's a pretty big reunion,",,,
B,"it's about two hundred people, maybe.",,,
A,"Oh, my word.",,,
A,"Well, what did you find was most helpful in planning the birthday get together?",,,
B,"Um, the, probably the biggest challenge was getting a place where everyone, you know, could eat comfortably and, and everything, uh.",,,
A,Uh-huh.,,,
B,"I guess probably the most helpful thing was that, um, for the rent, we rented like a, a rescue squad building or something like that.",,,
A,Oh.,,,
A,Uh-huh.,,,
B,"And, uh, each one of the, everybody that showed up donated some money for the rent and for, for like soft drinks",,,
B,and and so nobody like really got stuck with the bill.,,,
A,Oh.,,,
A,"Oh, that's good.",,,
B,"And each person in the family, you know, brought a dish, or something.",,,
A,"Uh-huh,",,,
A,"and then did you have a main meal,",,,
A,"or did everyone just bring,",,,
A,it  was just pot luck.,,,
B,It was kind of  pot luck.,,,
A,Uh-huh.,,,
B,"You know, everybody brought their specialties, I guess you would say.",,,
A,"Yeah,",,,
A,"yeah,",,,
A,show off a little bit,,,
B,Yeah.,,,
B,"And of course my grandmother's food was, as always, gone first because she's such a great cook.",,,
A,Oh.,,,
A,Oh.,,,
A,Now how old is she?,,,
B,"Uh, she's eighty-six.",,,
A,"Oh, goodness.",,,
A,"Is she pretty spry, is she, you know, pretty.",,,
B,"Now she does,",,,
B,she looks probably like she's in her early sixties,,,
A,"Oh, wow.",,,
B,"and if she didn't have arthritis, she'd get around better than me as a matter of fact",,,
A,Uh-huh.,,,
A,Oh.,,,
A,"Oh, that's neat, that she's in good health, and that, at that age.",,,
A,Yeah.,,,
B,"Oh, yeah.",,,
B,My nickname for her is Honey Woman.,,,
B,That's what I call her.,,,
A,Really.,,,
A,Well that sounds fun.,Minor Topic End,,
A,"Well, I I had a real challenge of planning a family reunion a few years ago,",,,
A,"and there were,",,,
A,"we sent out five hundred, uh, announcements, because our family is quite large, like your, your family there.",,,
A,"And so that was a real challenge,",,,
A,"and I was president of our family reunion for two years,",,,
A,"and I wasn't very at that duty, for two years in a row,",,,
A,but I found that advance planning was the key to success.,,,
B,"Uh, also one thing that's helpful,",,,
B,and I don't know if your family's spread out or whatever,Minor Topic Start,,Talking about family
A,Uh-huh.,,,
B,"but most of, all my family lives like in the same county",,,
B,so,,,
A,"Oh, that's wonderful, though",,,
B,But it's just kind of like get on the telephone,,,
B,"and, it's so and such days from such and such date",,,
A,Oh.,,,
B,and everybody just shows up.,,,
A,"Oh, well, that is, that is helpful.",,,
A,"Yeah,",,,
A,"our family ranges from, oh, goodness, well, Australia,",,,
A,"I have a brother lives in Australia, to, uh, Boise, Idaho, and, and, uh, all kinds of places.",,,
B,"I would say you're spread out, then.",,,
A,We are,,,
B,"Uh, my immediate family, you know, my, my parents and my brothers and sisters, I guess we're the ones that have the gypsy blood or whatever,",,,
B,because my dad was in the Army,,,
B,and we're we're pretty strung out all over.,,,
A,Oh.,,,
B,"But since they've moved back to Carolinas, we still are the only ones do not live in in Yantsen County.",,,
A,In.,,,
A,Oh.,,,
B,"I live in Raleigh,",,,
B,"and then my, my parents live in Greenville,",,,
B,"and I have one brother and his wife live in Greenville, and, uh, another brother that lives in, outside of Fayetteville.",,,
A,Uh-huh.,,,
B,"So I mean, we're, we're spread out,",,,
B,"but everybody else is centralized in, in, my home town, Waynesboro",Minor Topic End,,
A,Boy.,,,
B,so.,,,
A,"Oh, my gosh.",,,
B,Nobody moves away except us,,,
A,They must really like it there.,,,
B,"Yeah,",,,
B,I got out as soon as I graduated.,,,
A,Yeah.,,,
A,Oh.,,,
B,"Just like this town is too small for me,",,,
B,Good-bye.,Major Topic End,,
A,"Oh, you're ready to move on to",,,
