Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",opening,,
A,"should begin. *listen; could probably code if we could tell if it said ""we"" or ""you""",,,
B,Okay.,,,
B,All right.,,,
A,"Uh, I can begin this, um,",opening,,
A,basically I work for Honeywell in Minneapolis,major topic start,,benefits package
B,Uh-huh.,,,
A,"and the, the benefit program we have here is really quite good.",,,
A,"I'm, I'm pretty pleased with it.",,,
A,"They cover, uh, just about everything, vision, dental, medical",,,
B,Uh-huh.,,,
A,"uh, you name it,",,,
A,"and for me this is the first job I've had where they've covered that much,",,,
A,so I'm pretty satisfied myself.,,,
B,Uh-huh.,,,
A,"Um, what's your situation?",,,
B,"I work for the University of New Hampshire,",,,
B,"and uh, our benefits package isn't, uh, isn't quite as good in some ways. Uh, you know,",,,
A,Oh.,,,
B,overall I'm satisfied with it.,,,
B,"We don't have the vision care,",,,
B,"we do have the health care and the, uh, and the or the dental.",,,
A,Uh-huh.,,,
B,Uh.,,,
A,Are you a professor there?,off topic start,,talks about the ocupation
B,"No,",,,
B,"I work in, I'm a, on the professional administrative and technical staff,",,,
B,"and I, effectively I run the telephone switch at, uh, at the University of New Hampshire.",off topic end,,
A,"Oh, I see,",,,
A,okay.,,,
B,"Uh, so the, uh, the benefits,",,,
B,"uh, probably the main thing I like about the benefits is the, uh, the, uh, very generous vacation time and sick time.",,,
A,"Oh, no doubt",,,
B,"We get fifteen days a year sick time,",,,
B,"and, uh, we get twenty-four days a year, right from the day one when you start work, you get twenty-four days a year, uh, time off.",,,
A,Right.,,,
A,"Well, that's good.",,,
B,Yeah.,,,
A,"Yeah,",,,
A,"that's one of the things I guess I would change about Honeywell, is, uh,",minor topic start,,talks about the lack of holidays in benefits package
A,"I used to work with the Army Research Institute,",,,
A,"and being a, uh, a government organization you got quite a few holidays off.",,,
B,Right.,,,
A,But here you don't get that.,,,
A,You maybe get two or three a year.,,,
B,Uh-huh.,,,
A,"So it's really,",,,
A,"unless you, unless you have some vacation time or some, some sick leave or whatever, um, you kind of have to finagle your way around to get that time.",,,
B,Uh-huh.,,,
A,"So, that's, that's kind of a drawback I think.",minor topic end,,
A,"But, uh. I don't know.",,,
A,"What do you consider most important, you think, in terms of, of the different benefits?",,,
B,"Well, I think, uh, the, the health care, of course, is an important, and has to be the single most important benefit",,,
A,Uh-huh.,,,
B,"and, uh, the rates that we keep paying seem to keep increasing, uh you know,",off topic start,,about increasing healthcare rates
A,Yeah.,,,
B,"I'm, I'm a little disturbed about that,",,,
B,"but I think that's a national trend,",,,
B,"and I don't know that, uh, I don't know what the solution is to it.",,,
B,It's bigger than just the benefits part.,,,
A,"Yeah,",,,
A,"I don't know if you saw on TWENTY TWENTY the other night,",,,
A,"they, uh, they basically reviewed Oregon's plan or The Oregon Plan toward, uh, nationalizing health care and that kind of thing.",,,
B,Uh-huh.,,,
B,Right.,,,
A,It's kind of an interesting plan.,,,
A,It's kind of cold though.,,,
A,"They've essentially made up a list of, uh, oh, all the different, uh, medical maladies that you can have and then basically made a cutoff,",,,
B,"Oh, yeah.",,,
A,"about six hundred and eighty-seven and below will not be covered by, by, uh, subsidized health care,",,,
A,and the ones above would.,,,
B,Um.,,,
A,So it's kind of like drawing this line,,,
A,"and, and if you have it great,",,,
A,"if you don't, you're kind of out of luck",,,
B,Uh-huh.,,,
A,"but, um, it was kind of an interesting show.",off topic end,,
B,Um.,,,
A,"I think you're right,",,,
A,"I think health care is probably the, the most pressing uh, the pressing one,",,,
B,Right.,,,
