Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Yes,",major topic start,,"Whether Puerto Rico should be given statehood , independence or the status quo "
A,"um, I was wondering whether you were in favor of statehood, independence, or the status quo for Puerto Rico.",,,
B,"I was a resident, although very young of the of what is now the state of Alaska in nineteen fifty-nine when Alaska stopped being a territory and became a state.",,,
B,"Uh, so I guess I have a left over positive feeling about the question even though I don't know very much about Puerto Rico.",,,
B,"Uh, I know that all the things that happened, relative to that territory in Alaska have been very positive, uh,",,,
B,"and I have a suspicion that, that I believe that a, the statehood is a good idea whenever you have a territory the size of Puerto Rico one ought either to make it a full-fledged state or, or let it go, one or the other.",,,
B,What is your situation?,,,
A,"Well, I'm, I guess I don't have such close experience with, with, um, an area becoming a state as you do.",,,
A,"Um, my concern is the economy because as I understand it Puerto Rico has a very low uh, standard of living or at least, um, annual average income.",,,
A,"Um, part of this I suppose is justified in, in that the climate they don't need, perhaps, the heating and the housing that some of the more northern territories need.",,,
A,"However, in that case, I guess I would favor status quo.",,,
A,"I have been to Puerto Rico and, and found it very, very interesting.",off topic start,,Speaker A's experience during a trip to Puerto Rico
A,I did Peace Corps training there.,,,
B,Oh that's very interesting.,,,
A,"And so, um, you know, I saw it, also as a young student",,,
A,"and, and it was very foreign in a certain sense, although I had grown up in California",,,
A,and so the Spanish was no problem.,,,
A,"Um, it was, it was, you know, very lovely",,,
A,"and, and the people seemed very friendly and, and nice.",,,
A,"I have,",,,
A,"actually, I work with, uh, a girl from Puerto Rico",off topic end,,
A,"and, I guess I have never thought to ask her what she favors, um.",,,
B,"Your concern on the economy was one in terms of, if it became a state would that put even more pressures on, on Puerto Rico, or pressures on the U. S. in terms of aid",,,
B,"or,",,,
A,"Well probably more on, in terms of the U. S. Um,",off topic start,,speaker A's thought about how U.S would cope with aiding new states
A,"you know, I'm, I'm not quite sure how the U. S. copes with this sort of thing.",,,
A,"I've live abroad most of my life,",,,
A,"so, I guess I, I've been very cut off.",,,
A,"I lived actually in Lebanon,",,,
A,"so, I was very cut off from the, the press as I, you know, and be, was becoming an adult.",,,
A,"So, I don't know how the U. S. would cope with, uh, a new state that is so very, very poor.",,,
B,Uh-huh.,,,
A,"Um, I guess, you know, we'd have a lot of aid, if, if you consider the inner cities of like New York and, and how much aid it needs.",,,
A,"I suppose the whole country, or the whole, um, new state would require such aid.",off topic end,,
B,"I guess, um, we're assuming that, that Puerto Rico would be per capita significantly more poor perhaps than, than say Mississippi",minor topic start,,comparing per capita of Puerto Rico and Mississippi and about the location and about people of Puerto Rico
B,"or,",,,
A,I think so.,,,
B,"Okay,",,,
B,"that's something that, that I guess I have not much of an image of other than, than Puerto Rico as a tropical island and consequently large numbers of barefoot natives or something not in a perjuritive sense but in a, in a carefree sense, I guess.",minor topic end,,
B,"Although I'm aware of the political problems and unrest, and, and also difficulties they have. Um, I don't know whether state statehood would improve their economy.",,,
B,"I don't, I don't know that the the act of being a state would have any impact on, on them.",minor topic start,,economy and taxes in Puerto Rico
B,"Uh, I guess they would have the ability to do some taxing that they don't have now.",,,
B,But of course if their economy is weak there is not much of a base on which to tax.,,,
B,"I don't know if they suffer in a sense of income loss as being, since they aren't a state, whether there are monies that escape them so to speak because they aren't able to tax like a typical state would be.",,,
B,"How do you feel, though, about,",minor topic end,,
B,"well I guess it's to their advantage to be a territory,",,,
B,"but, um, I wonder how have, having been in a territory but only as a young student",off topic start,,speaker B talking about Alaska as a territory during his childhood  and district of Columbia.
B,and my parents were in the military at the time,,,
B,"so they didn't have ready negative feelings about being in, in Alaska at the time since they voted absentee.",,,
B,"I, I would imagine that it must be a little bit of a feeling of second class citizenry, uh, to be in a territory that large and not being able to vote.",,,
B,"The District of Columbia people, for instance are quite frustrated, I think, at times in their not having a Senate representative.",,,
A,Uh-huh.,,,
A,"Yeah,",,,
A,"those, are good points, um, which obviously I had never thought about.",off topic end,,
