Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Do you know,off topic start,,B talks about his view on society and trusting people
B,I don't know what to think.,,,
B,"I, I, uh,",,,
B,the person I am I want to believe that it's an honest effort.,,,
B,"I want to believe that, that they really are trying to change. That, that maybe they are headed for a more democratic society",,,
B,"and I, I want to believe it's all okay.",,,
A,Uh-huh.,,,
B,"But then there's that side of me that says, yeah,",,,
A,Right.,,,
B,"so, so it's like there is a struggle within me going do, do I be open-minded and give them the benefit of the doubt which is kind of my basic personality.",,,
B,"You know I, I trust people.",,,
A,Uh-huh.,,,
B,I'll do that.,,,
B,"Or do I keep on going, well, we'll wait and see",off topic end,,
A,"Well, I think there's a, a struggle within the Soviet Union.",major topic start,,Government's approach towards problems and they talk about support of russian people for it
A,"Um, I think the people are, are just fed up,",,,
A,and I think it's showing,,,
A,"and all the republic is trying to gain their independence,",,,
A,"and I think, uh, that's making Gorbachev and others realize that, hey, maybe this Communist thing isn't working.",,,
B,"Yeah,",,,
B,"that's it's not just a or, uh, western society telling you it's, it doesn't work.",,,
A,Right.,,,
B,"You know, they've always said, you know, the, the Soviet people were united,",,,
B,"we believe this,",,,
B,"and maybe they are seeing that, no, no, hey, we don't believe this, you know.",,,
A,That's right.,,,
A,"I think,",,,
B,"I guess I keep that one part of me that's like,",,,
B,"well, I don't know I want to trust them",,,
B,"and I,",,,
B,"it's like I can't,",,,
B,"and maybe it's because, you know, we've had our own propaganda over the years,",,,
B,I don't know.,,,
A,"Well, that, that could be.",,,
A,"You know what I,",,,
A,"we always, we think of the K G B and we think such bad things, you know.",minor topic start,,Compariosn between KGB and CIA
A,"But I wouldn't doubt if the Soviet people think C I A and they think such bad things, you know.",,,
B,And they probably do the same things.,,,
A,exactly.,,,
A,They do.,,,
B,You think the C I A doesn't spy?,,,
B,I'm sure they do.,,,
A,"Oh, yeah,",,,
A,"they do, you know.",,,
B,"Now the difference is we don't, I, I don't think we take people and kill them just because they don't believe what we believe.",,,
B,"You know, I think to that extent we don't go as far",,,
B,but I'm sure they lie. You know?,,,
A,"Oh, yeah.",,,
A,"Oh, absolutely.",,,
B,"So,",,,
A,"That's part of that propaganda thing,",,,
A,"and I think if we can get away from that, or if we can keep that out of our minds, oh,",minor topic end,,
A,"excuse me, I've got a cold today.",off topic start,,A is not well as he has cold
B,That's all right.,,,
B,I hope you get better,,,
A,Thank you.,off topic end,,
A,"Um, I think if we can get that propaganda thing because I'm sure both countries are seeing, seeing it, you know, thinking K G B and C I A and all that",,,Thoughts of people regarding the government
A,"but, uh just on an economic point of view, if the Soviet Union doesn't do something fast they are, they ain't going to be able to feed their people this, this winter, you know.",,,
B,Yeah.,,,
B,Yeah.,,,
B,Yeah.,,,
B,That's true.,,,
B,And I'm not against them being concerned,,,
B,"but I feel like we ought to be spending maybe the same time and effort and, and energy into trying to solve our own or resolve our own.",minor topic start,,Relations with USA and their domestic problem
A,Right.,,,
B,"You know, I mean, you know, any, any country that wants to be democratic I'm all for helping them, you know, because I, I understand that, you know, you are looking at the United States as the biggest and longest supporter of that type of government.",,,
A,Right.,,,
B,"But at the same time I, I agree.",,,
B,"I don't think we can do it and, and just, you know, turn our backs or, or be ignorant per se to the things that are happening here.",,,
A,That's right.,,,
A,"You know, we've got, uh, we've got quite a few domestic problems that, uh, that I feel we ought to be concentrating more on.",,,
A,"I think the problem is, you know,",minor topic end,,
A,"on the international scope maybe the president feels that, uh, you know, for long-term relations with all these countries it's important",off topic start,,Plans of the president
A,"and well, we'll, we'll always have the United States.",,,
A,"And, you know, we need to solve these international problems",,,
A,"but, um, I think I heard in the news about last week sometime that, uh, the president ended up canceling one of his international trips so he could spend more time on on a domestic issue because the American public is kind of getting fed up with it.",,,
B,"Yeah,",,,
B,"we, we, we believe in what he's doing abroad",,,
B,"but, but like you said there's issues here too.",off topic end,,
A,Right.,minor topic start,,Final say of both person on their country's current situation
B,"And but I, I am encouraged by what is happening in the Soviet Union.",,,
B,"I'm encouraged by what's happened in, you know, the, the iron curtain countries, you know, in, in that block",,,
A,Right.,,,
B,"and, and I think it's moved in the right direction.",,,
B,"I, I think sometimes people expect it to happen overnight.",,,
A,Yep.,,,
B,"You know, it's not going to.",,,
A,No.,,,
