Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay,,,
A,"wow, I don't know what that was.",off topic start,,addressing a random interuption
B,What was that?,,,
A,I don't know,off topic end,,
B,"And, uh, to, uh, the Brazos River near Dinosaur Valley State Park.",major topic start,,persons thoughts on camping
A,Uh-huh.,,,
A,"Oh, yes.",,,
B,Uh-huh.,,,
A,"Uh-huh,",,,
A,"uh, we have not camped in any of those places,",,,
A,"in fact it has been a number of years since we have camped,",,,
A,"but we used to go to Tyler State Park and, uh, Daingerfield",,,
A,"and in Texas that is where we camp basically. Uh,",,,
B,What are they like?,off topic start,,persons preferrences in campsites
A,They are very nice.,,,
A,"Tyler is really, really a neat place to camp.",,,
A,It has a nice little lake,,,
A,"and it has some really wonderful, uh, sights that are in the wooded areas.",,,
A,"Uh, the facilities are quite nice",,,
A,"and our children liked, liked it quite well.",,,
A,"and you know they,",,,
A,we felt real safe with their being able to do what they would like to do there in the area.,,,
A,"And, uh, it was just, it was just a really nice place to camp.",,,
B,Uh-huh.,,,
A,"Uh, now Daingerfield is,",,,
A,"let's see,",,,
A,"I think that's a little bit more east, further east, and and maybe south, if I am remembering where that is.",,,
A,"No,",,,
A,"I think it's a little bit further north, when I think about it.",,,
A,"At any rate it was, it was very nice as well.",,,
A,"But Tyler, we sort of got spoiled with, I think.",,,
B,Uh-huh.,off topic end,,
A,"But, uh, we had lived in Michigan before we came here and, uh, had done a lot of camping in Michigan,",,,
A,"I think the upper peninsula of Michigan, especially,",,,
A,"and then also, we had done some camping in Colorado, in the mountains,",,,
A,"so, uh, my parents were real avid campers",off topic start,,his parents connection to camping
A,and my husband's parents were really avid campers as well.,,,
A,So I guess we just kind of came by it naturally,off topic end,,
B,Yeah.,,,
A,Do you have a large tent,off topic start,,queries regarding persons tent and supplies
A,"or,",,,
B,"Yeah,",,,
B,it was a nine by twelve.,,,
A,Uh-huh.,,,
B,Uh-huh.,,,
A,"And how many does it sleep, uh, comfortably?",,,
B,"Well, there, well supposedly,",,,
B,they always say it sleeps more than it does.,,,
A,Right,,,
B,"But they,",,,
B,it would have slept three adults anyway.,,,
A,"Yeah,",,,
B,Yeah.,,,
A,"Well, sort of early on especially as our children got a little bit bigger, uh, we invested in some stacking, uh, cots, you know, that were like bunk, bunk beds,",,,
A,"but they were cots, fold up cots.",,,
A,"That really gave us a lot more space, um, floor space and, so, you did not have to be constantly getting things off the floor in order to walk around",,,
A,"and,",,,
B,Right.,,,
A,"uh, gave us a place to stack things during the day",,,
A,so that was real nice.,,,
A,"But, uh, we, uh,",,,
A,"like, my in-laws also had a camper, or, uh, a pop up tent, you know, one of those trailer tops",,,
A,and those are really nice too.,,,
A,"A little more, uh, luxurious, so to speak, but not much",,,
B,do they have a kitchen in them?,,,
A,"Yes,",,,
A,uh-huh.,,,
A,"It's really nice,",,,
A,"in fact, it even had, had a little refrigerator, uh, and the whole business.",,,
A,It was quite nice in that respect.,,,
A,"Uh, and everything was very convenient",,,
A,"and you did not have to, to be hauling things out of your, the trunk of you car,",,,
B,"Trunk  of your car all time, right.",,,
A,and that was nice.,off topic end,,
A,"So, uh, do you have plans for, for any other camping trips in the near future?",minor topic start,,persons plans for future camping trips
B,"Uh, maybe, uh, maybe back to Caddo, or, Uh, Purdis Creek.",,,
A,Uh-huh.,,,
A,Right.,,,
B,"Or, I like Bob Sandlin too,",,,
B,it's a new park.,,,
A,Uh-huh.,,,
B,"And there is, uh, not really camping,",,,
B,"but, uh,",,,
B,"what is it called, Cedar Hill.",,,
A,Right.,,,
B,Lake Joe Pool.,,,
A,"Oh, yes.",,,
B,"And sometime, I like to go to Eisenhower up on Lake Texoma.",,,
A,"Yes,",,,
A,"yes,",,,
A,I have been in that area.,,,
A,That is a really pretty state park.,,,
A,"Uh, just,",,,
A,"we did not camp there,",,,
A,but we drove through it just one time when we were in that area,,,
A,and it's real lovely.,,,
A,"It's close to the lake and close to,",,,
A,I think it's close to the dam up there,,,
A,"so it's, it's really quite pretty.",,,
A,"Uh, are you, um,",,,
A,"let's see what was,",minor topic end,,
A,I was going to ask you something else.,,,
A,"Oh, do you have a favorite among all those that you have been to?",off topic start,,persons favourite campsite
B,"Oh, from those three,",,,
B,"just, just, uh, from when I have been an adult, I like Caddo the best.",,,
A,"Yeah,",,,
A,uh-huh.,off topic end,,
A,"Uh, is it true that Caddo Lake is the only natural lake in the State of Texas?",off topic start,,query on lake Caddo
B,"Yeah,",,,
