Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Oh, I guess, uh, this is a, a topic near and dear to my heart, since I am a, am a healthy eater,",major topic start,,Food
B,"Well, I, I try to be as well,",minor topic start,,A talks about restaurants he likes
A,"Well, I'm not, uh, I,",,,
A,"there really isn't any kind of particular food that I, I don't, don't like really,",,,
A,"and I like a good Italian restaurant or a good, uh, uh,",,,
B,Uh-huh.,,,
A,especially like good prime rib,,,
B,Uh-huh.,,,
A,"so if it's, uh, nice to get out and find a good restaurant like that,",,,
A,"and I live here in, uh, Rome, New York,",,,
A,and there are a lot of good restaurants around here.,minor topic end,,
B,"Oh, you're in New York,",minor topic start,,A and B talk about the best places to get prime rib
B,"I was going to,",,,
B,"there's a place, if you ever make it to Dallas they have the best prime rib.",,,
A,Uh-huh.,,,
B,"It's called Lawry's, like Lawry's seasoning salt",,,
A,Uh-huh.,,,
B,and it is absolutely wonderful.,,,
A,Really.,,,
B,"And, uh, we were there a few months ago,",,,
B,"and it, I mean, it's kind of pricey,",,,
B,"well, from New York it probably doesn't matter,",,,
B,but,,,
A,"Oh, no,",,,
A,"I'm in upstate New York,",,,
A,"and it's actually very inexpensive,",,,
A,"I,",,,
A,"there's a there's a place, um, half a mile from me here that, uh, has, uh, fantastic prime rib for, oh, eleven dollars for a whole meal, you know a potato and salad and soup, and the whole, whole nine yards,",,,
B,"Oh, is it, okay.",,,
B,Wow.,,,
B,Uh-huh.,,,
A,"so that,",,,
B,"Yeah,",,,
B,"well, I think the cheapest there probably starts at eighteen,",,,
B,"and it includes, you know, salad and rolls and, oh, some other stuff,",,,
B,but it is absolutely wonderful.,,,
A,Right.,,,
B,It's the best I have ever had.,,,
A,"Uh, I was going to this place up the street from me is the best I've ever had,",,,
A,"so, I'll have to go there when I get to get to Dallas.",,,
B,Yeah,,,
B,"Well,",,,
B,"Yeah,",minor topic end,,
B,"well, we like, uh, lots of people down here like Mexican food",minor topic start,,Talk about mexican food
A,"Uh-huh,",,,
A,sure.,,,
B,"so, um, that's,",,,
B,"I, I think Italian and Mexican food are probably my favorites.",,,
A,Uh-huh.,minor topic end,,
B,"But, um, I'm not into sushi or any of that kind of stuff.",minor topic start,,They are discussing sea food
A,"No,",,,
A,"no,",,,
A,"I'm not into the, the, don't do the, the raw, raw fish like that,",,,
A,"but I do like, uh, like a seafood bar, like a raw, raw bar like oysters and things like that, uh",,,
B,Uh-huh.,,,
A,"that they, uh,",,,
A,"I go on,",,,
A,I'm an officer in the Air Force and travel quite a bit on business,,,
B,"Oh, okay.",,,
A,"so I, uh, find myself down in Melbourne, Florida about once, once a month, once every two months or so and, uh, go and hit the, the oyster bars down there quite a bit",,,
B,Uh-huh.,,,
B,"Oh, yeah",,,
A,"but, I love that,",,,
B,"fresh seafood down there,",,,
A,"Yeah,",,,
A,"and, um, and, uh, Maryland's great,",,,
A,you get the crabs,,,
B,Uh-huh.,,,
A,"it's like, I can't go anywhere where I where I don't enjoy myself,",,,
B,Yeah,,,
A,"so,",,,
B,"Yeah,",,,
B,"seafood seems to be a a little bit more expensive than, than other types of food.",,,
A,That's true.,,,
B,"But it sure is good,",,,
B,and it's supposed to be good for you.,,,
A,"Yeah,",,,
A,"well, uh, it's really strange that, that, that seafood is so expensive, because when you, in reality, uh, uh, I, say that, uh, the oceans have the greatest resource of food on the planet,",,,
B,Right.,,,
A,"and yet, we haven't, as human beings, haven't figured out a way to harvest it economically",,,
B,Right.,,,
A,"so, we managed to, uh, figure out how to get at just about everything else, but, uh, but not, uh, not seafood.",,,
B,Uh-huh.,minor topic end,,
B,Do you like spicy foods,minor topic start,,Talk about various spicy foods
B,"or,",,,
A,"Yeah,",,,
A,"yeah,",,,
A,"I like, uh, I make a, a wicked chili",,,
A,"and around here the big spicy thing is like, uh, buffalo wings",,,
B,"Oh, uh-huh.",,,
A,"and so, uh, it, people, they, you know,",,,
A,you go out to get the chicken wings,,,
A,"and those are really hot and the hotter the better,",,,
B,Yeah.,,,
B,Yeah.,,,
B,"Well, we, uh, we like spicy food down here, especially, uh, the hot sauce, Picante sauce, or salsa whatever you all call it",,,
A,Right.,,,
A,Sure.,,,
B,"and, uh, we, we sure go through a lot of that",,,
A,Yeah.,,,
B,"But I like it hot,",minor topic end,,
B,but I don't like it real hot because then my nose starts running,minor topic start,,Express dislike of super spicy food
A,Uh-huh.,,,
A,"My, generally my, my scalp will start,",,,
A,"I can feel just the top of my scalp getting hot, the weirdest, weirdest sensation, almost like a tingling,",,,
A,"but, uh, I don't know,",,,
A,"but, uh,",,,
A,"yeah,",,,
A,"well, there isn't, isn't too much in the way of restaurants that I don't like.",,,
B,Yeah.,,,
A,"Things that are kind of oddball, like, uh, Thai cuisine,",,,
A,I never been really fond of that stuff.,,,
A,"You talk about spicy,",,,
A,"that'll, that'll literally blow your head off,",,,
A,it's so hot.,,,
B,Uh-huh.,,,
A,"And, uh, and I can handle just about any kind of food without, uh, um,",,,
A,"well, but that, that stuff is, goes one notch beyond, uh, my tolerances,",minor topic end,,
B,Uh-huh,off topic start,,
A,"So. Although I guess on this topic are to talk about the, uh, service in a restaurant is always nice though, too",,,
B,"Oh, yeah,",,,
A,"that's one thing,",,,
B,and the price.  And the price. Make you want to come back.,,,
A,What's that?,,,
A,"Yeah,",off topic end,major topic end,
A,"Well, I find that lately that so many people are working, you know, working waitressing jobs or waiter,",,,
