Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Okay.,opening,,
A,"Well, basically I am a mother of a three year old,",,,
B,Uh-huh.,,,
A,"so I kind of relate to trying to find a good day care because it's, uh, extremely hard thing to do to trust somebody else with your child, uh, trust their emotional and their safety and all the rest of that.",major topic start,,finding a good day care for the child
B,Right.,,,
A,"And, uh, I've been pretty selective,",,,
A,"and what I'm finding is with, um, day cares that are like day care centers like, for instance, uh, Learning Tree or Kinder Care and all of that. Uh, like nap time or whatever time, uh, because of parents' hours they are",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,"and when I bring my daughter into such a system like that, uh, they only have one thing going on",,,
A,and that's nap time.,,,
A,"Everybody is napping, whether they came there an hour before or they came right during that time.",,,
B,Uh-huh.,,,
A,"And with that kind of a system my daughter just isn't likely to enjoy it if she has to good there immediately and lay down, on a cot.",,,
B,Uh-huh.,,,
A,"So, um, home day care has been an option.",,,
A,And I've looked into that.,,,
A,"The only thing is you raise the question of if it's safe, uh, can you trust the people, you know.",,,
B,That's right.,,,
A,"Um,",,,
B,And you never know.,,,
B,"I have, um, an ex-sister-in-law that, um, currently has a child abuse case on a home baby-sitter.",,,
A,Uh-huh.,,,
A,Sure.,,,
A,"Oh, sure.",,,
A,Sure.,,,
A,That's really scary.,,,
A,"And, To the point that you kind of say to yourself, especially home day care",,,
B,Uh-huh.,,,
A,"I mean, I think center day cares there's so many people coming in and out that you're better off if you're going to put a child into that type of system for eight hours, it's fine.",,,
B,Right.,,,
A,It depends on the age of the child.,,,
A,Now some children do real well that are at the age of four or five or children that have been in that kind of system for a while,,,
A,but home home day care works well if it's an infant.,,,
B,Right.,,,
A,"If it's, if it's,",,,
B,Uh-huh.,,,
A,"The kids have, colds",,,
B,Right.,,,
A,and they're sick all the time,,,
A,and,major topic end,,
