Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Well, uh, what is your favorite kind of music?",major topic start,,talking about their music choices
B,"Well, I have to say my favorite type of music would probably be, uh, classical music.",,,
A,"Oh, same here.",,,
B,"Oh, really.",,,
A,Yeah.,,,
B,"What type of music do you like in the classical area,",,,
B,"or what era do you, era do you like the most?",,,
A,"Oh, well, I guess I like a wide range. Uh, everything from, uh, from Baroque through at least some modern music.",,,
B,Uh-huh.,,,
A,And my wife and I these days are especially into opera.,,,
A,We've been sort of opera fans for a few years now.,,,
B,"Um, do you go to the operas that they sing English or go to the ones that they sing other languages?",,,
A,"Well, we, uh, generally,",,,
A,the places we've gone they sing in the original languages.,,,
B,Uh-huh.,,,
A,"Like the Dallas opera here normally does, I guess.",,,
B,Uh-huh.,,,
B,"I, I haven't gotten into that too much because, I, uh, if I don't know the story line and, um, I don't speak the language, then I have difficult time, comprehending what's going on.",,,
A,"Well, one thing that's helped us a lot is that, uh, you, you know, you can buy a lot of these operas now on video uh, video tape",,,
B,Uh-huh.,,,
A,"and so we have quite a collection of those,",,,
A,"and you watch them at home,",,,
A,"and they have subtitles,",,,
A,"so you, you figure out what's going on after a while,",,,
A,"and then you can enjoy it in the, uh, theater.",,,
B,Oh.,,,
A,"But, you know, the, uh, Dallas opera now has, uh, super titles on, on all their performances I think.",minor topic start,,talking about dallas opera
B,What is that?,,,
A,"Well, they, they give an, uh, an English translation on a, on a screen up above the stage.",,,
B,"Oh, I didn't know that.",,,
A,Yeah.,,,
B,That can help people like me.,,,
A,"In fact, they even do that for operas sung, sung in English, because it is hard to understand the words sometimes.",,,
B,"Well, I can understand that.",minor topic end,,
B,"So, I'd say, Vivaldi is probably my favorite, uh, composer.",,,
A,"Yeah,",,,
A,"well, I really like Vivaldi.",,,
A,"Uh, he's, uh, definitely one of the, one of the top of that era.",,,
B,Yeah.,,,
B,"I like Baroque music,",,,
B,"I like full body music, uh, with the, um, um, with brass and winds, woodwinds, instruments,  you know.",,,
A,Uh-huh.,,,
B,"Course I like, uh, also string instruments,",,,
B,"and I have two string instruments in my house. Uh, instrument players,",minor topic start,,talking about their children
B,both my sons play string instruments.,,,
B,One plays the cello,,,
B,and the other one plays the viola.,,,
A,Oh,,,
B,"So, I get to go to at least four or five concerts a year",,,
A,Uh-huh.,,,
A,"How, how old are they?",,,
B,One is thirteen and one is eleven.,,,
A,"So they're doing this in school, or what?",,,
B,Yes.,,,
A,Uh-huh.,,,
B,Yes .,,,
A,"Well, you've got half a string quartet there.",,,
B,Yeah.,,,
B,We're on our way.,,,
A,Yeah.,,,
B,"So, uh, um, I try to enjoy all of it.",minor topic end,,
A,"Well, since you seem to like, uh, Italian music, have you ever, uh, gotten into Gabrielli or anybody there in that era, the, uh, period right before, actually before Vivaldi, I guess?",,,
B,"Um, a little bit,",,,
B,"but, um, a lot of the, um, music I don't know about, uh, as far as the titles,",,,
B,"and I have to listen to it, and and figure out, what I'm listening to.",,,
A,Uh-huh.,,,
B,"Um, I do belong to a Musical Heritage Society.",minor topic start,,talking about musical heritage society
A,"Oh, yes,",,,
A,uh-huh.,,,
B,Do you belong to that?,,,
A,"No,",,,
A,"I don't,",,,
A,but I think I know what it is.,,,
A,"Isn't that a, uh, uh, see,",,,
A,"can't you get records through that or something, recordings?",,,
B,You can get recordings.,,,
B,"Uh, they know have them on compact disc or or, uh, or cassettes or L P",,,
A,Uh-huh.,,,
B,"and, uh, they do their, they do a lot of original recordings themselves.",,,
A,"Yes,",,,
A,"yeah,",,,
A,"I think, uh.",,,
B,"But they also, uh, they also, uh, go to the different composers, or the different, I guess,",,,
B,what do you call them the guys that orchestrate the the conductors.,,,
A,Uh.,,,
A,"Uh, yes,",,,
A,right,,,
B,Yeah.,,,
B,"They go to conductors, uh,",,,
B,"and, and they actually have them perform the music,",,,
B,and they record it.,,,
A,"So, they're actually commissioned performances.",,,
B,Sure.,,,
B,A lot of them are.,,,
A,Uh-huh.,,,
B,"Or they will find out when they're performing,",,,
B,"and they will, uh, record the music at that time.",,,
B,"And so, uh, it is, uh, uh, high quality grade music,",,,
B,"and, of course, now they're getting, they also have a jazz section,",,,
B,"and they also have a, uh, more contemporary and American uh, composer section.",,,
A,Uh-huh.,,,
A,"Well, I had heard good things about the, uh, Music Heritage Society,",,,
A,"but if I get involved in one of those things, I end up spending all my money on on music.",,,
B,Yeah.,,,
B,"Well, you can control it.",,,
A,"I almost, uh, almost, uh, bankrupted myself out of college as a freshman when I got into the Columbia Record Club many years ago.",,,
B,"Oh, really.",,,
A,"Yeah,",,,
A,my roommate signed me up.,,,
A,"He got a bonus record,",,,
A,and I got a lot of bills,,,
B,I see.,,,
A,So we have to watch that.,minor topic end,,
B,"Well, that's good.",,,
A,"Uh, do you play any instrument yourself?",,,
B,"Yes,",,,
B,"I, I play guitar and, and early years played saxophone.",major topic end,,
