Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Hello.,opening,,
A,"Hello,",,,
B,Hi.,,,
A,Hello,,,
A,this is Lois.,,,
B,"Hi,",,,
B,"hi,",,,
B,this is Lisa.,,,
A,"And, uh, I called you know, from that, the, the T I Data Base Calling Instructions.",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,I got a call yesterday too.,,,
B,This is a different subject though.,,,
A,"Yeah,",major topic start,,
A,"this is about changes in the women in the,",,,
B,Uh-huh.,,,
A,"Uh, there's really a lot, isn't there.",,,
B,Yeah,,,
A,I think there really is.,,,
B,It's kind of an easy thing to talk about.,,,
A,"Oh, I guess the work force would be the main, wouldn't it.",,,
B,"Yeah, uh,",,,
B,I think you have to push one,,,
B,and then we can start recording it.,,,
A,Okay,,,
A,All right.,,,
B,Okay.,,,
A,Are you ready now?,,,
B,Yes.,,,
A,"Okay,",,,
A,"like I said I guess it would be the work force, you know, as far as changes in the generations.",,,
B,"Yes,",,,
B,"I know because, I know when my mother was a, you know, going into the work force there wasn't very many opportunities for her, I guess,",,,
B,she's in her late forties.,,,
B,You were expected to stay home and take care of the kids,,,
B,and I've never faced that at all.,,,
A,"Uh, no,",,,
A,"I think now, you go to work when they're six weeks old, you know,",,,
B,Uh-huh.,,,
A,and you stay there.,,,
A,"And I feel like the next generation, you'll probably just work right along with your husband, you know.",,,
B,"Yeah,",,,
B,"uh-huh,",,,
B,I think it's definitely gotten better.,,,
A,"Oh, I do to, much.",,,
A,And it's just going to get better.,,,
B,Uh-huh.,,,
A,It really is.,,,
B,"Because women are in every field now,",,,
B,I mean I can't think of a field that they're not involved in.,,,
A,"Oh, I can't either, not a one.",,,
B,"And I know at least in the medical field, it seems like they've come out with a lot further advances as far as female medications and things since women have gotten into the doctor field.",,,
A,Uh-huh.,,,
B,I don't think that men really took the time to work on that sort of thing.,,,
A,"Yeah,",,,
A,"even in Washington, you know, there seems to be a lot more women involved.",,,
B,Yeah.,,,
B,"Hopefully, the next generation, it won't even be an issue,",,,
B,"I mean people will just look at you as a person and not as a man or a woman,",,,
A,"Yeah,",,,
A,yeah.,,,
B,I think that would be the best goal.,,,
A,"Oh, I do too,",,,
A,just your qualifications,,,
A,and that would be it.,,,
B,"Uh-huh,",,,
B,"exactly,",,,
B,"not what color you are, how old you are, what your male or female.",,,
B,"That would be wonderful,",,,
B,"I guess it's kind of an ideal world though, huh",,,
A,"Yeah,",,,
A,"I kind of think, maybe in time, that, you know, you'll go by social security numbers, you know,",,,
B,Yeah.,,,
A,"and that way they can't say well they picked a male over a female, female over a male, you know,",,,
B,"Exactly,",,,
B,"or the way you look,",,,
B,"or the way you, you know,",,,
A,"Yeah,",,,
A,yeah.,,,
B,your age or anything.,,,
B,I think that would be a wonderful way to do it.,,,
A,I do to,,,
A,"just go by your social security number and then look at you qualifications that, you know, that you have.",,,
B,"Uh-huh,",,,
B,"and then,",,,
A,"And then if you get it, you know then,",,,
B,"Uh-huh,",,,
B,"also, with, uh, women in the work force they've gotten a lot more options as far as, you know, what's it called, job sharing.",,,
A,Uh-huh.,,,
B,"Like if you and another lady were to share the same full time job, or,",,,
A,"Oh, yeah.",,,
A,"As a matter of fact, that's what I'm doing.",,,
B,Is it.,,,
A,"Uh-huh,",,,
A,it sure is.,,,
B,That would be great.,,,
A,It sure is.,,,
B,"Or, a lot of women I know now and my, uh, one of my supervisors, when she went on L O A to have her baby, we hooked up, uh, uh, a terminal at her house",minor topic start,,
B,"and she, you know, we could send her messages,",,,
B,"and, and she kept in touch like that, and basically, just worked out of her house.",,,
A,Oh.,,,
B,"I would just take her the actual paperwork once, uh, every week or two,",,,
B,and that worked out great too.,,,
A,"Yeah,",,,
A,yeah,,,
A,that is.,,,
B,"And that's a real attractive option, if you have the, the technology for it.",,,
A,Uh-huh.,,,
B,"All it was, was, you know,",,,
B,"I mean, she just used a phone modem",,,
B,"and she was like she was sitting in the office,",,,
B,"so I think that's real nice too, to come up with different options.",minor topic end,,
B,Do you like the job sharing?,minor topic start,,
A,"Oh, I do,",,,
B,Do you?,,,
A,"I really do,",,,
A,I think it's great.,,,
B,"Do you work like half days, or half weeks or,",,,
A,"Uh, well like, one week she'll work three days and I'll work two",,,
A,"and she'll work two,",,,
B,"Oh, oh that's great,",,,
A,and we just share off like that.,,,
B,Uh-huh.,,,
B,Do you get the full benefits?,,,
A,"Uh-huh,",,,
A,yeah,,,
A,we get the full benefits.,,,
B,"Oh, that's wonderful.",,,
A,But we've just really got a wonderful system that we're working under.,,,
