Name,Topic
3518.csv,Brian thanks total banner no handguns mail control crazies people guns
4051.csv,three years
3041.csv,movies list list disturbing movie switcheroo shoe
3570.csv,Howard budget keep exploring halt office tracked monitor space station money universe knows nations
4048.csv,times drug employment random drug testing alcohol alcohol marijuana cocaine work oil business office automotive industry cars explosives environment explosives features explosives dangerous
3009.csv,no nine younger brothers sisters center babysitters children babysitting twenty two now babysitting thirteen sixteen people family kids children
3317.csv,house swimming pool twenty seven hundred square foot four bedrooms alike house twelve half years
3310.csv,home care parents sooner mother mother nursing homes six weeks hardest life devastating nursing homes no
3064.csv,credit cards credit cards gasoline credit card department store credit cards dozen pair hose quick biggies Visa MasterCard Discover airline tickets transaction telephone card machine financial family crisis not options cards
2663.csv,not not not Democrat Republican kick Schwartzkopf politics generals general politics hero hero magazine staff corporate presidents training educated corporate president person education corporate president Army war training industry generals service Schwartzkopf politician Governor dogs boss course no politics Democratic Republican eight ten years max
2621.csv,women knowledgeable pro football team Steelers Cowboys games past nearly Bradshaw Dallas Fort Worth horse farm town called Roanoke Texas Dallas scene management coaching motivator primarily quarterbacks Dallas Houston Super Bowl Houston talent earlier super teams Randall Cunningham Philadelphia team quarterbacks Steelers
3908.csv,Allen American women generations honor accept responsibilities jobs responsibility men salaries significant general switch woman working responsibility husband relationship
3344.csv,East affair Mideast talks exception hostages domestic problems Soviet Union Reagan international budget deficit international aspects international relations billions dollars debts country debts
2072.csv,hobbies spare crafts dolls hats flowers roses satisfaction not not keyboards
2040.csv,statehood independence Puerto Rico experience state concern Puerto Rico living income climate heating housing northern territories however status quo Puerto Rico Corps training student California Spanish Puerto Rico never favors not US copes life Lebanon press adult
2039.csv,public television English comedies English mysteries vociferously United States access television news performances
3993.csv,painting class four years projects boutique
3331.csv,major public school system not discipline parents children school death disciplined discipline daughter receives school not not classrooms school kids classroom fourth grade children classroom classroom teacher cannot school school sued lawsuits school system teachers public schools money not teachers parents children high school teachers drugs drugs horrible horrible stories high high school teachers teachers schools
2672.csv,central location main highway bins newspaper plastic bins glass combination container aluminum Rowlett sent sent survey not trash organized initiate months cafeteria
2604.csv,public service tries not mandatory mandatory not poor people sons
4037.csv,Indiana death penalty views honest undergraduate member Amnesty International stupid argument downtown Dallas news person person street murder
2652.csv,Dallas summertime shorts day suits shorts suits
3327.csv,car blessings car complicated never mechanically inclined points brakes alternator
3584.csv,home high lost house window trailer envision insulation builder
3364.csv,Saint Elsewhere Thirty daughter fourteen two children forty kids sports Sunday nights Life Goes On Sunday Becca likes AIDS North Carolina seven twenty minutes six never entire life
3036.csv,music country music Texas not Georgia Chicago category classics music sake era rock forty music rich Beethoven Bach classic current not music country music
2602.csv,instability country decisions
2631.csv,schools kids married children difficulties wife not children under four five professor flexible hours two three days two evenings wife possibility two days night flexible schedules Saturdays brother wife priority home sister-in-law clinical speech pathologist position
3514.csv,vacations places Paris France friend April family lives grandmother lives exciting place New Mexico Tahiti Tahiti Haiti
3065.csv,seventies point push encourage liter bottles gallons car kilometers hundred kilometers loss incentive program switch older people pardon expression complain cranky
