Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Uh, do you have a pet Randy?",major topic start,,
B,"Uh, yeah,",,,
B,currently we have a poodle.,,,
A,"A poodle, miniature or, uh, full size?",,,
B,"Yeah,",,,
B,"uh, it's, uh miniature.",,,
A,Uh-huh.,,,
B,Yeah.,,,
A,"I read somewhere that, the poodles is one of the, the most intelligent dogs, uh, around.",,,
B,"Well, um, I wouldn't, uh, I definitely wouldn't dispute that,",,,
B,"it, it's actually my wife's dog, uh, I, I became part owner six months ago when we got married,",,,
B,"but, uh, it, uh, definitely responds to, uh, to authority",,,
B,"and, I've had dogs in the past",,,
B,"and, uh, it seems, it seems to, uh, respond real well,",,,
B,"it, it",,,
B,"she's, she's picked up a lot of things, uh, just, just by, uh, teaching by force, I guess is what I'd like to say.",,,
A,"Oh, uh-huh.",,,
A,"So, you, you've only known the dog, how long did you say.",,,
B,"Well, about a year I guess.",,,
A,"Oh, well, uh, is it,",,,
A,"uh, uh, how old is the dog?",,,
B,"It just turned two, I believe.",,,
A,"Oh, it's still just a pup.",,,
B,"Pretty much,",,,
B,"yeah,",,,
B,yeah.,,,
A,"Yeah,",,,
A,"I have a, uh, well a mutt, myself.",,,
A,"I call it a, uh, uh, Chowperd .",,,
B,Okay.,,,
A,"It's, uh, part Chow and part Shepherd",,,
A,"and it,",,,
A,"as I understand it, uh, both sides of the, were thoroughbreds.",,,
A,"So, she's a genuine Chowperd .",,,
B,"Oh, that sounds interesting.",,,
A,"She has the, the color and the black tongue of a Chow,",,,
A,"but, uh, she has the the shape of the, uh, uh, Shepherd.",,,
B,"Oh, that's, that's neat.",,,
B,"How, about how big then?",,,
A,"Oh, she weighs in at about fifty pounds,",,,
A,so she's a medium size.,,,
B,"Yeah,",,,
B,yeah.,,,
B,Most definitely.,,,
B,Yeah.,,,
A,"and right from day one, she was teaching me.",,,
B,"Oh, I wouldn't doubt it,",,,
B,yeah.,,,
A,She's the most intelligent dog I've ever seen.,,,
A,"Course, I'm a little prejudiced, of course.",,,
B,"Well that's understandable,",,,
B,"yeah,",,,
B,"it's, uh,",,,
A,"You know, the first time I brought her home, she was only, uh, was it six weeks old.",,,
A,And I spread the newspapers out in the kitchen area.,,,
B,Uh-huh.,,,
A,"But, uh, next morning, she let me know in no uncertain terms that she wanted to use the bathroom.",,,
B,Okay.,,,
A,"So, on next night, I spread the newspaper in the bathroom",,,
A,and she used them there.,,,
B,Oh.,,,
A,"But it wasn't too long until she, uh, found out she could wait until I let her out in the morning.",,,
B,Yeah.,,,
A,"And since then, I, I live alone,",,,
B,Okay.,,,
A,"and, uh, I live in motor home,",,,
A,"by the way, I'm, uh, an R V, full time R V",,,
A,"and it's, it's such a pleasure to come home at night",,,
A,"and you can see her smiling from ear to ear, she's so happy to see me.",,,
B,"Yeah,",,,
B,definitely.,,,
A,"And, uh, I don't know if you get that kind of greeting or not.",,,
B,"Yeah,",,,
B,"I can honestly say we do, uh, we, uh, just recently put a security system in our house",,,
B,"and so now, uh, in order to, uh, to accommodate the motion detectors we have to keep her, uh, uh, locked up in the, the master bedroom during the day",,,
B,"and then she's got the, the bedroom and the bathroom to, for free run during the day",,,
B,"but, we've always got, uh, got a nose and tongue pressed up against the window when we come walking up to the front door.",,,
A,Uh-huh.,,,
B,She's definitely ready to get out and run around.,,,
B,Really.,,,
A,"Uh, she'd rather sleep outside on the, the cold ground at night.",,,
B,Oh wow.,,,
A,"But, uh, I do make her come in.",,,
B,Yeah.,,,
A,"And I feed her indoors, that's to lure her in,",,,
A,"but during the day I have her on a, uh, on a leash, which is, uh, on sort of a run.",,,
B,Okay.,,,
A,"I have a, a thirty foot cable, running from one stake to another,",,,
B,Okay.,,,
A,"and then attached to that is a, uh, twelve foot leash,",,,
B,Okay.,,,
A,so she can cover quite an area.,,,
B,Most definitely.,,,
A,"And, uh, she's the best, uh, burglar alarm going.",,,
B,"Yeah,",,,
B,"yeah,",,,
B,yeah,,,
B,"that's, uh, definite security involved in, uh, in a dog like that.",,,
A,"Oh, yeah,",,,
A,"she, uh,",,,
A,"it's the strangest thing, though, uh, children, no matter how strange they are, or how new they might be can walk, uh, right up to her,",minor topic start,,
B,Uh-huh.,,,
A,"but adults, if they're strange to her, or, or they look suspicious or something, boy she acts like she wants to chew their leg off.",,,
B,Wow.,,,
A,"And I have not discovered yet where the, the line is between children and adults.",,,
B,"Yeah,",,,
B,that's interesting.,,,
A,"But, uh, she is a great comfort to me.",,,
B,"Yeah,",,,
B,"I know our dog has had, uh, some different reactions,",,,
B,she's never really been around children,,,
B,"and, uh, if, if the child is, is pretty straight forward, um, she's fine.",,,
B,"If, if a child is a little intimidated, she'll jump around and, and yip and bark quite a bit,",,,
B,"and if the child gets scared, uh, she's still trying to play, but she doesn't completely understand what's going on",,,
B,"and we've had a little confusion with, with, uh, with younger kids.",,,
A,Uh-huh.,,,
B,"But, uh, you know, that's,",,,
B,it's a matter of exposure really.,,,
B,"Um, we, uh, took her home to, uh, my family's place in South Dakota,",,,
B,and she was the one that was intimidated then.,,,
B,"There was about seven kids ranging from about, uh, three years to ten years running around the house all at one time, you know come to visit Grandpa and Grandma",,,
A,"Oh, uh-huh.",,,
B,"and, the dog kind of, kind of felt out of place then because she was, she was being fed, and everything else from all directions.",,,
B,She really didn't know how to handle herself.,,,
A,You mean she didn't appreciate all that attention.,,,
B,"She really did,",,,
B,"she just, uh,",,,
B,"she, she was she was just inundated with, with all the attention.",,,
B,"Uh, she, she kind of, she kind of sat and it all in for a little while",,,
B,"and then she'd go get back in and try to play and, and what not,",,,
B,"but, uh, it was, it was just such a, such a new experience for her.",,,
B,"She's only been around one and, and sometimes two people at the most",minor topic end,,
B,"so, uh.",,,
A,Uh-huh.,,,
A,What's her name by the way?,,,
B,"Uh, pardon?",,,
A,"What, what do you call the dog?",,,
B,"Oh, it's, uh, Mitzi.",,,
A,Mitzi.,,,
B,Yeah.,,,
A,Mine is Gin.,,,
B,"Oh, okay.",,,
A,"As in, uh, martini.",,,
B,Yeah.,,,
A,"Actually, it's Gin two.",,,
B,"I, I see.",,,
A,"Because, uh, when I was a teenager, in high school, I had Gin one,",,,
A,"but then when I went out in the world, I couldn't take her with me.",,,
B,"Yeah,",,,
B,"yeah,",,,
B,"yeah,",,,
B,"I had, uh, a similar, uh, experience.",,,
B,"I, I grew up on a farm",,,
B,"so I always had, uh, outdoor pets",,,
B,"and, uh, the dog I had when I moved to Dallas about five years ago was a, uh, Springer Spaniel, black Lab cross.",,,
A,Uh-huh.,,,
B,"And he was a real, a real lovable type, but, uh, definitely not an apartment type animal",,,
A,Oh yeah.,,,
B,"so he, uh, he had to stay home.",,,
A,"Oh, what a shame.",,,
B,"Yeah,",,,
B,"yeah,",,,
B,it really was.,,,
B,"He, uh, apparently had a tough time with it for a little while",,,
B,"and then he, he got, he came to accept the fact that Mom and Dad were his company from then on,",,,
B,"but, uh.",,,
A,"Uh-huh,",,,
A,oh well.,,,
B,Yeah.,major topic end,,
A,"Well Randy, we've just about used up our time here,",closing,,
B,Okay.,,,
A,and I must say it was interesting.,,,
B,Most definitely.,,,
A,I enjoyed talking about pets with you.,,,
B,Well that's great.,,,
A,Maybe we'll get together again in the future.,,,
B,That sounds real good.,,,
A,Take care now.,,,
B,You too.,,,
A,Bye.,,,
