Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,So what kind of weather have you had in Dallas?,major topic start,,talking about the weather
B,"Well, it's been very windy,",,,
A,Really?,,,
A,Yeah,,,
A,"see, I didn't, I don't,",,,
A,"I thought, uh, I thought,",,,
A,I lived in Euless,,,
A,"and I thought it was pretty normal,",,,
A,"but anyway, but I guess you're right though it has been real hot,",,,
A,"because it, um,",,,
A,"I've had to use the air conditioner in March,",,,
B,"we've already had to use that,",,,
A,"my husband usually,",,,
B,"and we've had like,",,,
B,"I mean, this is probably typical though, uh, we,",,,
B,"like tornado weather and tornado warnings,",,,
B,"and, uh,",,,
A,Uh-huh.,,,
B,"so, uh, you know, I, I forget from year to year.",,,
B,I'm getting too old.,,,
B,"But, the, uh, it, the wind's blowing very hard,",,,
A,Yeah.,,,
B,"but I guess, you know, we're just out of March, and, uh will bring the rain in, uh, April.",,,
A,"Yeah,",,,
A,"I know,",,,
A,The trees are real pretty right now and everything.,minor topic start,,talking about trees and allergies
A,"And, uh, I don't know.",,,
A,"I know the pollen is real high,",,,
B,"Yes,",,,
B,it is.,,,
B,Seems very high.,,,
B,"It hasn't bothered me,",,,
B,but I know that people that have allergies it seems to be pretty high.,,,
A,I know.,,,
A,"It's been bothering me a lot,",,,
A,but,,,
A,"yeah,",minor topic end,,
A,"I think, I think the weather overall has been, um, probably like you said, probably a little bit warm",,,
A,"and, Uh,",,,
B,"A little bit warm and a little bit blowy, I think.",,,
A,"Anyway,",,,
A,so we basically live in the same area,,,
A,"so it's real hard to,",,,
B,"Really hard to make too big of different comparisons, right?",,,
A,I know.,,,
B,Yeah.,,,
A,"I just think it's been warm,",,,
A,"and it's been hot,",,,
A,"and I liked it,",,,
A,"and it's beautiful,",,,
A,"and all the trees are pretty,",,,
A,and I wish it would stay like this all the time,,,
B,"Yes,",,,
B,I could stand this all summer.,,,
A,"So yeah,",,,
A,I could too.,,,
A,"And, uh, gah, I don't think we can say anything else really.",,,
B,"I don't think we can either,",,,
B,let's cut off.,,,
A,"Yeah,",,,
A,that sounds like a good deal.,major topic end,,
A,"Well, you have a nice day.",closing,,
B,You too.,,,
A,And we'll talk to you later.,,,
B,Bye-bye.,,,
A,Bye.,,,
