Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Okay,opening,,
A,Yeah.,,,
B,"Well, considering you moved here from California, I guess, the rain for the past few weeks has been different than what you have down there.",major topic start,,talking about weather
A,"Yeah,",,,
A,"we have, uh, in California,",,,
A,I'm in I lived in central California.,,,
A,We have rain couple times a year,,,
A,"and other than that, you know, it would be maybe October and then in the spring",,,
A,"and then other than that there wouldn't be any rain. So,",,,
B,Especially the last few years.,,,
A,"Yeah,",,,
A,yeah.,,,
B,"It's kind of, it's kind of been a drought out there hasn't it, uh,",,,
A,"Yeah,",,,
A,there has.,,,
A,"So here, I know that, uh, last year there was some ice storms while I was out of the state",,,
A,and I'm glad to see there haven't been any this year.,,,
B,Yet,,,
A,"Yeah,",,,
A,yet,,,
A,"Still could come,",,,
A,huh.,,,
B,"Generally if we're going to get them, it's not going to happen, uh, prior to January one.",,,
A,Uh-huh.,,,
B,"You may get a cold snap or two or some rain or something like we've been getting in December,",,,
B,"but usually the bitterest weather, if we're going to have any, comes in January and February.",,,
A,Yeah.,,,
A,Um.,,,
B,"Then by March things are getting warm again,",,,
B,"so we really don't have, as long a cold season, I guess as people up north.",,,
A,"Yeah,",,,
A,yeah,,,
A,it's so hard to predict here.,,,
B,It's been eighty degrees on Christmas day here before.,,,
A,Yeah.,,,
B,Lots of times.,,,
A,"Well, today  it's not bad out there.",,,
B,"No,",,,
B,it's nice.,,,
B,I just came in from outside,,,
A,Uh-huh,,,
B,"and it's, it's really pretty.",,,
B,It's kind of nice to have it dry all the ground out before it rains again.,,,
A,Yeah.,,,
A,Yeah.,,,
B,"I'm a, I'm a scoutmaster",,,
B,"and so I wind up going out camping with, uh, a bunch of boys at one time",,,
B,"and so, it's better for us if it hasn't been this totally wet before we go",,,
A,Uh-huh.,,,
A,Yeah.,,,
A,"So you do that even in January, huh?",,,
B,"Oh, yeah.",,,
A,Uh-huh.,,,
B,"Yeah,",,,
B,we camp year round.,,,
A,"Yeah, oh,",,,
A,that's interesting.,,,
B,"But, uh, It's, uh, it's definitely different.",,,
A,Uh-huh,,,
B,"And then, I guess you've been through a couple of summers here, too, right?",,,
A,"Yeah,",,,
A,I have,,,
A,and they're not too pleasant,,,
A,It gets so humid.,,,
A,To me it's humid here.,,,
A,"People that I know that come from, uh, like Georgia or North Carolina, Yeah, they say, it's,",,,
B,"Oh, it is.",,,
B,"It's not as humid. As Houston, say, or Atlanta,",,,
B,"but it, But more humid than Arizona",,,
A,Yeah.,,,
A,"But I find it,",,,
B,and California for the most part.,,,
A,Right.,,,
B,Were you northern California?,,,
A,I was central California.,,,
B,Central.,,,
A,Central valley.,,,
A,It's very dry there.,,,
A,Yeah.,,,
A,Yeah.,,,
A,"Well, it's pretty hot in the summer.",,,
A,"It's in the usually, you know,",,,
A,"for a good three, four weeks we have over a hundred degrees.",,,
B,"But it's a drier,",,,
A,"But it's a dry heat, yeah.",,,
B,"Hundred when you have a hundred here, everybody's dying",,,
A,"Uh-huh,",,,
A,"yeah,",,,
A,"I know. Well, I lived in Africa for a couple years in Cameroon",off topic start,,talking about work in africa
B,Oh.,,,
A,and that's a tropical climate,,,
A,and it really feels similar to this during the summer.,,,
B,"What types of, What type, what type of business takes you to those climates",,,
B,or was that just vacation or something?,,,
A,"No,",,,
A,"I was, uh, working with, uh, I still work with Wycliff Bible Translators.",,,
B,Oh.,,,
A,It's an organization where we are looking to translate the BIBLE into languages of the world that aren't yet written.,,,
B,Not so much still trying to translate old texts as just trying to translate modern versions into other languages.,,,
A,"Right,",,,
A,languages that don't have anything written yet.,,,
A,So this is like the first thing that's written down,,,
A,"or you know, first an alphabet is developed",,,
B,Oh.,,,
A,"and then, uh,",,,
B,That's interesting.,,,
A,"So,",,,
B,"You don't think about that as a career, a normal career, uh, when you're thinking of things that people might be doing.",,,
A,Yeah.,,,
A,"Yeah,",,,
A,"well, it's based here,",,,
A,"uh, the international headquarters for Wycliff Bible Translators is right here in, in Dallas.",,,
B,"So you're, you're with the home office now",,,
A,"Yeah,",,,
A,right now I am.,,,
A,"That's what brought me here,",,,
A,yeah.,off topic end,,
B,"Well, the, uh, I think, uh, all in all there are a lot worse climates than Dallas, uh,",,,
B,"the weather you know, does change fast",,,
A,Yeah.,,,
B,"and things do happen severely a few times a year,",,,
B,"but there's an awful lot of good weather, too, in between.",,,
A,Yeah,,,
A,"I agree,",,,
A,I agree.,,,
A,"I, I thought the fall was really nice.",,,
B,"Yeah,",,,
B,"and usually a lot of the spring months are really nice, too. After the last freeze",,,
A,Uh-huh.,,,
B,"and, and when it begins to be in the sixties and seventies most of the time, uh, I like that. Particularly if I'm going to be outdoors and doing, uh, outdoor activity, hiking and things.",,,
A,Yeah.,,,
A,Uh-huh.,,,
A,Uh-huh.,,,
B,And that's nicer.,,,
A,"Yeah,",,,
A,you probably do a lot of that with scout scouting.,,,
B,"Yeah,",,,
B,I do quite a bit of that,,,
A,Uh-huh.,,,
B,"Think we're going in just a couple of weeks out to the, east Texas,",,,
B,"and it is a little more humid out there than it is here,",,,
B,"so I guess we'll,",,,
A,Uh-huh.,,,
B,the only thing you have to watch out in this part of the country is during the change type seasons is the really severe storms that occasionally come through out here on the plains.,,,
A,Uh-huh.,,,
B,There's not much between us and the North Pole,,,
A,Yeah.,,,
B,And then when you get one of those tornado type systems through or severe hail or thunderstorms,major topic end,,
A,Uh-huh.,,,
B,"and then,",,,
