Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",opening,,
A,"so, um,",,,
A,yes,,,
A,"we do keep, uh, well we started out keeping a budget about two years, ago,",major topic start,,
A,"we have a computer, here at the house,",,,
B,Uh-huh.,,,
A,"and I made a Lotus spreadsheet and went through the year using all of our, our checkbook to figure out what we spent each time and whether we were over or under for each month",,,
A,"and then basically since then what I've done is, is keep track of it through the checkbook",,,
A,"so that based on whatever we've got coming in, the check coming in, then how much I'm spending each half of the month and then trying to also",,,
A,"because our house payment is once a month,",,,
A,"that's our, our biggest, uh, expense",,,
A,"so I take half of that amount out of my checkbook each, with each paycheck, even thought it's really still there, so that I can keep, uh, uh, good balance, a running total, yeah through the month,",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,A running total.,,,
B,Yeah.,,,
A,What do you all do?,,,
B,"Uh, we've, we've, uh, taken how much we have, you know, write down how much we have coming in each month",,,
B,"and then, uh, we've,",,,
B,at the beginning of the year we sat down and determined how much we could spend.,,,
B,"We sat made up different accounts like, you know,",,,
B,"we've set a budget for each, you know, household expenses, or food, and clothing and entertainment and then our, our own fun money and just stuff like that",,,
B,"and then we write down each, each time we spend something, we write down in a book",,,
B,"and at the end of the month we tally it up to see how close we, you know",,,
B,"we, we try to stay within a certain budget,",,,
B,so.,,,
A,"Is it, is it hard to keep track of it",,,
A,or does it work out pretty well?,,,
B,"Um, it takes some, it takes some dedication to do it,",,,
B,"but it, it works out real well,",,,
B,so.,,,
A,"And, and you're staying within your budget and everything is working pretty good.",,,
B,Uh-huh.,,,
B,"Yeah,",,,
B,"yeah,",,,
B,"I stay I have to stay within it,",,,
B,"so I, you know,",,,
B,"and then we have that, you know,",,,
B,"if you can't stay, if something comes up and you can't stay within it then we have, uh, you know, a budget for, you know, like we call our slush fund or something",,,
B,"and an unexpected comes up, then you're not, you know, you don't feel it so strapped.",,,
A,You don't have to go out and borrow it somewhere and do that.,,,
B,"Right,",,,
B,"yeah,",,,
B,"because we don't, you know, we don't charge anything that we can't pay off by the end of the month.",,,
A,"That's a good choice,",,,
A,"we've been trying, we're trying to, uh, do that this year.",,,
A,"We've budgeted the money that we used to spend, we were spending on a CODA account with T I and then money we were also buying stock with for that year,",,,
A,"we've taken that this year, and said we're going to pay off all of our credit cards",,,
B,to someone else in the You've got paper under your table.,,,
A,"and, uh, we have, uh, another loan with the bank,",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,"and so we hope by the end of this year, that by doing that we'll be free, and clear.",,,
B,To be out of that.,,,
B,Free.,,,
B,"Yeah,",,,
B,"the only thing we have, it to pay off is our, is a automobile loan and our house payment,",,,
B,"and that's the only thing we ever,",,,
A,That's good to be in that kind of shape.,,,
B,We try to stay out of debt,,,
A,What are you all trying to do long term.,minor topic start,,
B,Huh. Oh it's long term.,,,
B,"We just,",,,
B,"he you know, his retirement plan and then to CODA and stuff like that, that's all we,",,,
B,"and you know, we just have our life insurance for right now.",,,
A,Uh-huh.,,,
B,"So, we don't have any long term, you know, in stocks, or anything like that right now,",,,
B,so.,,,
A,"Yeah,",,,
A,"mostly what we're doing, we've worked, we've done the, uh, CODA account with T I where they, we put in so much a month,",,,
A,"and then they, or so much a pay check and then they match it.",,,
B,"Yeah,",,,
B,that's what we're doing.,,,
A,"So that's, that's worked out pretty good",,,
A,"and then, I used to work for T I",,,
A,"and I have,",,,
A,"when I retired from there, or left, I took the money I that I had in mine and put it in an I R A",,,
A,"and we had an out, we had an existing I R A",,,
A,"so we have, both of us have some money in an I R A that we're also trying to figure,",,,
A,"to, put it, we're putting it in C D's right now,",,,
B,Uh-huh.,,,
A,and then we're  also looking at it in possibly getting a mutual fund.,,,
B,"Yeah,",,,
B,when ever we get enough saved  we stick it in a C D for a while,,,
B,"and, then, uh, you know and then when, if we need it we wait until it, it's expired",,,
B,"and then so,",,,
A,Yeah.,,,
A,"The other thing that we've done, that, that was really nice to see, we had one of the financial companies, um,",,,
A,"uh, John Hancock company came out",,,
A,"and their agent did a long term analysis based on salary and, uh, what we were what, what our, uh, goals were on a long term budget in terms of retirement, kids college, paying off the house, buying a different house, um, special thing, buying land and building our own house",,,
B,Uh-huh.,,,
A,"and they did an analysis for us based on what we were putting in and the time frame that we wanted to look at, and then gave us a good idea back, you know, some good information back on whether or not we were going to achieve those goals, and, or not, and what we needed to do so that we could achieve them and the money we could put in at what time.",,,
B,Uh-huh.,,,
B,"or not,",,,
B,yeah.,,,
B,Uh-huh.,,,
B,"That sounds interesting,",,,
B,we've never done,,,
B,"we have,",,,
B,"you know, just our, our life insurance guy has come out, you know,",,,
B,"and he's set up, uh, you know, determined how much we need to, you know, we need if something were to happen.",,,
A,"Yeah,",,,
A,"that, that's the other financial thing I guess that we've done is with our life insurance is, since I'm at home now is, is figuring out, uh, what we would need if something happened to my husband, or what he would need if something happened to me,",,,
A,"that's a, a big thing to think about.",,,
B,"Right,",,,
B,"yeah, you know,",,,
B,"if, I would sell the, you know,",,,
B,"if, he, something would happen to him, I wouldn't stay in Texas,",,,
B,"I would, uh, sell the house and move back home, you know, to my home town,",,,
B,"and, and, uh, I wouldn't stay here in Texas,",,,
B,"so you know, I don't know what he would do.",,,
A,"Okay,",,,
A,"I guess that's most of my, um, financial plans right now.",minor topic end,,
B,Yeah,,,
B,mine too.,,,
A,"Is, is there anything you'd like to add?",,,
B,"No,",,,
B,that's about all for mine.,major topic end,,
A,Well it's been nice talking to you.,closing,,
B,Nice talking to you too.,,,
A,"Bye, bye",,,
B,"Bye, bye.",,,
