Name,Topic
3518.csv,Brian thanks total banner no handguns mail
4051.csv,three years
3041.csv,movies list list disturbing movie switcheroo
3570.csv,Howard budget keep exploring halt office tracked monitor space station
4048.csv,times drug employment random drug testing alcohol alcohol marijuana cocaine work oil business office
3009.csv,no nine younger brothers sisters center babysitters children
3317.csv,house swimming pool twenty seven hundred square foot four bedrooms alike house twelve half years
3310.csv,home care parents sooner mother mother nursing homes six weeks hardest life devastating nursing homes
3064.csv,credit cards credit cards
2663.csv,not not not Democrat Republican kick Schwartzkopf politics generals general politics hero hero magazine staff corporate presidents training educated corporate president person education corporate president Army war training industry generals service Schwartzkopf politician Governor dogs boss course
2621.csv,women knowledgeable pro football team Steelers Cowboys games past nearly Bradshaw Dallas Fort Worth horse farm town called Roanoke Texas Dallas scene management coaching motivator primarily quarterbacks Dallas Houston Super Bowl Houston talent earlier super teams
3908.csv,Allen American women generations honor accept responsibilities jobs responsibility men salaries significant
3344.csv,East affair Mideast talks exception hostages domestic problems Soviet Union Reagan international budget deficit international aspects international relations billions dollars
2072.csv,hobbies spare crafts dolls hats flowers roses satisfaction not not keyboards
2040.csv,statehood independence Puerto Rico experience state concern Puerto Rico living income climate heating housing northern territories however status quo Puerto Rico Corps training student California Spanish Puerto Rico never favors
2039.csv,public television English comedies English mysteries vociferously United States access television
3993.csv,painting class four years projects
3331.csv,major public school system not discipline parents children school death disciplined discipline daughter receives school not not classrooms school kids classroom fourth grade children classroom classroom teacher cannot school school sued lawsuits school system teachers public schools money
2672.csv,central location main highway bins newspaper plastic bins glass combination container aluminum
2604.csv,public service tries not mandatory mandatory not poor people sons
4037.csv,Indiana death penalty views honest undergraduate member Amnesty International
2652.csv,Dallas summertime shorts day
3327.csv,car blessings car complicated never mechanically inclined points brakes alternator
3584.csv,home high lost
3364.csv,Saint Elsewhere Thirty daughter fourteen two children forty kids sports Sunday nights Life Goes On Sunday Becca likes AIDS North Carolina
3036.csv,music country music Texas not Georgia Chicago category classics music sake
2602.csv,instability country
2631.csv,schools kids married children difficulties wife not children under four five professor
3514.csv,vacations places Paris France friend April family lives grandmother lives exciting place New Mexico Tahiti Tahiti Haiti
3065.csv,seventies point push encourage liter bottles gallons car kilometers hundred kilometers
3359.csv,near dear heart healthy eater not particular food Italian restaurant restaurant Rome New York restaurants upstate New York mile eleven dollars potato salad soup nine yards
