,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Well, tell me about your home.",major topic start,,house,0
1,B,Okay.,,,,0
2,B,"Uh, right now we're living in,",,,,0
3,B,"well it's me, my wife and, uh, two young boys.",,,,0
4,B,"And, uh, right now we're in a, uh, I guess it's either a zero lot line or a garden home. Which you might call it.",,,,0
5,A,Uh-huh.,,,,0
6,B,"So we don't have a, a big yard. Uh,",,,,0
7,B,"but, uh, when my wife and I first moved in, it was just the two of us.",,,,0
8,B,So it was enough.,,,,0
9,A,Uh-huh.,,,,0
10,B,"Uh, and it's, uh, I guess what they call a story and a half.",,,,0
11,B,"Because it's not a full two story. Where, you know, everything on top is on bottom.",,,,0
12,A,Yeah.,,,,0
13,B,"So, it's got real high ceilings on half the house",,,,0
14,B,and the other half is just standard sized ceilings.,,,,0
15,A,Huh.,,,,0
16,B,"And, uh, it's about a five year old house now.",,,,0
17,A,It sounds nice.,,,,0
18,B,"It's, uh, pretty nice.",,,,0
19,B,"Unfortunately, the builder who built it went out of business already",off topic start,,about the builder,2
20,A,"Oh, yeah?",,,,2
21,B,Yeah.,,,,2
22,B,"It was a,",,,,2
23,B,Landmark is the one who built it.,,,,2
24,A,Yeah.,,,,2
25,A,"Well, you know, these guys that gambled high lost big you know.",off topic end,,,2
26,B,Yeah.,,,,0
27,B,That's true.,,,,0
28,A,"And, uh I'm insulating myself from that problem.",,,,0
29,B,Exactly what happened to them.,,,,0
30,A,I'm building my own house.,,,,0
31,B,"Oh, that's nice.",,,,0
32,A,"And as I look out the window of my trailer, I can envision all the insulation that's going up today",,,,0
33,B,"Oh, really.",,,,0
34,A,Yeah.,,,,0
35,B,Are you doing it yourself?,,,,0
36,A,Yeah.,,,,0
37,B,Wow.,,,,0
38,A,I used to be a builder.,minor topic start,,personal occupation related to major topic of building house,1
39,B,"Oh, that's nice.",,,,1
40,A,And I retired about five years ago  and  started college.,,,,1
41,B,"Oh, I  see.",,,,1
42,B,Huh.,,,,1
43,A,And now I'm a college educated builder,,,,1
44,A,"There's still no work, you know.",,,,1
45,B,Yeah.,,,,1
46,A,"So, uh,  you know, I decided this summer that, uh, you know, we had enough credit on the credit cards to buy the materials",minor topic end,,,1
47,A,so I did.,,,,0
48,B,That's great.,,,,0
49,A,"And, uh, see the, the, the state has a law that says you cannot borrow the money to build your own home.",off topic start,,goverment laws,2
50,B,is that so?,,,,2
51,B,I didn't know that.,,,,2
52,A,You can borrow the  money to pay somebody else to build your house,,,,2
53,A,but you can't borrow the money to build your own.,,,,2
54,B,Well that sounds kind of dumb.,,,,2
55,A,"Well, it's to protect the, the banks from guys that say yeah I want to build my own house and go out a build a spec home",,,,2
56,B,Uh-huh.,,,,2
57,A,and then it doesn't sell,,,,2
58,A,and then the  bank's  holding the bag.,,,,2
59,B,Yeah.,,,,2
60,B,Yeah.,,,,2
61,A,Well.,,,,2
62,B,Huh.,,,,2
63,A,"As, as you know, anything that involves the government is, works half as well as it's supposed to  costs three times as much. Right?",off topic end,,,2
64,B,That's right,,,,0
