,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Well, what I believe is one of the major uh, things that is wrong with our public school system is that, um, we do not have enough discipline",major topic start,,Regarding discpline of students in this modern schools.,0
1,B,Uh-huh.,,,,0
2,A,and the parents do not let the teachers discipline the children the way that they need to be disciplined right now.,,,,0
3,B,Uh-huh.,,,,0
4,B,Uh-huh.,,,,0
5,B,I agree with that.,,,,0
6,A,"Uh, when I went to school, I know I was scared to death about being disciplined,",minor topic start,,Comparing A's school and his/her daughter's school discipline,1
7,B,You were?,,,,1
8,A,and the discipline that my daughter receives now in going to school is just totally different.,,,,1
9,B,Uh-huh.,,,,1
10,B,Uh-huh.,,,,1
11,A,"You know, you just, you did not see, I did not see anybody in my classrooms, when I was going to school, act up the way that kids do these days in the classroom.",,,,1
12,B,Yeah.,,,,1
13,B,"Yeah,",,,,1
14,B,yeah.,,,,1
15,B,"From what I understand, they act up pretty bad",,,,1
16,A,"Yeah,",,,,1
17,A,"that's right,",,,,1
18,A,that's right.,minor topic end,,,1
19,B,"What, uh,  grade is your daughter in?",off topic start,,Asking grade of A's Daughter,2
20,A,"My, my daughter's in the, um, fourth grade",,,,2
21,B,"Uh-huh,",,,,2
22,B,uh-huh.,off topic end,,,2
23,A,"and, um, there's children in her classroom that just totally disrupt the classroom, where the teacher cannot teach",,,,0
24,B,"Uh-huh,",,,,0
25,B,uh-huh.,,,,0
26,B,Yeah.,,,,0
27,A,and when I went to school that just wasn't put up with.,minor topic start,,The speaker school's discipline mechanism,1
28,B,"Oh, no,",,,,1
29,B,uh-huh.,,,,1
30,B,They always had a paddle in our school.,,,,1
31,A,Uh-huh.,,,,1
32,A,"Well, they, they just don't do that any more.",,,,1
33,B,I know.,minor topic end,,,1
34,A,"But the school system's afraid of getting sued and, um, all sorts of lawsuits I'm sure because of things like that.",minor topic start,,School system's problem for being leninet,1
35,B,Uh-huh.,,,,1
36,B,"Yeah,",,,,1
37,B,yeah.,minor topic end,,,1
38,A,"And, I also believe we don't, even though I feel like I pay a good share towards the school system, that the teachers are still underpaid",off topic start,,About the teacher's salary,2
39,A,and we still don't have enough money towards put in toward public school.,,,,2
40,B,"Uh-huh,",,,,2
41,B,uh-huh.,,,,2
42,B,Uh-huh.,,,,2
43,A,"And, um, I think that if we had enough money and paid the teachers a little bit more, that maybe that could solve some of our problems.",,,,2
44,B,Yeah.,,,,2
45,B,"Wasn't that what part of the lottery is going to go for, if we approve it?",,,,2
46,A,Yes,,,,2
47,A,"supposedly that's what it's suppose to go for,",,,,2
48,A,"and you know, we'll just have to wait and see whether that's approved or not.",,,,2
49,B,Uh-huh.,,,,2
50,A,"You know, I don't know your feelings toward that.",,,,2
51,A,I guess we shouldn't get into that,,,,2
52,A,"but, um, and what else, um,",off topic end,,,2
53,A,I think in some ways that they need to be more careful of the teachers that they hire.,minor topic start,,Related to quality of teachers hired which has an effect on student's descipline,1
54,B,Uh-huh.,,,,1
55,A,"I have heard stories, uh, from other parents that I know of, their children are in high school that teachers are out there giving drugs and selling drugs,",,,,1
56,B,Uh-huh.,,,,1
57,B,No.,,,,1
58,B,Really?,,,,1
59,A,"Oh, yeah,",,,,1
60,B,Ooh.,,,,1
61,A,"I've, I've heard some horrible, horrible stories about high, high school teachers",,,,1
62,B,Uh-huh.,,,,1
63,A,"and, you know, to be, be more careful of the teachers that we place in our school.",,,,1
64,B,Uh-huh. Um.,,,,1
65,A,"Um, that's basically about all that I know that may be wrong with the school system.",,,,1
66,A,"I think, with what they have to work with, I think they're doing a pretty good job right now.",,,,1
67,B,"Oh, I do too,",,,,1
68,B,I think they're doing real good job.,,,,1
69,A,"Uh-huh,",,,,1
70,A,so.,minor topic end,major topic end,,1
71,B,"But, then, what do I know,",closing,,The B speaker indicating he is not interested to A,0
72,B,I don't have any kids.,,,,0
73,B,"No,",,,,0
74,B,none at all,,,,0
75,A,"Yeah,",,,,0
76,A,"okay,",,,,0
77,A,so this is probably a real hard subject for you.,,,,0
78,B,"Oh, yeah",,,,0
79,A,Yeah.,,,,0
80,A,"Okay,",,,,0
81,A,"well, I guess, um, we can discontinue our call now.",,,,0
82,B,Okay.,,,,0
83,A,It was a joy in talking with you.,,,,0
84,B,"Well, it was good talking to you too.",,,,0
85,A,"Okay,",,,,0
86,A,thanks.,,,,0
87,B,"We'll see you,",,,,0
88,B,bye-bye.,,,,0
89,A,Bye,closing,,,0
