,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Oh, I guess, uh, this is a, a topic near and dear to my heart, since I am a, am a healthy eater,",major topic start,,Food,0
1,B,"Well, I, I try to be as well,",minor topic start,,A talks about restaurants he likes,1
2,A,"Well, I'm not, uh, I,",,,,1
3,A,"there really isn't any kind of particular food that I, I don't, don't like really,",,,,1
4,A,"and I like a good Italian restaurant or a good, uh, uh,",,,,1
5,B,Uh-huh.,,,,1
6,A,especially like good prime rib,,,,1
7,B,Uh-huh.,,,,1
8,A,"so if it's, uh, nice to get out and find a good restaurant like that,",,,,1
9,A,"and I live here in, uh, Rome, New York,",,,,1
10,A,and there are a lot of good restaurants around here.,minor topic end,,,1
11,B,"Oh, you're in New York,",minor topic start,,A and B talk about the best places to get prime rib,1
12,B,"I was going to,",,,,1
13,B,"there's a place, if you ever make it to Dallas they have the best prime rib.",,,,1
14,A,Uh-huh.,,,,1
15,B,"It's called Lawry's, like Lawry's seasoning salt",,,,1
16,A,Uh-huh.,,,,1
17,B,and it is absolutely wonderful.,,,,1
18,A,Really.,,,,1
19,B,"And, uh, we were there a few months ago,",,,,1
20,B,"and it, I mean, it's kind of pricey,",,,,1
21,B,"well, from New York it probably doesn't matter,",,,,1
22,B,but,,,,1
23,A,"Oh, no,",,,,1
24,A,"I'm in upstate New York,",,,,1
25,A,"and it's actually very inexpensive,",,,,1
26,A,"I,",,,,1
27,A,"there's a there's a place, um, half a mile from me here that, uh, has, uh, fantastic prime rib for, oh, eleven dollars for a whole meal, you know a potato and salad and soup, and the whole, whole nine yards,",,,,1
28,B,"Oh, is it, okay.",,,,1
29,B,Wow.,,,,1
30,B,Uh-huh.,,,,1
31,A,"so that,",,,,1
32,B,"Yeah,",,,,1
33,B,"well, I think the cheapest there probably starts at eighteen,",,,,1
34,B,"and it includes, you know, salad and rolls and, oh, some other stuff,",,,,1
35,B,but it is absolutely wonderful.,,,,1
36,A,Right.,,,,1
37,B,It's the best I have ever had.,,,,1
38,A,"Uh, I was going to this place up the street from me is the best I've ever had,",,,,1
39,A,"so, I'll have to go there when I get to get to Dallas.",,,,1
40,B,Yeah,,,,1
41,B,"Well,",,,,1
42,B,"Yeah,",minor topic end,,,1
43,B,"well, we like, uh, lots of people down here like Mexican food",minor topic start,,Talk about mexican food,1
44,A,"Uh-huh,",,,,1
45,A,sure.,,,,1
46,B,"so, um, that's,",,,,1
47,B,"I, I think Italian and Mexican food are probably my favorites.",,,,1
48,A,Uh-huh.,minor topic end,,,1
49,B,"But, um, I'm not into sushi or any of that kind of stuff.",minor topic start,,They are discussing sea food,1
50,A,"No,",,,,1
51,A,"no,",,,,1
52,A,"I'm not into the, the, don't do the, the raw, raw fish like that,",,,,1
53,A,"but I do like, uh, like a seafood bar, like a raw, raw bar like oysters and things like that, uh",,,,1
54,B,Uh-huh.,,,,1
55,A,"that they, uh,",,,,1
56,A,"I go on,",,,,1
57,A,I'm an officer in the Air Force and travel quite a bit on business,,,,1
58,B,"Oh, okay.",,,,1
59,A,"so I, uh, find myself down in Melbourne, Florida about once, once a month, once every two months or so and, uh, go and hit the, the oyster bars down there quite a bit",,,,1
