,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Go ahead.,Opening,,,0
1,B,"Okay,",,,,0
2,B,"do I still still can feel that the Soviet Union, as such, is still a threat to the civilized western world?",,,,0
3,B,Absolutely.,,,,0
4,B,"And my reasons are based upon not only from what I read in the newspapers, what I see on the newspapers, but up against some of the, fun and exciting things I ran into during my six years as a soldier in the Fifth Special Forces Group.",Major Topic Start,,Talking about political instability,0
5,A,Um. Okay.,,,,0
6,A,"I guess I don't see them as much of a threat as they used to be,",,,,0
7,A,"but I think just the instability of the country right now is,  sort of scary.",,,,0
8,B,"Well, that's what  makes it a powder keg.",,,,0
9,B,"The, um,",,,,0
10,B,"I'll go back in time a little bit, to about eighty-one,  when  my first real involvement with the military started.",,,,0
11,A,Uh-huh.,,,,0
12,B,"Um, naturally we were at the time,",,,,0
13,B,the Soviet Union was considered to be the big military power and the big threat.,,,,0
14,B,"So we got lots, quite a bit of information as well as indoctrination on Soviet tactics and weapons.",,,,0
15,A,Uh-huh.,,,,0
16,B,"I went to Lebanon in eighty-three, before the marines ever got there, with the U N Peace Keeping Force. And with the training I received prior to going there, with captured weapons we kept running up against.",,,,0
17,B,"These weren't, these weren't Chinese made copies.",,,,0
18,B,"These were Soviet made, top of the line, fresh out of the box, A K forty-sevens. As well as a lot of the explosives we were running into.",,,,0
19,A,"Um, uh-huh.",,,,0
20,B,"In Granada, in October, twenty-fifth, eighty-three, we invaded the place.",,,,0
21,B,"Sure there were Cuban soldiers there,",,,,0
22,B,but there was also a bunch of Russian advisors that were damn good shots.,,,,0
23,B,"The team I was with, we jumped in on the western tip of, of the island down on Point Salinas.",,,,0
24,B,And for every Cuban there was at least five Russian advisors.,,,,0
25,A,Huh.,,,,0
26,B,And they were all shooting state of the art Soviet weapons.,,,,0
27,B,"In eighty-four, I was down in Central America, as an advisor to the Honduran Army.",,,,0
28,B,"Again we were running up against Cubans quite a bit, plus Soviet advisors.",,,,0
29,B,"And the equipment we were capturing and taking from the Nicaraguans, was brand new, out of the crate, Soviet made material.",,,,0
30,B,Do I consider them a threat?,,,,0
31,B,Absolutely.,,,,0
32,B,They have a university in Moscow called the Patrice de Lamumba University.,Minor Topic Start,,Talking about graduates from a University in Moscow,1
33,B,"About like A and M or U T, where they're teachings subjects like that, they're teaching terrorism.",,,,1
34,B,Some of the people we went up against in Lebanon were graduates from that place.,,,,1
35,B,"And let me tell you, they are nothing nice to go up against.",,,,1
36,A,Huh.,,,,1
37,B,I'm surprised during this Iraqi crisis we didn't have more incidents than they did.,,,,1
38,B,These guys are top of the line.,,,,1
39,B,"When they, when they graduate from there, they can pull terrorist actions anywhere in the free world.",,,,1
40,B,"And they are very, very good at what they do.",,,,1
41,B,"So until I see the entire, quote, old guard of the Soviet military, of the Soviet government completely roll over and disappear, preferably buried, I still consider them a threat.",,,,1
