,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"So, well, this is an appropriate topic the day after Earth Day,",major topic start,,Chemical pollution and its effects,0
1,A,so.,,,,0
2,B,Right.,,,,0
3,A,"Um, well, what do you think is, uh, the pollutants, the main pollutants in the air?",,,,0
4,B,"I have trouble with the chemical plants and things like that I just, uh, I think they put off so much",,,,0
5,B,and they're not regulated enough.,,,,0
6,A,"Yeah,",,,,0
7,A,"well , that's me too.",,,,0
8,A,"After, um,",,,,0
9,A,"on channel thirteen, uh, they had some, some programs the day before,",,,,0
10,A,"and I'm not sure that about yesterday, we didn't really watch it too much yesterday,",,,,0
11,A,"but the day before they had a lot of programs about the environment and, you know, how we're affecting the Earth and things by what we do, as the people",,,,0
12,B,Uh-huh.,,,,0
13,A,"and, and they mentioned sulfur and carbon dioxide a lot,",,,,0
14,B,Yeah.,,,,0
15,A,"and that actually, um, as our population increases and, you know, our, of course, our, our cars, you know, our number of cars increase per the population, that's the problem. But also like you said the industry pollution",,,,0
16,A,"and, you know, their their regulation that's placed on them is, I mean, it's better than it used to be",,,,0
17,A,"but it's incredible that they still don't have, you know, they don't, they're not made to regulate the amount of pollutants that they put into the air.",,,,0
18,B,Right.,,,,0
19,A,"You know, I, I just,",,,,0
20,A,I can't stand that,,,,0
21,A,"and I know for a fact that they get away with a lot that,",,,,0
22,A,"you know, they're supposed to be regulated because we have a, we have a plant, I don't know about T I but we have a plant, uh, a Pillsbury plant, in, in a town adjacent to ours,",minor topic start,,Pillsbury Plant,1
23,B,Uh-huh.,,,,1
24,A,"and I know people that work there that,",,,,1
25,A,"of course, you wouldn't think Pillsbury would put out certain chemicals,",,,,1
26,B,No.,,,,1
27,A,"but they put out toxic chemicals there just in some of the, um, what they do, uh, to, uh, make their dough and to, clean out the flour and stuff like that,",,,,1
28,B,Really?,,,,1
29,A,"yeah,",,,,1
30,B,Huh.,,,,1
31,A,"I mean, it's incredible.",,,,1
32,A,"And, um, they said that they're, you know, they have a little creek that runs by them",,,,1
33,A,"and some of the people that work there have told me that when they have inspectors coming they, you know, shut down everything",,,,1
34,A,"and they clean up their act, but on a normal basis that they're, that they're dumping things, that they're not supposed to be dumping,",,,,1
35,B,Oh.,,,,1
36,A,"and I'm like, if they're getting away with it, can you imagine,",,,,1
37,B,Right.,,,,1
38,A,"that's a, that's a Pillsbury plant",,,,1
39,A,"I can't imagine plants,",,,,1
40,B,"I wouldn't have thought that Pillsbury could, would, the, I mean, or even had you know, well,",,,,1
41,B,"those chemicals would not,",,,,1
42,A,"Yeah,",,,,1
43,A,"they have chemicals that they use to refine their flours with and stuff, you know to, to break the flours down",,,,1
44,B,Yeah.,,,,1
45,A,"and then they, they also do testing there,",,,,1
46,A,"and I don't,",,,,1
47,A,"you know, when you consider, you know, it's probably not radioactive",,,,1
48,A,"but toxic can be, can be anything that's uh, classified that can damage the Earth.",,,,1
49,B,"Right,",,,,1
50,B,yeah.,,,,1
