,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Do you use credit cards a good bit?,major topic start,,"Uses of credit cards
",0
1,B,"I do,",,,,0
2,B,and I wish I didn't,,,,0
3,A,Uh.,,,,0
4,B,"Before I got married, uh, about the only credit cards I used were gas cards, because I didn't like carrying, you know  the cash  with me all the time,",off topic start,,Speaker B his first interaction with credict cards,2
5,A,Uh-huh.,,,,2
6,B,but I just never wanted to get into the hang-up of using credit cards and having all those bills hanging over my head.,,,,2
7,A,Uh-huh.,,,,2
8,A,Uh-huh.,,,,2
9,B,"In fact, I remember getting my first MasterCard,",,,,2
10,B,"and the only reason I got it was, you know, there was a while years ago when you couldn't cash a check without like a MasterCard or VISA.",,,,2
11,A,Okay.,,,,2
12,A,Absolutely.,,,,2
13,A,Right.,,,,2
14,B,And so that's why I went ahead and got one.,,,,2
15,A,Uh-huh.,,,,2
16,B,It was a mistake,,,,2
17,A,Yeah.,off topic end,,,2
18,A,"Well, actually, I, I have a whole wallet full of credit cards.",,,,0
19,B,Yeah.,,,,0
20,A,I don't use them very often.,,,,0
21,A,"Um, oh, I may use, I try to use at least one gasoline credit card a week, and try to use a different one, so that, you know, I have, keep those active.",,,,0
22,B,Yeah.,,,,0
23,A,"I have a half a dozen department store credit cards,",,,,0
24,A,"and I, I'll use those if I need to run in and buy a dozen pair hose right quick or something like that,",,,,0
25,B,Yeah.,,,,0
26,A,just enough to keep them active.,,,,0
27,A,"My biggies are the VISA, MasterCard and Discover.",,,,0
28,B,Yeah.,,,,0
29,A,"And for the most part, I had used those for like, uh, charging airline tickets, where I can pay for those, you know, you could make the transaction over the telephone,",,,,0
30,B,Yeah.,,,,0
31,A,"or I fly Southwest a good little bit, which means I can just run that card through the machine.",,,,0
32,B,That's right.,,,,0
33,A,"Uh, and it saves a lot time.",,,,0
34,A,And that's what I was using it for.,,,,0
35,A,"However, we had a, had a, a very pressing financial family crisis, which said you have no alternative,",off topic start,,Personal usage of credit card by A,2
36,A,"you must have the money to do this with,",,,,2
37,A,and you do not have any other options,,,,2
38,B,Uh-huh.,,,,2
39,A,"so I charged all three of those cards up,",,,,2
40,A,and right now I am paying and praying.,,,,2
41,B,I know how that goes,,,,2
42,A,"But, uh,",off topic end,,,2
43,B,"and that's exactly what we've, I mean I have to say I have been thankful for them, because there were times when it was just like that when we had to have the money",,,,0
44,A,Uh-huh.,,,,0
45,A,Uh-huh,,,,0
46,A,Uh-huh.,,,,0
47,A,Uh-huh.,,,,0
48,B,we had no way around it,,,,0
49,A,Uh-huh.,,,,0
50,B,"and the only way to do it is go get, you know, an advance on a card",,,,0
51,A,Uh-huh.,,,,0
52,A,Uh-huh,,,,0
53,B,"and so like you were paying for it,",,,,0
54,B,but it's one of those I'm glad it was there.,,,,0
55,A,"Well, I never did, Right.",,,,0
56,A,I never did use it for an advance.,,,,0
57,A,"Most of my charges were, uh, medications.",,,,0
58,B,"Oh, I see.",,,,0
59,A,Didn't have cash for the medications,,,,0
60,A,"or it was, uh, the doctor would accept MasterCard or VISA.",,,,0
61,B,Oh.,,,,0
62,A,"And, uh, a lot of times you can get by using those for, uh, uh,",,,,0
63,A,"different labs will use those charge accounts for,",,,,0
64,B,"What,",,,,0
65,B,"Do you find now, though, that even some doctors won't?",,,,0
66,B,"I've found some doctors that say, you know,",,,,0
67,B,"I was so used to doctors or medical care places taking credit cards,",,,,0
68,B,and so many of them don't anymore.,,,,0
69,A,Uh-huh,,,,0
70,B,"So,",,,,0
71,A,"Well, I have not,",,,,0
72,A,"like I said, that was just one period in my life where that was critical.",,,,0
73,B,Yeah.,,,,0
74,A,I don't generally charge.,,,,0
75,A,"I say well, I need a checkup in six months,",,,,0
76,A,and I kind of set that aside and just pay for it.,,,,0
77,B,Right.,,,,0
78,A,"I'm reimbursed on insurance anyway,",,,,0
79,A,"and I can handle, you know, paying for it and waiting two or three weeks.",,,,0
80,B,Right.,,,,0
81,A,Getting into a credit card fiasco is easy.,,,,0
82,B,"Oh, it is",,,,0
83,A,"It is easy,",,,,0
84,A,and it's very difficult to get out.,,,,0
85,A,I just cringe every month when I see those interest charges.,,,,0
86,B,I know.,,,,0
87,A,"I say wow,",,,,0
88,A,"I, I ought to go to the credit union and borrow the money and pay this off.",minor topic start,,A methods to pay of his credit balance and B suggesting him loop holes,1
89,A,"Big deal,",,,,1
90,A,I'm saving two percent.,,,,1
91,B,Right.,,,,1
92,B,"But, you know, the interest, even though it bothered me, it didn't used to bother me so much, because, of course, you could list it on a Schedule A",,,,1
93,B,"and you got all your interest, you know towards your tax deductions,",,,,1
94,A,Uh-huh.,,,,1
95,A,Uh-huh.,,,,1
96,B,and now they've messed that up to where it really is a financial burden to have to pay it.,,,,1
97,A,Right.,minor topic end,,,1
98,B,"And but it, but it is easy to get into a credit card problem,",minor topic start,,New credit card takers misconcepts,1
99,B,"and I, I think about young people that think, you know,",,,,1
100,B,"there's kind of that feeling of hey, it's so neat,",,,,1
101,B,I have my first credit card,,,,1
102,A,Uh-huh.,,,,1
103,B,"and, and they just don't understand that you still have to be able to make the payments.",,,,1
104,A,"Oh, yeah,",minor topic end,major topic end,,1
105,A,"and it's not just paying back what you've charged,",major topic start,,paying back to the credit card company,0
106,B,You know.,,,,0
107,A,it's paying that and half again.,,,,0
108,B,That's right.,,,,0
109,B,That's right.,,,,0
110,A,"Uh, you send in, uh, uh, fifty dollars,",,,,0
111,A,"you're going to pay twenty, twenty-five in interest charges.",,,,0
112,B,That's right.,,,,0
113,A,"You only get half of that paid for the principal,",,,,0
114,A,so I'm looking at three or four years before my balances are cleared on those charge accounts.,,,,0
115,B,Right.,,,,0
116,A,"Now, as the monthly payment, uh, I mean as the monthly payment amount goes down, that will free up more cash where I can continue to make the larger payments.",,,,0
117,B,Right.,,,,0
118,A,"Uh, as long as I don't have a major disaster where I have to use it again, I can, I can do that.",off topic start,,A's efforts for paying back,2
119,B,Right.,,,,2
120,A,"Meantime, though, I'm not building any reserves.",,,,2
121,B,"No,",,,,2
122,B,and that's frightening to me.,,,,2
123,A,Anything that I could be put aside into savings is going for interest on those cards.,,,,2
124,B,That's right.,,,,2
125,B,"That's frightening, too.",,,,2
126,A,Uh-huh.,off topic end,,,2
127,B,"Uh, I, I just, I, my husband is in business for himself",minor topic start,,About B's credits,1
128,A,Uh-huh.,,,,1
129,B,I work for T I,,,,1
130,B,but he doesn't,,,,1
131,A,Uh-huh.,,,,1
132,B,"and, uh, we're, uh, I, I've kind of got my fingers crossed.",,,,1
133,B,"I've learned when you're in business for yourself, that, that you don't count on something until it's happened you know,",,,,1
134,A,Uh-huh.,,,,1
135,B,"but he's got some, you know, it's those once in a lifetime cases,",,,,1
136,B,and after ten years he's got two of them,,,,1
137,A,Uh-huh.,,,,1
138,B,"and they should pay through next month,",,,,1
139,B,"and, and we're both just looking at each other every night going man, that will pay off like both of our MasterCards, you know.",minor topic end,,,1
140,A,"Oh, right,",,,,0
141,A,right.,,,,0
