,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"So, do you fish?",major topic start,,Talking about fishing,0
1,B,"Oh, yeah.",,,,0
2,B,"My dad has a lake cabin,",,,,0
3,B,"and so we go there for the small lake, uh, just outside of the Dallas Fort Worth area.",,,,0
4,B,It takes us about three hours to get there.,,,,0
5,B,"And we go, and we fish,",,,,0
6,B,"and we catch a bunch of junk Nothing, nothing to talk about for the most part,",,,,0
7,B,but it's fun.,,,,0
8,A,"Uh, from a boat or from shore?",,,,0
9,B,"From the dock, from shore.",,,,0
10,A,"Oh, that's nice.",,,,0
11,A,"Uh, mostly catfish",,,,0
12,A,"or,",,,,0
13,B,"Oh, mostly we catch carp.",,,,0
14,B,"If we're doing good, we catch a catfish or two once in a while.",,,,0
15,B,"And, you know, we go ahead and eat those.",,,,0
16,B,But we've never caught enough to really have what you'd call a fish fry.,,,,0
17,B,"What we normally do is just, uh, go ahead and clean it up, and then, uh, you know, put it in a bag and freeze it.",,,,0
18,B,"And, and somebody takes it home and eats it then when there's just a couple people instead of a whole crowd.",,,,0
19,B,"Usually, there's a pretty good crowd there,",,,,0
20,B,so we don't ever catch enough to eat.,,,,0
21,B,Carp is usually pretty much fun.,minor topic start,,"Talking about Carp, a type of fish",1
22,B,"Because I've caught up to about an eight pound carp on a little, you know, a little pole with twenty pound test line.",,,,1
23,B,"And that, that's a pretty good fight.",,,,1
24,B,So that's a lot of fun.,,,,1
25,A,Yeah.,,,,1
26,A,"A real light line, real light rig?",,,,1
27,B,Yeah.,,,,1
28,A,"Well, that sounds like fun.",,,,1
29,B,They fight hard.,minor topic end,,,1
30,A,Fish in Colorado different than that.,minor topic start,,Talking about fish and fishing in Colorado,1
31,B,Yeah?,,,,1
32,A,Mostly trout in the mountains.,,,,1
33,B,"Yeah,",,,,1
34,B,and in the rivers and stuff?,,,,1
35,A,"Yeah,",,,,1
36,A,"yeah,",,,,1
37,A,mountain streams and rivers.,,,,1
38,B,Are they good to eat?,,,,1
39,A,"Uh, yeah,",,,,1
40,A,"very. Yeah, very much there, you know.",,,,1
41,B,"Oh, you mean size wise they're not very big?",,,,1
42,A,"Um, by and large, no.",,,,1
43,A,"But, but they're big fun.",,,,1
44,B,Yeah.,minor topic end,,,1
45,B,"Well, I've been,",off topic start,,Talking about Fly Fishing,2
