,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"So, Beverly, what do you think about drug testing?",major topic start,minor topic start,"major:harmful effect of drugs and alcohol on others, minor:feasibility of drug testing",0
1,B,"I think in some professions it's, uh, essential. Things like pilots and things that involve the safety of other people particularly.",,,,0
2,A,Yeah.,,,,0
3,A,"We've, we got a lot of mistakes here, uh, in the Maryland, Baltimore area because of, uh, train conductors uh, on drugs.",,,,0
4,B,Uh-huh.,,,,0
5,A,"I think we've had two terrible accidents here recently,",,,,0
6,A,"and also on, um, just like, I bet you within five days a truck where the, uh, a dump truck, where the driver was, uh, high on marijuana,",,,,0
7,A,"I guess he smoked marijuana for lunch and, uh, drove his truck up the back of two small cars in a tunnel that goes underneath the, uh, a river that leads into the Chesapeake Bay",,,,0
8,B,"Oh, my goodness,",,,,0
9,A,"and it would,",,,,0
10,A,"that would, tied up traffic for a long time,",,,,0
11,A,"everybody died,",,,,0
12,A,"the fire was terrible,",,,,0
13,A,it was awful.,,,,0
14,A,"So, yeah,",,,,0
15,A,"I think you're right,",,,,0
16,A,"I, I think I, if it's, if you're in a field,",,,,0
17,A,"but then you know, who would test all truck drivers you know,",,,,0
18,B,"They,",,,,0
19,B,"that's, that is a problem",,,,0
20,B,and every time before they get into a vehicle I mean.,,,,0
21,A,"Right,",,,,0
22,A,yeah,,,,0
23,A,"I think, I think, looking at athletes being drug tested",,,,0
24,B,Uh-huh.,,,,0
25,A,"I don't know,",,,,0
26,A,"even, I think the random drug testing, I don't know in my own mind if it has reduced the athletes from taking drugs, because they're still being caught",,,,0
27,B,Right.,,,,0
28,A,that make sense?,,,,0
29,B,"Yes,",,,,0
30,B,"uh, it may make a difference for some of them because they don't want to lose that lucrative, uh career.",,,,0
31,A,"Yeah,",,,,0
32,A,"and then, uh, I think,",,,,0
33,A,Yeah.,,,,0
34,A,"I, I, I think, in the long run I think it's, it would be good.",,,,0
35,B,Uh-huh.,,,,0
36,A,"I think in the short run they think because so many of those tested have gotten away with it you know, the, the test hasn't come down hard on anyone",,,,0
37,B,Right.,,,,0
38,B,Uh-huh,,,,0
39,A,"I don't, I don't know.",,,,0
40,B,"however, here in Dallas uh, we had a, a player, Roy Tarpley on the Mavericks team",,,,0
41,A,Yeah.,,,,0
42,A,Uh-huh.,,,,0
43,B,"and he had been suspended a couple of times because of drug testing,",,,,0
44,B,"and was to the point, he was on probation,",,,,0
45,B,"he was to the point that if he was caught another time that he would lose his contract,",,,,0
46,B,"and they wouldn't have to pay him,",,,,0
47,B,"and the Mavericks wanted to get rid of him,",,,,0
48,B,but they couldn't afford to replace him and still pay his contract,,,,0
49,A,Right.,,,,0
50,B,"and, uh, just recently he was, uh, missing from practice",,,,0
