,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Okay.,major topic start,minor topic start,Personel view on guns,0
1,B,All right.,,,,0
2,A,What's your view.,,,,0
3,B,Huh?,,,,0
4,A,What's your view?,,,,0
5,B,"Well, I have a hard time thinking that they can control guns. Personally.",,,,0
6,A,Yeah,,,,0
7,A,"Yeah,",,,,0
8,A,that's true.,,,,0
9,B,"I mean,",,,,0
10,A,"You know, even if they give it a shot, it's still going to be black market all over the place, you know,",,,,0
11,B,That's right.,,,,0
12,B,That's right.,,,,0
13,A,I don't know.,,,,0
14,A,"Coming from Texas you're probably,",,,,0
15,A,I don't know,,,,0
16,A,"I shouldn't make stereo types,",,,,0
17,A,but gun control is probably frowned on quite a bit down there I would think.,minor topic end,,,0
18,B,Yeah.,off topic start,,Where are speakers from?,2
19,B,"It is,",,,,2
20,B,"but I'm not really from I'm not really from Texas,",,,,2
21,B,I just live down here now.,,,,2
22,B,I've  I've lived down here a couple years.,,,,2
23,A,"Oh, you're  just live down there?",,,,2
24,A,Yeah.,,,,2
25,B,"I'm originally from Colorado,",,,,2
26,B,but  yeah,,,,2
27,A,Oh well.,,,,2
28,B,"there, uh, there, uh there's a lot of hunters here.",,,,2
29,A,"Yeah,",,,,2
30,A,well I know how you feel.,,,,2
31,A,"I'm, uh, I grew up in Nebraska",,,,2
32,A,"and, and we always use to go out and hunt all the time, you know",,,,2
33,A,"and man, there's no way. There's no way I would ever go for a total ban on all weapons.",off topic end,,,2
34,B,Uh-huh.,,,,0
35,A,"That's just,",,,,0
36,A,I don't know.,,,,0
37,B,"I just think, I think it's ridiculous.",,,,0
38,A,Yeah.,,,,0
39,B,"I mean,",,,,0
40,A,It doesn't sit with me very well.,,,,0
41,A,"I don't know, I, anymore",minor topic start,,Guns for protection,1
42,A,"I keep a thirty-eight in my truck, you know.",,,,1
43,B,Really.,,,,1
44,A,"Yeah,",,,,1
45,A,"I just about all,",,,,1
46,A,well I live in Minneapolis,,,,1
47,A,"and I,",,,,1
48,A,"well actually I live in Florida,",,,,1
49,A,but I am staying in Minneapolis for a year,,,,1
50,A,"and you know, both areas are pretty crime ridden right now",,,,1
51,B,Uh-huh.,,,,1
52,B,Right.,,,,1
53,A,"and it's just, you never know who is out there.",,,,1
54,B,Right.,,,,1
55,A,You know it's just for self protection purposes,,,,1
56,A,"and then of course there's the hunting issue,",,,,1
57,A,so,,,,1
58,B,Sure.,,,,1
59,A,yeah,,,,1
60,A,that's good.,minor topic end,,,1
61,A,"What do you do, Jeff?",off topic start,,Occupation of the speakers,2
62,B,"Uh, I, I'm in, uh, program control for a company up here.",,,,2
63,A,"Oh, yeah.",,,,2
64,B,Yeah.,,,,2
65,A,All right.,,,,2
66,B,"We do schedules, for programs, schedule programs.",,,,2
67,A,Yeah.,,,,2
68,B,What do you do?,,,,2
69,A,"I'm, uh, researcher of Honeywell up here.",,,,2
70,B,"Oh, okay.",,,,2
71,A,"So, uh,",off topic end,,,2
72,A,yeah.,,,,0
73,A,"You guys uh, do you get much of a chance to hunt or anything",minor topic start,,They talk about hunting,1
74,A,"or,",,,,1
75,B,"Uh, I haven't had a chance to do any hunting since I've been down here.",,,,1
76,B,"I don't own a shotgun,",,,,1
77,B,but I'd like to go bird hunting.,,,,1
78,A,Yeah.,,,,1
79,A,You know  that's something I miss quite a bit.,,,,1
80,B,So.,,,,1
81,B,"Yeah,",,,,1
82,B,"uh, when I was in Colorado we went deer and elk hunting you, you know, quite a bit",,,,1
83,A,Yeah.,,,,1
84,B,"but,",,,,1
85,A,Yeah.,,,,1
86,A,All right.,,,,1
87,A,"Yeah,",,,,1
88,A,"my brother was, uh, a guide for bear and elk hunts out in Idaho for a while and, uh, really enjoyed it quite a bit,",minor topic end,,,1
89,A,but I don't know.,,,,0
90,A,"I guess that what the scale now is, it's zero for, uh, for a complete,",,,,0
91,B,"One for a total ban and, uh,",,,,0
92,A,That's right.,,,,0
93,A,I guess I am about eight or nine,minor topic start,,Measures government can take instead of banning guns,1
94,B,"Yeah,",,,,1
95,B,"I, I agree with you there",,,,1
96,A,"Yeah,",,,,1
97,A,no doubt about it,,,,1
98,A,"but, uh,",,,,1
99,B,"I mean, if they can anyway get it, keep criminals from having guns which they can't",,,,1
100,A,Yeah.,,,,1
101,B,"I, you know,  I'm not  for it.",,,,1
102,A,"Yeah,",,,,1
103,A,"if there's  if there's a way, you know, to limited it to people that, I don't know that",,,,1
104,A,"they, I guess they passed a couple of, uh, uh, laws a here while back in some states in terms of a waiting period where you know you go to buy a hand gun",,,,1
105,B,Uh-huh.,,,,1
106,A,"and then they actually, uh,",,,,1
107,A,I know it's this way in Florida.,,,,1
108,A,They have a waiting period where you buy one,,,,1
109,A,and that's a week,,,,1
110,B,Uh-huh.,,,,1
111,A,and then they check you out and make sure you don't have a record you know and things like that.,,,,1
