,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Are you ready?,major topic start,,about chosing a good restaurant ,0
1,B,Uh-huh.,,,,0
2,A,She didn't announce that to you?,,,,0
3,B,"Oh, I didn't, I didn't quite hear all of it.",,,,0
4,A,"Oh, I see.",,,,0
5,A,That's fine.,,,,0
6,A,"Um, I think, uh, that's pleasurable for all of us, if we choose the right restaurant",,,,0
7,B,Right,,,,0
8,A,"So, what are your thoughts on dining out?",,,,0
9,B,"Well, I, I really choose restaurants more for the quality of food than anything else.",,,,0
10,A,Not for the price?,,,,0
11,B,"Well, a little bit for the price,",,,,0
12,A,Okay.,,,,0
13,B,"but, uh, I think that as far as quality of food goes the some of the most expensive places I've been had the the, really the, the worst quality of food.",,,,0
14,A,Uh-huh.,,,,0
15,A,The,,,,0
16,A,Really?,,,,0
17,A,Okay.,,,,0
18,B,Really.,,,,0
19,B,"Um, a lot of places that even don't look, don't look like much.",,,,0
20,A,Uh-huh.,,,,0
21,B,"Some of the, some of the best food I have ever had was out of a, outside or inside of a place that we drove up",,,,0
22,B,"and I was like, I'm not eating in there",,,,0
23,B,Are you nuts?,,,,0
24,B,"And, uh, we went in",,,,0
25,B,and it was the it was the most wonderful food.,,,,0
26,A,"My word,",,,,0
27,A,"it's like mama in the back kitchen, huh?",,,,0
28,B,Yeah.,,,,0
29,A,Oh.,,,,0
30,B,I'm serious.,,,,0
31,A,Yeah.,,,,0
32,B,"Um, a lot of, uh, one place that we went just recently uh, was to Atchafalaya.",minor topic start,,about a food at Kalachandji's restaurant,1
33,A,Uh-huh.,,,,1
34,B,"No,",,,,1
35,B,that's not right.,,,,1
36,B,That's not right.,,,,1
37,B,That's not right.,,,,1
38,A,Okay.,,,,1
39,B,someone in the What's the name of that restaurant?,,,,1
40,B,in the background Where at? .,,,,1
41,B,someone in the background The Hari Krishna.,,,,1
42,B,in the background relies Oh. Kalachandji's .,,,,1
43,B,Kalachandji's.,,,,1
44,B,"It's all vegetarian,",,,,1
45,B,"and it, it was just fabulous.",,,,1
46,B,"I mean, my husband was aghast because I ate turnip greens and liked it.",,,,1
47,A,Wow.,minor topic end,,,1
48,A,"And where was that at, near your,",off topic start,,about how to contact Kalachandji's restaurant,2
49,B,"Um, Kalachandji's.",,,,2
50,B,"It's, uh, it's a Hari Krishna run restaurant.",,,,2
51,A,"Where,",,,,2
52,A,is it in Dallas?,,,,2
53,B,Yes.,,,,2
54,A,Is it in the phone book?,,,,2
55,B,"Uh, I think so.",,,,2
56,B,It should be.,,,,2
57,A,Do you know how to spell it?,,,,2
58,B,"Uh, it starts with a K.",,,,2
59,A,Okay.,,,,2
60,B,"So K A L A, I think, C H A N D.",,,,2
61,A,"Kalli , K A L L I?",,,,2
62,A,Okay.,,,,2
63,B,"That should get you close enough to, to be able to find it.",,,,2
64,B,"I think it's, uh, probably listed in the restaurants, you know.",,,,2
65,A,"Uh-huh,",,,,2
66,A,"section,",,,,2
67,A,"yes,",,,,2
68,A,uh-huh.,,,,2
69,B,"But it's, uh, it's just fabulous food.",off topic end,,,2
70,A,What about fast foods?,,,,0
71,A,"Do you have a preference if you were going to, eat a fast food?",,,,0
72,B,"Well, we like Arby's. As far as, fast food goes.",minor topic start,,about Arby's restaurant,1
73,A,"You do, like Arby's?",,,,1
74,A,See I don't like Arby's.,,,,1
75,B,"Oh, really?",,,,1
76,B,Why?,,,,1
77,A,"No,",,,,1
78,A,because they use everything they can and make this into pressed whatever.,,,,1
79,A,"They use the, they use the insides of the animals, heart and liver",,,,1
80,A,"and they, they form it,",,,,1
81,A,"and they make it look like roast beef,",,,,1
82,A,"and I said, no,",,,,1
83,A,thank you.,,,,1
84,B,"Oh, no,",,,,1
85,B,"no,",,,,1
86,B,no.,,,,1
87,B,Someone has been lying to you.,,,,1
88,B,What they use is roast beef.,,,,1
89,A,"Well, that's not what I heard, from one of, somebody that was supposed to know what they were talking about.",,,,1
90,B,"That's what,",,,,1
91,B,"Oh, my goodness.",,,,1
92,A,Uh-huh.,,,,1
93,B,I'm surprised.,,,,1
94,B,My dad worked for Arby's for several years.,,,,1
95,A,Really?,,,,1
96,B,Yeah.,,,,1
97,A,Unless somebody is trying to blackball them.,,,,1
98,B,"Well, that's happened before.",,,,1
99,A,Uh-huh.,,,,1
100,B,"But we like good uh, we're, we like Mexican food.",,,,1
101,A,Okay.,,,,1
102,B,And stuff like that.,,,,1
103,B,"And so, um,",minor topic end,,,1
104,A,"How about the health food, uh, restaurants? Well, like this one",,,,0
105,A,"but it's probably not advertised as such, is it?",,,,0
106,A,"Or,",,,,0
107,B,A health food?,,,,0
108,A,Uh-huh.,,,,0
109,A,"Health food, uh, restaurants that,",,,,0
110,B,"Like, like,",,,,0
111,B,name one,,,,0
112,A,"Well well, like, um, well, I can't really think of any off the top of my head right now because there's so few and far between.",,,,0
113,B,I'm not sure what you're talking about.,,,,0
114,A,"But they ought, there are restaurants that cater to the people that are very health conscious. You know, as far as their cholesterol levels and their, their fat content and, you know, the amount of calcium and so forth that are in each product",,,,0
115,A,and they list them.,,,,0
116,A,Now there's one restaurant that does that,minor topic start,,about Rodolfo's restaurant,1
117,A,and it's called Rodolfo's,,,,1
118,A,over on Preston Road and Royal Lane I believe.,,,,1
119,B,Huh.,,,,1
120,A,And they have very good food over there.,,,,1
121,B,I don't guess I've ever been to anything like that,,,,1
122,B,"so, I really don't have anything to compare it to.",,,,1
123,A,"Uh-huh,",,,,1
124,A,uh-huh.,,,,1
125,A,"They do list, um, you know, list the fat,",,,,1
126,B,"It would be good I think,",,,,1
127,A,"Uh-huh,",,,,1
128,A,uh-huh.,,,,1
129,B,"uh, I don't know how expensive they are.",,,,1
130,B,"It sounds like that it would probably,",,,,1
131,A,"Well, it was pretty reasonable.",,,,1
132,A,"I, it was around ten dollars for lunch. Okay,",,,,1
133,A,which is kind of high for lunch I guess.,,,,1
134,B,For one person?,,,,1
135,A,Yes.,,,,1
136,B,Oh,,,,1
137,A,"Yes,",,,,1
138,A,uh-huh.,,,,1
