,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,B,Lucille Hughes.,opening,,,0
1,A,"Okay,",,,,0
2,A,"Lucille, I'm on, on .",,,,0
3,B,"All right,",,,,0
4,B,"and what,",,,,0
5,A,"And our  okay, our topic was,",,,,0
6,A,did you hear our topic?,,,,0
7,B,Yes.,,,,0
8,A,"All right,",,,,0
9,A,basketball.,opening,,,0
10,B,Uh-huh.,,,,0
11,A,I guess I'm probably a lot like you.,,,,0
12,A,I'm a Dallas Maverick fan.,major topic start,,Talking about a basketball team named Dallas Mavericks,0
13,B,"Well, I certainly am too.",,,,0
14,B,Now tell me what you expect from the Mavericks this year.,,,,0
15,A,"Well, unfortunately, I don't expect a great deal out of them.",,,,0
16,A,"They just have too many problems, too many ailments, too many hurt bones, and maybe too much age at this point.",,,,0
17,A,"You know, when Roy Tarpley just now he messed up on them, it just hurt them so bad.",,,,0
18,A,"I feel like everyone else,",,,,0
19,B,Um.,,,,0
20,A,I feel sorry for Donald Carter and the members of the team and the management team and everyone else.,,,,0
21,A,"It just seems like they were just getting themselves in a position where they could possibly be a final, a final team playing for all of it.",,,,0
22,B,"Yes, sir.",,,,0
23,A,"National championship or the world championship, and something like this happens.",,,,0
24,B,Oh.,,,,0
25,B,"Well, do you think it's time that we go for new, uh, coaches?",minor topic start,,Talking about whether or not to get new coaches,1
26,B,Is that part of our problem?,,, ,1
27,A,"Yeah,",,,,1
28,A,"I think at this time, we're just in a, a rebuilding type of phase, you know.",,,,1
29,A,"I think that probably be evident with the more and more, the more and more young guys they draft.",,,,1
30,A,"But,",,,,1
31,B,"Well, it just, it's so discouraging that they can't really,",,,,1
32,B,"I mean, they're entitled to more than they've been able to do so far.",,,,1
33,B,"I, I'm awfully sorry that the Mavericks can't come on and, and do.",minor topic end,,,1
34,B,"Roy, who's your next best team,",off topic start,,Talking about personal interests,2
35,B,or who do you like after the Mavericks?,,,,2
36,A,"Oh, gosh,",,,,2
37,A,"I'm so much a Maverick, Maverick fan I don't know.",,,,2
38,A,Probably the Boston Celtics.,,,,2
39,A,I've just always like the Boston Celtics.,,,,2
40,A,"They have a, they have a similar situation in that a lot of old guys on the team,",,,,2
41,A,"and, but they're still playing good ball.",,,,2
42,B,Well.,,,,2
43,A,"But I'm, I've always been a Boston Celtic fan, too,",,,,2
44,A,"but, you know, I've lived in Texas since seventy-four,",off topic end,,,2
45,A,"so being a transplanted Texan in, in the Dallas area, I have to stick with those Dallas Mavericks.",,,,0
46,B,"We certainly need to support them,",,,,0
47,B,do we not.,,,,0
48,A,"Yes,",,,,0
49,A,we do. You know.,,,,0
50,B,Do you go to the game?,off topic start,,Talking about going to watch games or not,2
51,A,"Yes,",,,,2
52,A,I go to a few games.,,,,2
53,A,I haven't been to many.,,,,2
54,A,I'm not a season ticket holder or anything.,,,,2
55,A,"I was a season ticket holder of the Cowboys for years,",,,,2
56,A,"and when my kids got to a certain age and went off to school and college and doing their own thing, sort of gets boring going by yourself",,,,2
57,B,"Yes,",,,,2
58,B,it does,,,,2
59,B,I'm sure it would in such a monstrous place down there.,,,,2
60,A,"Oh, you bet.",,,,2
61,B,"But, um, maybe next, maybe they can do some.",,,,2
62,B,"I don't know,",off topic end,,,2
63,B,who do they need to trade?,minor topic start,,Talking about trading some players to get new players to build their team,1
64,A,"Well, I don't know.",,,,1
65,A,"It seems like Rolando Blackman and, and Harper sort of carry the team,",,,,1
66,A,"they just,",,,,1
67,A,"I don't know,",,,,1
68,A,"I'm afraid to say, that's probably who they need to trade to get someone in there good,",,,,1
