,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,So the general topic is hobbies.,major topic start,,Starts directly with the major topic of hobbies,0
1,B,Yes.,,,,0
2,A,Let's hear about your hobbies.,,,,0
3,B,"Well, let's see,",,,,0
4,B,what kind of hobbies do I have?,,,,0
5,B,"I guess, uh, I, it's more not so much a hobby but things I enjoy doing.",,,,0
6,B,"I enjoy playing basketball and, and basically all kinds of sports.",,,,0
7,B,"And, uh,",,,,0
8,A,Any handicrafts?,,,,0
9,B,Excuse me.,,,,0
10,A,Any handicrafts?,,,,0
11,B,"No,",,,,0
12,B,"not, not really, um,",,,,0
13,B,"no,",,,,0
14,B,I'm really not too creative,,,,0
15,B,"well, I, uh, you know, around with my hands and things like that",,,,0
16,B,I leave that more up to my Mom,,,,0
17,A,"So, um, I think I'm in handicraft.",,,,0
18,B,"Oh, yeah.",major topic end,,,0
19,A,I think it will become resume writing.,major topic start,,Shifts to talking about each other's employment never coming back to the initial major topic of hobby,0
20,B,"Oh, well, let's hope that you, you aren't employed by that craft for too long.",,,,0
21,A,"Uh, yeah,",,,,0
22,A,"I, I hate to think about it",,,,0
23,A,"and, and I'm getting rather good at reading want ads.",,,,0
24,B,Uh-huh.,,,,0
25,A,"Yeah,",,,,0
26,A,"it, it,",,,,0
27,B,"what kind of time frame is it, uh, looking for the, uh, different shifts up there?",,,,0
28,A,I,,,,0
29,A,who knows.,,,,0
30,B,"Is it, uh,",,,,0
31,B,"basically, I had read that they're just looking at relocating them all to McKinney is it, Texas,",minor topic start,,Talks about the companies which are increasing job opportunities,1
32,A,"No,",,,,1
33,A,"all means about fifteen to twenty percent,  of, of,  oh,",,,,1
34,B,"Oh, wow.",,,,1
35,A,I'm sure the number's somewhere classified,,,,1
36,A,"but some of the internal news and the news services,",,,,1
37,A,"so, it's approximately six fifty,",,,,1
38,B,Uh-huh.,,,,1
39,A,"so  ten percent of six fifty, is sixty-five",,,,1
40,A,and twenty percent would be one thirty.,,,,1
41,B,"Wow,",,,,1
42,B,how about that.,,,,1
43,B,"Yeah,",,,,1
44,B,that's what it did report was a hundred and thirty relocating down to McKinney.,,,,1
45,A,"Yeah,",,,,1
46,A,that's possible.,,,,1
47,B,How about that.,,,,1
48,B,"Well, that's, uh, that's unfortunate",,,,1
49,B,"is there many other,",,,,1
50,B,are you in the defense?,,,,1
51,A,"Oh, yes, .",,,,1
52,B,"Is it, uh, many other corporations in the area?",,,,1
53,A,"Uh, I saw Seven Eleven that was hiring.",,,,1
54,B,"Well, I'm sure with the new, uh, contract awarding",,,,1
55,B,"I, I think it went to Lockheed, didn't it?",,,,1
56,A,Yes.,,,,1
57,B,"That, uh, I hear they're hiring all over the place for that.",,,,1
58,A,"Yeah, uh,",,,,1
59,A,"no,",,,,1
60,A,Apple's coming to town,,,,1
61,A,"and,  and that  has some opportunities",,,,1
62,B,"Oh, really?",,,,1
63,A,"and, uh, and,",,,,1
64,B,Now is that ad good just to Colorado or to Colorado Springs?,,,,1
65,A,"Colorado Springs specifically,",,,,1
66,A,yes.,,,,1
67,B,How about that.,,,,1
68,A,"And, uh, and, uh, M C I coming if, if, telemarketing is your bag.",,,,1
69,B,Uh-huh.,,,,1
70,A,Personally I'd rather die a slow painful death,minor topic end,,,1
71,A,"but,",,,,0
72,B,"Well, you in the, uh, computer operations or in the actual, uh, manufacturing?",,,,0
73,A,"Uh, I'm a defense worker.",,,,0
74,A,"I'm, government tool control specialist.",,,,0
75,B,"Right,",,,,0
76,B,"yeah,",,,,0
77,B,that's why I was in the Deseg down here in Plano also.,,,,0
78,A,Are you still employed?,,,,0
79,B,"Am I still employed by T I,",,,,0
80,B,"no,",,,,0
81,B,"I took a leave of, of T I back in November.",,,,0
82,A,Oh.,,,,0
83,B,"Actually, December was my first month away from them.",,,,0
84,A,Exempt or ?,,,,0
85,B,Exempt.,,,,0
86,A,"Oh, yes.",,,,0
87,B,"It, uh, unfortunately I guess for myself it wasn't, uh, it was purely by my own choice.",,,,0
88,B,"It wasn't, uh, there was no incentive for myself to leave,",,,,0
89,B,but it was just an opportunity arose,,,,0
90,B,and decided to take it.,,,,0
91,A,"Oh, so, you didn't even get the severance package.",,,,0
92,B,No.,,,,0
93,B,"I should have taken the, the, the, you know, uh, option when that was there,",,,,0
94,B,"but it was just, I missed it by a couple months.",,,,0
95,B,"But, you know, what can one do.",,,,0
96,B,I'm just happy still to have a job.,,,,0
97,A,"So, are you happy with what you are doing now?",,,,0
98,B,"Yeah,",,,,0
99,B,"I am kind of happy with it,",,,,0
100,B,"it's getting better all the time,",,,,0
101,B,"I knew it would be different from the very beginning,",,,,0
102,B,"but, you know, as you get to know more of the people that work there and more of what's going on with the system,",,,,0
103,B,so I was in the computer operations,,,,0
104,B,"it's, uh, you know, it all starts to become similar",,,,0
105,B,"there's, you know, there's benefits",,,,0
106,B,"and there's things that weren't as good,",,,,0
107,A,Yeah.,,,,0
108,B,"but  as an overall package, I'd say I'm pretty happy so far with the way it's turned out.",,,,0
109,A,"Good,",,,,0
110,A,good.,,,,0
111,A,"Well, it hasn't been a long time T I",,,,0
112,A,"or I,  I'm  significantly shaken by the situation,  but  not devastated.",,,,0
113,B,Uh-huh.,,,,0
114,B,Right.,,,,0
115,B,Uh-huh.,,,,0
116,B,"Well, the one thing I guess at least in your favor is the, the fact that, that is more in the support of the manufacturing",,,,0
117,B,and there's lots and lots of companies that have maybe not in the the defense area but manufacturing in general.,,,,0
118,A,"To tell you the truth, I'm, I'm, I'm not really worried.",off topic start,,Talks about the emotions and future plans,2
119,B,Uh-huh.,,,,2
120,B,That's great.,,,,2
121,B,That's good.,,,,2
122,A,"And, and I seem rather happy about it most of the time,  just,  just to know, what's, possibilities are,  you know,  what might happen.",,,,2
123,B,Uh-huh.,,,,2
124,B,"Sure,",,,,2
125,B,yeah.,,,,2
126,B,Sometimes it's good just to have everything out on the table.,,,,2
127,A,"But still in all,  it feels funny.",,,,2
128,B,It may be a blessing in disguise.,,,,2
129,B,"I know a number of people who are, uh, surplused",,,,2
130,B,"and they're just,",,,,2
131,B,"actually, what the positions that they found outside of the company were much, much better than the ones that they currently had inside.",,,,2
132,A,"So, despite the fact that I should be tying flies or fly fishing or, or going for walks in the mountains,  I  can't seem to get into it right now.",,,,2
133,B,Exactly.,,,,2
134,B,"Uh-huh,",,,,2
135,B,"well, I'm sure it's just with the, the, the, the way that things are so topsy-turvy right now as soon as you decide on a pass ,",,,,2
136,A,"Uh, situational.",,,,2
137,A,"I've, I doubt I'll be here in six months.",,,,2
138,B,Uh-huh.,,,,2
139,B,"Well, would you like to be there?",,,,2
140,A,"I,",,,,2
141,A,"all things being equal, yes.",,,,2
142,B,Uh-huh.,,,,2
143,A,"But, or, or even somewhere better,",,,,2
144,B,Sure.,,,,2
145,A,"but,  God this is much better than west Texas.",,,,2
146,B,Uh-huh,,,,2
147,B,"Well, just take the day,",,,,2
148,A,"But then they, they tell me Hell is much better than west Texas.",,,,2
149,B,"Well, actually, uh, the, the Plano, Dallas, Houston, you know, Austin that whole area is, is actually quite, quite nice.",,,,2
150,A,"I, my little brother lives in Austin right now.",,,,2
151,B,"Oh, that's a beautiful place.",,,,2
152,A,Goes to U T.,,,,2
153,B,Uh-huh.,,,,2
154,B,That's just fantastic down there.,,,,2
155,B,"Take it more as a,",,,,2
156,B,"this is your opportunity to do whatever you want,",,,,2
157,B,"pick out where you want to live,",,,,2
158,B,"and then once you pick that spot out, pick out what you want to do.",,,,2
159,A,I see that's the problem.,,,,2
