,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Well, we, uh,",,,,0
1,A,"taxes,",major topic start,,talking about taxation on various commodities and services and how citizens reap benefits off of it,0
2,A,everyone thinks taxes are too high I'm sure.,,,,0
3,A,"But, uh, I think we do get quite a good value for the tax dollars we spend in most cases.",,,,0
4,A,What do you think?,,,,0
5,B,"Uh, yeah,",,,,0
6,B,"I, I think so.",,,,0
7,B,"I, I'm, uh, I think I'm, I think I'm, uh, a little out of the ordinary in that, that I, I, uh, I think I'm more worried about the deficit, the national deficit than, than, uh, a lot of other people are and think that we need to, we need to either raise our taxes or, or cutback on something",minor topic start,,talking about the national financial deficit and how taxing income in their home state of Texas might affect it,1
8,B,"and I don't know what to cutback on to,  to get, to get that,  to get that settled.",,,,1
9,A,"At this stage it's  hard, to tell.",,,,1
10,B,"And, and, uh, and, uh, I know I'm a real, a real, uh, out of it in terms of taxes",,,,1
11,B,"so I'm I'm, uh, think that the, we really ought to seriously consider what an income tax might do that, uh, for Texas",minor topic end,,,1
12,B,"and, and,",,,,0
13,A,"Well, at this stage I think we've taxed property almost to the limit because,  like the, the property  taxes on the homes have reached the point that it's precluding people from being able to own a home because of the cost of the taxes on them.",minor topic start,,talking about property tax,1
14,B,Yeah.,,,,1
15,B,I think so.,,,,1
16,B,Yeah.,,,,1
17,A,I know,,,,1
18,A,I live in Richardson,,,,1
19,B,Yeah.,,,,1
20,A,and it's up over two thousand dollars a year for taxes on my house.,minor topic end,,,1
21,B,"Yeah,",,,,0
22,B,yeah.,,,,0
23,A,"But now we're getting public services, the schools, the hospitals",minor topic start,,talking about the quality of public services they're receiving due to high taxation,1
24,A,"and if it weren't for the taxes we're putting in there, uh, look what the schools could cost you.",,,,1
25,B,"Yeah,",,,,1
26,B,yeah.,,,,1
27,B,"Yeah,",,,,1
28,B,"now I'm, uh, uh, oh, I,",,,,1
29,B,"we'd, when we moved to Richardson, one of the reasons we chose it was for the, uh, for the schools. And, and realizing that that, that, that quality of schools might well have higher taxes than other places but that we were willing to, uh, to go for that,  because  we supported the,",,,,1
30,A,Yeah.,,,,1
31,A,"Then again the, the community college system here is excellent for the dollar spent,",,,,1
32,A,"and the public,  colleges  also, the tuition has got to be among the lowest in the country.",minor topic end,,,1
33,B,Yeah.,,,,0
34,A,"Uh,",,,,0
35,B,Yeah.,,,,0
36,A,"one  of the,",,,,0
37,A,"uh, I believe, I don't know which one it is, uh, down there whether it's Hobby or, uh, the other ex-governor down there that are proposing doubling the tuition.",minor topic start,,talking about the public school tuition which is less than half the tuition of a public school in the country,1
38,A,"Well if you double the tuition, it would still be considerably less than the public school tuition in most other states.",,,,1
