,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Well, let me just start by asking what you think of this Middle East affair we've got going on?",major topic start,,talking about how the United States should have a domestic agenda over being a costlier international aid,0
1,B,I think that it's time that we concentrate more on what's going on within our own borders than what's going on in the Middle East.,minor topic start,,talking about the United States' role in the Midlle East Conflict,1
2,A,I have to agree with you there.,,,,1
3,A,"I, uh, I think that, uh, for once, we should, we shouldn't even be at, at these Mid East talks because, with the exception of our hostages, we really don't have too much of a, uh, real we shouldn't have too much of a real interest in deciding whose land it is.",,,,1
4,A,Just let these people fight it out,minor topic end,,,1
5,B,I agree.,,,,0
6,A,"you know, we've got so many domestic problems,",,,,0
7,A,"and, and what does it cost these people over there, you know.",,,,0
8,B,Absolutely.,,,,0
9,A,"Oh, so how about the Soviet Union.",minor topic start,,talking about the United States' role in the dissolution of the Soviet Union,1
10,A,What do you think's going to happen there.,,,,1
11,A,The break ups?,,,,1
12,B,I think that's great.,,,,1
13,B,"Um, I'm glad to see that,",,,,1
14,B,"but I, again, I don't want to see us pour a whole lot of economic aid into the Soviet Union without a, uh, well, uh, a whole lot under any circumstances because I, I don't know,",,,,1
15,B,"I'm, I'm a believer in the old adage that if somebody earns something it's worth more to them than if you give it to them,",,,,1
16,B,"and so, I'm, I'm not much in favor of it,",,,,1
17,B,but I'm glad to see us advising them,,,,1
18,A,Uh-huh.,,,,1
19,B,that doesn't seem to cost a whole lot of money.,minor topic end,,,1
20,A,"That's right,",,,,0
21,A,that's right.,,,,0
22,B,"But I'm ready to have a President elected that at least has some sort of a domestic agenda,",minor topic start,,talking about Presidents who've had a strong neglect towards having a domestic policy,1
23,B,"even if it doesn't work, at least he is somebody who, who is working on that problem.",,,,1
24,B,"And I, I haven't seen that in the last eleven years,",,,,1
25,B,so they don't seem to have a clue.,,,,1
26,A,"Well, all I've seen.",,,,1
27,A,"Reagan obviously wasn't too concerned with the domestic side of, of, of his political affairs.",,,,1
28,A,"I, I think Bush's kind of followed suit.",minor topic end,,,1
29,A,"Um, international is important,",,,,0
30,A,"but, uh, we've got a budget deficit that just won't go away unless it gets seriously addressed.",minor topic start,,talking about how being an international financial aid isn't helping with resolving domestic issues for the United States,1
31,A,"Uh, you know, and then there's the homeless issue,",,,,1
32,A,"and there really is a lot we could be doing stateside without, uh, hurting our international aspects or straining any international relations I think,",,,,1
33,A,and we wouldn't have to spend the billions and billions of dollars each year that we're spending.,,,,1
34,B,"Oh, I agree.",,,,1
35,B,"I just, I think we got, once we started economic aid overseas we have really set ourselves up to be sort of the, the world bank, and as far as aid is concerned,",,,,1
36,A,Right.,,,,1
37,B,"and I think there's a limit,",,,,1
38,B,and we passed it a long time ago.,,,,1
39,A,I agree.,,,,1
40,A,We've been writing off way too many bad debts,,,,1
41,B,Yeah.,,,,1
42,B,"That's another thing I don't understand is, is, is things like selling technology and, uh, even military hardware to foreign governments and then forgiving their debt",,,,1
43,B,"to me that just doesn't make any sense,",,,,1
44,B,"as, as much in debt as we are",minor topic end,,,1
45,A,I know it.,,,,0
46,B,"I just, I don't know.",,,,0
47,B,"I think it's definitely time for a change,",,,,0
48,B,"but I don't see anybody,",,,,0
49,B,"I don't understand, too, why we have to have Democrats and Republicans,",minor topic start,,talking about how a two party system hinders representation of a wider spectrum of political agendas,1
50,B,"and it's either one way or the other,",,,,1
51,B,"this it seems to be we're turning into a black and white society,",,,,1
52,A,Right.,,,,1
53,B,you either do it this way,,,,1
54,B,"or you do it that way,",,,,1
55,B,and there's no in between,,,,1
56,A,"That's right,",,,,1
57,A,"you're either liberal or you're conservative,",,,,1
58,B,"and that, uh, it obviously isn't working.",,,,1
59,A,"Well, I think, uh, it wouldn't hurt,",,,,1
60,A,"and I know the Independent Party's been trying for years to get a, a, a real force in, in the, uh, in Congress,",,,,1
61,A,"but, uh, you're right,",,,,1
62,A,"there's just too many issues that come up that, uh, our senators and our congressmen vote on simply because it's a Democratic issue or it's a Republican issue",,,,1
63,B,"Oh, yeah.",,,,1
64,A,"and if they would vote with their conscience and with what their constituents feel, I think, uh, we might have a, a lot better, a lot more efficient running government and a lot better laws passed.",minor topic end,,,1
65,B,"Oh, I agree with you.",,,,0
66,B,"Well, of course, you know, we have the national embarrassment in our state, Jessie Helms,",off topic start,,"talking about Jessie Helms, a widely criticized politician",2
67,B,"and, uh, as soon as, as we can get,",,,,2
68,B,"of course it seems to me that every time he opens his mouth, he, he just lines up people against him",,,,2
69,B,"so, it's not too, it's not too often that you see him swaying too many opinions.",,,,2
70,B,"He's, uh, usually on the ninety-eight to two side,",,,,2
71,B,"he's the one of the two that votes,",,,,2
72,A,"He's one of the two, huh.",,,,2
73,B,"Yeah,",,,,2
74,B,"he's, very ineffective, I think.",,,,2
75,A,"Well, let's see,",,,,2
76,A,"Senators are in for six years, right",,,,2
77,B,Right.,,,,2
78,A,"and, uh, when did you guys vote him into office?",,,,2
79,B,"Oh, unfortunately nineteen ninety.",,,,2
80,A,"Oh, you're stuck.",,,,2
81,B,"Yeah,",,,,2
82,B,"we're stuck with him for a little while longer,",,,,2
83,B,"but, uh, unfortunately for him, but maybe fortunately for us, his health is not great,",off topic end,major topic end,,2
84,B,"so, I hate,",,,,0
