,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Uh, Greg,",major topic start,,Discussing whether or not death penalty should be in practice,0
1,A,"uh, I, I'm not familiar.",,,,0
2,A,"I think, uh, you guys in Indiana, don't you have the, the death penalty?",off topic start,,Inquiring if Indiana has death penalty,2
3,B,"Yeah,",,,,2
4,B,we do have the death penalty here.,,,,2
5,B,"It's not exercised very often,",,,,2
6,B,but we do have it.,,,,2
7,A,Uh-huh.,,,,2
8,B,"I believe it,",off topic end,,,2
9,A,Uh-huh.,,,,0
10,B,"I know there's a lot of, lot of problems with it,",,,,0
11,B,"but, uh seems to me that some crimes are just so heinous that, that the person just, I feel, doesn't deserve to live, doesn't deserve for the tax payers to spend however many thousands of dollars it costs a year to keep them in, in prison for life.",,,,0
12,A,Uh-huh.,,,,0
13,A,Right.,,,,0
14,B,"But, I know there's a lot of problems with that, like, well, they say, okay, if you declare someone, put them on death row and execute them, well, then ten years later you find out that he really didn't do it, then that life was wasted,",,,,0
15,B,"but just seems like in some cases that it's a, it's a good policy.",,,,0
16,A,Uh-huh.,,,,0
17,A,Uh-huh.,,,,0
18,A,"Uh, I, I tend to agree with you,",,,,0
19,A,"uh, I've changed my views over, uh, even within the last few years, uh, to be honest.",minor topic start,,How A's views about capital punishment changed,1
20,A,"Uh, uh, when I was in when I was an undergraduate, I was a member of Amnesty International",,,,1
21,B,Uh-huh.,,,,1
22,A,"and, uh, and, of course, at that time, you know, I thought, uh, uh, it was stupid to kill anybody for, uh,",,,,1
23,A,"you know, that",,,,1
24,A,the eye for an eye was a stupid argument.,,,,1
25,B,Right.,,,,1
26,A,"But the, uh, the more,",,,,1
27,A,"now I live in downtown Dallas,",,,,1
28,A,"and I, uh, you know, I've seen, uh, I've seen cases on, in the news and all where, where, you know, uh, a, a person who had murdered a person is back on the street and then commits another murder.",minor topic end,,,1
29,B,Right.,,,,0
30,B,Right.,,,,0
31,A,"I think that maybe, uh, a good solution to capital punishment might be, uh, reserve it solely for, uh, repeat offenders of a crime like, uh, murder.",minor topic start,,Possible failsafe way to implement capital punishment,1
32,B,"That's a, that's a thought that I had never really had on that which seems pretty sensible.",,,,1
33,A,"Yeah,",,,,1
34,A,it seems sensible and failsafe.,,,,1
35,A,"I, I, uh, I don't,",,,,1
36,A,"you know, not completely failsafe,",,,,1
37,A,"but if a man's convicted of two murders, uh, you know, there's a pretty good chance that something's wrong.",,,,1
38,B,Right.,minor topic end,,,1
39,A,"Uh I also, uh,",,,,0
40,A,"to tell you how liberal I have turned, uh, toward this, or, or, or whatever side that is I've kind of chosen, uh, I believe it that, uh, big time drug importers, like, uh, say Noriega for example that these people need to be, uh, eliminated, uh from society,",minor topic start,,Why even big time drug importers deserve death penalty,1
41,B,Right.,,,,1
42,B,Yeah.,,,,1
43,B,Uh-huh.,,,,1
44,B,Uh-huh.,,,,1
45,A,"and I think, I think the death penalty is the best choice for those people, because, uh, really any kind of, uh, uh, jail sentence for them is just another chance to, uh, create another power structure",,,,1
46,B,"Yeah,",,,,1
47,B,"you're, you're right there.",,,,1
48,B,"Uh, I",,,,1
