,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Okay Brian.,opening ,,,0
1,B,"Hi,",,,,0
2,B,how you doing Kevin?,,,,0
3,A,"Fine, thanks",,,,0
4,B,"Good,",,,,0
5,B,"good,",,,,0
6,B,glad to hear that.,,,,0
7,B,"I understand,",opening ,,,0
8,A,Are you a total banner?,major topic start,,discussing regarding the guns and the credibility of  loose arms laws i.e regarding the banning of guns. ,0
9,B,Total banner?,,,,0
10,A,Yeah.,,,,0
11,B,"No,",,,,0
12,B,"I, I believe that, uh, the American public and I, as an individual and private citizen have a right to, to bear arms and to have a gun as long as I, uh, am responsible with it and protect the safety and welfare of my kids",,,,0
13,B,"and, and so that they're not playing with it and so that they can't hurt themselves or anyone else playing with it.",,,,0
14,B,"I think that education with a gun is, is critical and important.",,,,0
15,B,"Uh, however, I do believe that, uh, guns ought to be maintained and, and controlled that you can't go out and just buy one off the corner and do whatever you want with it because people that are angry or have concerns or want to seek vengeance right away have easy access to guns",,,,0
16,B,"and in the heat of the moment, they can go and do some damage that can hurt themselves and other people,",,,,0
17,B,"so on a scale of one to ten, I, I think I would rate myself as a, in the six or seven or eight.",,,,0
18,A,Okay.,,,,0
19,B,"But, I think that there ought to be some control,",,,,0
20,B,"but I still think that, uh, individuals have a right.",,,,0
21,B,How do you feel about it?,,,,0
22,A,"Well, so, let me make sure,",,,,0
23,A,"so you think that, uh, maybe a five day waiting period for handguns or that stuff would be legitimate?",minor topic start,,discussing whether the  gun delivery should be delayed .,1
24,B,"Well, I don't know if a five day waiting period would be legitimate.",,,,1
25,B,"Uh, that, uh, that might cool down some tempers.",,,,1
26,B,"I think a, a one day would be sufficient.",,,,1
27,B,The reason I say that is there is an awful lot of people who go to gun shows,,,,1
28,B,"and if you see an awful lot of exhibits and things and if you would like to purchase a gun, if that five day waiting period were in effect, you wouldn't be able to purchase one at that gun show.",,,,1
29,A,"Uh, you just, you would be able to buy it,",,,,1
30,A,"but they'd just have to mail it to you, I suppose, huh.",minor topic end,,,1
31,B,"Well, I don't think you can mail thing, guns through the mail.",minor topic start,,talking whether it is allowed to send guns through mails.,1
32,B,I don't know.,,,,1
33,A,Oh.,,,,1
34,A,Okay.,,,,1
35,B,"I think that's a, against the law ever since Kennedy was assassinated",,,,1
36,A,"Oh, yeah?",minor topic end,,,1
37,B,"So, how do you feel about guns?",,,,0
38,A,"Let's see,",,,,0
39,A,I think that gun control has come up because there has been some crazies that killed people with guns,,,,0
40,A,and I think that's the problem that we need to address is why these people want to kill other people rather than the instrument they particularly used in the assault,,,,0
41,B,Uh-huh.,,,,0
42,A,"whether, you know,",,,,0
43,B,"Well, do you think that there will continue to always be crazies?",,,,0
44,A,Sure.,,,,0
45,B,"Then, uh, how do you propose that we prohibit those types of individuals from gaining access to guns?",,,,0
46,A,"Well, we have some laws on the books that, uh, don't allow convicted felons to purchase guns, if I understand correctly.",,,,0
47,A,"And, uh, I would agree,",,,,0
48,A,"a, a short waiting period would be appropriate to, uh, take care of the heat of the moment type things,",,,,0
49,A,"but uh, I think banning semiautomatic twenty-two rifles is a, a bit on the extreme side.",,,,0
50,B,Uh-huh.,,,,0
51,B,Uh-huh.,,,,0
52,A,And a total ban on guns would just leave guns in the hands of criminals who don't care what the rules are anyway.,,,,0
53,B,Okay.,,,,0
54,B,"Do you, uh, do you feel there is a need in the world today to have a, an automatic handgun?",,,,0
55,A,"The only purpose for handguns is to shoot people, in my opinion.",,,,0
56,A,"or you could do it just for fun, you know, kind of like a game,",,,,0
57,A,"but, uh,",,,,0
58,B,"Well, I think that the, the police, uh, or law enforcement have a need because of the tight quarters they might find themselves,",,,,0
59,B,"but, the public, I don't know.",,,,0
60,A,I think that I should have a right to own a handgun.,,,,0
61,B,Uh-huh.,,,,0
62,A,"Not a automatic, semiautomatic.",,,,0
63,B,"Yes,",,,,0
64,B,not an Uzi,,,,0
65,A,"No,",,,,0
66,A,no.,,,,0
67,A,"Uh, but I think a person needs a way of defending themselves.",,,,0
68,B,Uh-huh.,,,,0
69,A,"You saw Indiana Jones,",minor topic start,,talking about a man who got saved by a knife attack just because he had a gun. Thus works as an argument in favour for not banning guns.,1
70,A,the guy came after him with that big knife.,,,,1
71,B,Yes.,,,,1
72,A,"And just, he took care of it,",,,,1
73,A,just one shot.,,,,1
74,B,"Yes,",,,,1
75,B,"that's true,",,,,1
76,B,"and he, uh, saved himself in the, in the, in the process also.",,,,1
77,A,That's right.,minor topic end,,,1
78,A,So how is work going?,off topic start,,now talking about the general know hows of each other.,2
79,B,"Very fine,",,,,2
80,B,"very,",,,,2
81,A,"They don't let you take guns to work, do they?",,,adding to the humour .,2
82,B,"No,",,,,2
83,B,"they, That's, uh, that's prohibited where we work.",,,,2
84,B,"Although down here in Texas, uh you do have a right to, to wear and carry arms with you at all times.",minor topic start,,talking about the arms laws (or the allowance of guns)of different places like texas and utah.,1
85,A,Uh-huh.,,,,1
86,B,"That's still that's still, you can still do that down here.",,,,1
87,A,"Can they be, Is it concealed,",,,,1
88,A,"or does it have to,",,,,1
89,B,"Oh, you can't,",,,,1
90,B,"no,",,,,1
91,B,it should not be concealed.,,,,1
92,A,Has to be on the hip?,,,,1
93,B,It has to be on the hip,,,,1
94,B,"Has to be in sight so that, uh, you know, that you're not, uh, a menace or a problem to individuals.",,,,1
95,A,Can a,,,,1
96,B,How about where you live there in Utah?,minor topic end,major topic end,,1
