,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Okay,opening,,,0
1,B,"Okay, uh,",opening,,,0
2,B,"the question was about, uh, physical fitness and staying in shape and exercise.",,,,0
3,A,Uh-huh.,,,,0
4,B,"Well, uh, I, I don't do it as much as I should.",minor topic start,major topic start,person starts talking about exercising and frequency,1
5,B,I try to walk.,,,,1
6,A,Uh-huh.,,,,1
7,B,"And, uh, last year I would, I did it every day,",,,,1
8,B,"but I've kind of, in ninety-one I've kind of gone down hill.",,,,1
9,A,Uh-huh.,,,,1
10,B,"And so I'm not doing it as much as I need to,",,,,1
11,B,"but I, I can tell you when I do do it on a regular basis I feel so much better and so much healthier.",,,,1
12,A,I agree,,,,1
13,B,"But it's just to get motivated to do it,",,,,1
14,B,"and once I get started, and, and, I, I, I I do it every night.",,,,1
15,A,Uh-huh.,,,,1
16,B,"It's just to get, uh, motivated again,",,,,1
17,B,and what happened about couple of weeks ago I started again.,minor topic end,,,1
18,B,"And I was walking,",off topic start,,person starts talking about a personal event ,2
19,B,and it got kind of dark.,,,,2
20,A,Uh-huh.,,,,2
21,B,"And I was by myself,",,,,2
22,B,and there was this fellow in this truck that kept circling the block.,,,,2
23,A,Ooh.,,,,2
24,B,"And, so I, I kind of got frightened,",,,,2
25,B,and I kind of use that as an excuse.,,,,2
26,B,"All I have to do, is start earlier,",,,,2
27,B,but.,off topic end,,,2
28,A,Right.,,,,0
29,B,"I haven't walked since,",minor topic start,,persons views on excuses on fitness,1
30,B,so.,,,,1
31,A,It's always easy to find an excuse not to exercise.,,,,1
32,A,I know what you mean.,,,,1
33,B,"Yeah,",,,,1
34,B,it sure is.,,,,1
35,B,It sure is.,minor topic end,,,1
36,B,How about you?,,,,0
37,B,Do you exercise on a regular basis?,minor topic start,,person A's previous fitness regime,1
38,A,"Um, well, I try to.",,,,1
39,A,"Um, I started at the beginning of this year,",,,,1
40,A,"I decided all right, I'm going to start exercising again,",,,,1
41,A,"I'm going to be real good,",,,,1
42,A,"and I went through the T I fitness center and registered for the, uh, aerobics classes there.",,,,1
43,B,Uh-huh.,,,,1
44,A,And they run for two months at a time.,,,,1
45,A,"And you have to, you do have to pay to take them.",,,,1
46,A,"And I took, I signed up for one that was three nights a week, an hour and a half,",,,,1
47,A,so that was four and a half hours a week.,,,,1
48,B,Oh.,,,,1
49,A,"And it cost sixty dollars,",,,,1
50,A,"and I thought, okay, that's not cheap,",,,,1
51,A,that'll encourage me to always go since I spent that much money.,,,,1
52,B,Right.,,,,1
53,A,"And I had a friend of mine going,",,,,1
54,A,"so I was real good,",,,,1
55,A,I only missed it about three times.,,,,1
56,A,"And then, oh, March came around,",,,,1
57,A,"and I signed up again,",,,,1
58,A,"and I got, uh, caught up with a class I was taking at T I,",,,,1
59,A,and then I was having to work some real late hours to get caught with my work after I got out of class.,,,,1
60,B,Uh-huh.,,,,1
61,A,And then I went to Colorado Springs the next week to do some training at the T I up there.,,,,1
62,A,"And so that was two weeks I had missed,",,,,1
63,A,"and, boy, I tell you what, I've been terrible ever since then.",minor topic end,,,1
64,B,"Yeah,",,,,0
65,B,"it's once you get out of that habit you just don't, you don't get back into it.",,,,0
66,A,Uh-huh.,,,,0
67,B,"Because I teach school,",minor topic start,,person B now narrates previous personal regime for fitness,1
68,B,and last year a bunch of teachers had an aerobics class.,,,,1
69,B,"We went in together and hired a private instructor,",,,,1
70,B,and she came to our school twice a week.,,,,1
71,A,Uh-huh.,,,,1
72,B,"And, I, I was,",,,,1
73,B,"I would go faithfully,",,,,1
74,B,and then I missed once.,,,,1
75,B,"Then I went back again a couple times and missed another time, and then kept missing and never went back again.",,,,1
76,A,Uh-huh.,,,,1
77,B,"I think, if you,",,,,1
78,B,you just have to stick with it.,minor topic end,,,1
79,A,"Oh, yeah.",,,,0
80,A,"I think I've been two maybe three times the month of April,",minor topic start,,person A's recent fitness regime,1
81,A,and this session is about to run out.,,,,1
82,A,Now I signed up for a different one now that's only two nights a week because I am getting kind of into a real busy schedule as far as teaching a lot of training classes,,,,1
83,A,"and some of them require me to go out of town,",,,,1
84,B,Uh-huh.,,,,1
85,A,"and, and, uh, that just kind of throws my whole schedule off on doing that.",,,,1
86,B,Yeah.,,,,1
87,A,"lately, uh, there's been nights that I could have gone",minor topic end,,,1
88,A,"and I've found excuses, uh things like I had the flu last week,",off topic start,,persons flu infection,2
89,B,Yeah.,,,,2
90,A,but I'm fine this week.,off topic end,,,2
91,A,I could have gone Monday.,minor topic start,,again about person A's recent fitness regime,1
92,A,"I could have gone tonight,",,,,1
