,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,Well a lot of women are as knowledge about football as I am.,major topic start,,about their favorite teams and various other teams,0
1,A,"Can I guess your favorite team, if you had one, might be the Steelers.",,,,0
2,B,"Yes,",,,,0
3,B,uh-huh.,,,,0
4,A,"Well, I can understand that.",,,,0
5,A,"I, you know, I kind of like the Cowboys, too.",,,,0
6,B,Do you?,,,,0
7,A,They've had  some great games in the past.,,,,0
8,B,"Uh-huh,",,,,0
9,B,"I, I always enjoy watching the the, Dallas and Pittsburgh together. You know.",,,,0
10,A,"Uh-huh,",,,,0
11,A,me too.,,,,0
12,A,"It wasn't nearly as much fun when Bradshaw was playing for you guys, I'll tell you.",,,,0
13,A,"He lives in the Dallas area now, as a matter of fact.",off topic start,,where Bradshaw lives,2
14,B,Does he really?,,,,2
15,A,"Well, actually, it's probably closer to Fort Worth,",,,,2
16,A,"but it's, it's in the same area.",,,,2
17,A,"He bought, uh, bought a big horse farm out in a little town called Roanoke, Texas.",,,,2
18,B,Uh-huh.,,,,2
19,A,But he pops up on the Dallas scene quite often.,off topic end,,,2
20,A,"As a matter of fact, there was some talk about trying to get him involved with the team management in some sort of a coaching job.",minor topic start,,about Bradshaw from team Steelers entering the team as a coach,1
21,B,"Oh,",,,,1
22,B,I wonder if he'd ever do that.,,,,1
23,A,"I don't know,",,,,1
24,A,he'd be good at it.,,,,1
25,A,"He's such a motivator, he,  primarily,  you know, with the quarterbacks.",,,,1
26,B,Yes.,,,,1
27,B,Uh-huh.,,,,1
28,A,That  would be his specialty.,,,,1
29,A,"I wished, I wished they could work something,",,,,1
30,A,I really like him.,,,,1
31,A,I really do.,,,,1
32,B,Uh-huh.,minor topic end,,,1
33,B,Well what about the Houston Oilers.,,,,0
34,B,Do you like them?,,,,0
35,A,"Yeah,",,,,0
36,A,"okay,",,,,0
37,A,I'd love to see Dallas and Houston play in a Super Bowl.,,,,0
38,A,That would be really great.,,,,0
39,B,Uh-huh.,,,,0
40,A,"That may not ever happen,",,,,0
41,A,I don't know.,,,,0
42,A,"Uh, Houston  has had some wonderful talent, you know, down through the years",,,,0
43,A,and in the earlier years they really had some super teams.,,,,0
44,B,Uh-huh.,,,,0
45,B,"And Warren Moon,  is, is  proving himself quite well right now.",off  topic start,,about Warren Moon,2
46,A,That's right.,,,,2
47,A,"He certainly is,",,,,2
48,A,he's very good.,,,,2
49,B,Uh-huh.,,,,2
50,A,He's very good.,,,,2
51,B,"He's one of the few, uh, Black quarterbacks that there are.",,,,2
52,A,That's right.,off topic end,,,2
53,A,"Randall Cunningham was with Philadelphia, I guess last year,",minor topic start,,about Randall Cunningham from team Philadelphia,1
54,A,but he's no longer with the team.,,,,1
55,A,"So, you're right,",,,,1
56,A,"there are very few Black quarterbacks, or at least that are starting anyway.",,,,1
57,B,Uh-huh.,minor topic end,,,1
58,A,How do you think the Steelers are going to do this year.,,,,0
59,A,You have any idea.,,,,0
60,B,"I don't know,",,,,0
