,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Okay,",,,,0
1,A,what are your favorite things to watch?,major topic start,minor topic start,"Start talking about tv shows which is the major topic, persons favourite TV shows",0
2,B,"Oh, uh, let's see,",,,,0
3,B,"I, uh, I have enjoyed, uh, THIRTYSOMETHING in the past, uh, now that it has gone off",,,,0
4,A,Uh-huh.,,,,0
5,B,"Uh, some comedy shows, uh, I can not, can not think of, off hand,",,,,0
6,A,Yeah.,,,,0
7,B,"but,  what, what are your,",,,,0
8,B,"what is,",,,,0
9,A,"We do not watch a lot of T V,",,,,0
10,A,"we try to watch it on Thursday nights,",,,,0
11,A,"we usually watch L A LAW,",,,,0
12,A,I like that real well. And CHEERS,,,,0
13,B,Yeah.,,,,0
14,B,Yeah.,,,,0
15,A,we like to watch that.,,,,0
16,A,"Uh, we sort of got hooked on LA LAW.",,minor topic end,,0
17,A,"Uh, do you ever watch that?",,,,0
18,B,"Yeah,",,,,0
19,B,"uh, yeah,",,,,0
20,B,"yeah,",,,,0
21,B,"we, we we try to catch that most, most nights.",,,,0
22,A,Yeah,,,,0
23,A,"And I, I have watched THIRTYSOMETHING some in the last couple seasons.",,,,0
24,A,I was sort of sorry to see it go too.,,,,0
25,B,Yeah.,,,,0
26,B,"It, it was kind of interesting, uh, some people complained about, uh, uh, the kind of whining or whatever on it.",off topic start,,persons views upon the show THIRTYSOMETHING,2
27,B,"I, I really did not think it, it was,  that  way.",,,,2
28,A,Yeah.,,,,2
29,B,"I think it had some, some good, uh, good situations that it presented.",,,,2
30,A,"Yeah,",,,,2
31,A,"I thought a lot of the,",,,,2
32,A,"like the problems that Michael and Hope had in their marriage and stuff, I can relate to some of those things.",,,,2
33,B,Yeah.,,,,2
34,A,Just the dynamics of it and everything.,,,,2
35,B,"Well, I think, I think a lot of people, you know, kind of felt that way,",,,,2
36,B,"but they had a lot of, uh, uh, counseling groups that use some of the episodes as,  as examples  of things that were going on",off topic end,,,2
37,A,"Oh, really.",,,,0
38,B,"and, and uh, you know, that they called interaction between people and sort of to use as, uh, as a way of getting people to talk about their problems,",,,,0
39,A,Yeah.,,,,0
40,B,and  that sort of thing,,,,0
41,B,"Uh, we kind of,",,,,0
42,B,"uh, our T V viewing has, uh, slowed down a little bit since our our daughter came along,",minor topic start,,change in persons Tv consumption because of child,1
43,B,"so, uh,",,,,1
44,A,Uh-huh.,,,,1
45,B,"that,  that tends to, uh, put a cramp in your viewing, because by the time you get through getting her ready for bed and everything, uh, it's, uh, very little T V time left.",,,,1
46,A,"Yeah,",,,,1
47,A,you are too tired to do anything.,,,,1
48,B,Yeah.,,,,1
49,A,"Oh, it's better to spend time with your kids, I think though, than glued in front of the T V anyway.",,,,1
50,B,"Yeah,",,,,1
51,B,that's right.,,,,1
52,A,Probably more worthwhile.,minor topic end,,,1
53,A,"I just don't, I don't think there's as many good things to watch as there used to be, really.",minor topic start,,persons opinion on less worthwhile shows,1
54,B,"No,",,,,1
55,B,"I, I can not, uh, *typo? cannot?",,,,1
56,B,"I don't think there were, Uh,",,,,1
57,B,"I have not, I have not, uh, uh, there are not as many good shows that I, that I continuously like to watch as much as I used to",,,,1
58,B,"I, uh, you know,",,,,1
59,B,"I, uh, I used to could be able to name ten shows or so, you know, that I felt were worth my time to watch,",,,,1
60,B,"but, uh, I uh, you know very seldom like to watch you know those,",,,,1
61,B,there's a couple now that I tend to want to watch.,minor topic end,,,1
