,Person,Conversation,Custom Tag,Custom Tag 2,Topic Description,Class
0,A,"Okay,",Opening,,,0
1,A,you want to start?,,,,0
2,B,"Yeah,",,,,0
3,B,I might as well.,,,,0
4,B,"Uh, one of the things I'm very concerned about the air pollution, is the, uh, this, this, the ozone layer, uh, uh, issue.",Major Topic Start,,Talking about Ozone Layers,0
5,B,"Uh, I used to own a heating and air conditioning business and handled lots of different types of freons,",,,,0
6,B,"and that, uh, rather bothers me that, uh, I was in, in effect, uh, contributing to the delinquency of the, the environment, so to speak.",,,,0
7,A,Uh-huh.,,,,0
8,A,"Yeah,",,,,0
9,A,that's stuff we never even thought about three years ago.,,,,0
10,B,"Right,",,,,0
11,B,"right,",,,,0
12,B,"and one of the reasons they fixed up the freons eleven, twelve and thirteen, in, in, in that area was because they were inexpensive,",,,,0
13,B,"uh, they could be made, uh, you know, inexpensive and lots of it, uh,",,,,0
14,B,"and in that, and its properties were great, uh, with, uh, the machinery, didn't have to have lots of expensive machinery to, uh, get your heating and cooling cycles to work.",,,,0
15,A,Um.,,,,0
16,B,So.,,,,0
17,A,Have they stopped that practice now?,Minor Topic Start,,Talking about Ozone Layers,1
18,B,"Well, course there's a, a tremendous number of refrigerators and excuse me, refrigerators and freezers, both commercial and residential, uh, utilizing freon twelve,",,,,1
19,B,"and of course, the new cars, I guess starting with nineteen ninety-three will not have freon twelve in their systems.",,,,1
20,B,"But, uh, there's, you know, the ton of after market machines, and et cetera, et cetera.",,,,1
21,A,Yeah.,,,,1
22,B,"And that's got me very, you know, highly concerned that, uh, that's going to be quite a while before we can, uh, undo this.",,,,1
23,B,"Now, that could spawn several good industries and help, pull us out of this recession,",,,,1
24,B,"but you got to have people that can make, you know, earn a salary to pay for this conversion.",,,,1
25,B,"So, so I see us in a kind, somewhat of a catch twenty-two unless we, unless the banks or industry and or the government go together and, and come up with a way to, uh, have us as a part of the unemployed society be able to be gainfully employed again converting all this freon twelve stuff into the new nonpolluting, uh, compound.",Minor Topic End,,,1
26,A,"Oh, yeah.",,,,0
27,B,"Because as I say, there's a, there's a",,,,0
28,B,"well, how many, uh, uh, families own a refrigerator,",,,,0
29,B,"and then do, you know, that number, and then how many a, a freezer separate from and how many people, especially here in Texas, own cars and trucks with air conditioning.",,,,0
30,A,Uh-huh.,,,,0
31,A,Yeah,,,,0
32,A,yeah.,,,,0
33,B,"I mean, this is, there, there are people that, that make it, have a thriving business, uh, that do nothing but heating and air conditioning on, on automobiles and trucks,",,,,0
34,B,"and, uh, the only reason I didn't, uh, get into that more, when I was, had my little business, was because, uh, most of your, uh, air conditioning in, in, on vehicles tend to be greasy and dirty to the N-th degree",,,,0
35,A,Uh-huh.,,,,0
36,B,"and I mean,",,,,0
37,B,"so, uh, that's why I stayed in, stayed more towards, uh, uh,",,,,0
38,B,"and that's a polluting type deal too, is the excessive, um, you know, uh, petroleum products in your engine bay and so forth, and the dirt and grit and those two mixed together with, with water and, uh, like knocking on a really make, uh, make a mess.",,,,0
39,A,"Um, yeah,",,,,0
40,A,"yeah,",,,,0
41,A,"I hate to see a car going down the street, or even a truck or bus for that matter, that's putting out a lot of dark smoke,",,,,0
42,B,Uh-huh.,,,,0
43,A,"and I know there's a lot of pollutants we can't even see coming out of cars,",,,,0
44,B,Right.,,,,0
45,A,"but that, that particular bothers me.",,,,0
46,B,"Well, most, most, most of the time when you see bus, uh, you know, the busses with the diesel that's, uh, those are carbon particles, and carbon dioxide and water vapor, uh,",,,,0
47,A,Uh-huh.,,,,0
48,B,"because when you, when diesel is burned it's it,",Minor Topic Start,,Talking about Diesel,1
49,B,"you know diesel fuel is burned in a, in the diesel engine",,,,1
50,B,"it's burned so completely, that you don't have any, uh, nitrous oxides, uh, or oxides of nitrogen, uh, to, uh, form because of, by virtue of the very combustion process of the diesel engine, because diesel oil is, uh, is not very volatile. You know, where gasoline, if you leave a little pail of gasoline out before long it's gone.",,,,1
51,A,Oh.,,,,1
52,A,Uh-huh.,,,,1
53,A,Yeah.,,,,1
54,B,"Diesel is going to be around, because it doesn't evaporate easily,",,,,1
55,B,"and it's got,",,,,1
56,B,"well, you know, its latent heat is high,",,,,1
57,B,"but it's slow burning at, at, uh, normal pressures.",,,,1
58,B,"That's why your diesel engines have such high compression ratios as the, as the air is heated, you know, by virtue of the compression process to like one to nineteen or nineteen to one ratio",Minor Topic End,,,1
59,A,"Oh, I see.",,,,0
60,A,Uh-huh.,,,,0
61,A,Uh-huh.,Major topic end,,,0
