Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,so you're into microwave cooking.,,,
B,"Yeah,",,,
B,"it's just, it's so easy nowadays, you know,",,,
B,"and it's, uh, especially when people are working just to come home and pop something into the microwave",,,
B,and it be ready in just a few minutes,,,
A,", yes,",,,
A,"and that's what we all are looking for, isn't it,",,,
A,something that we can just cook in a hurry after we get off work.,,,
B,Yeah.,,,
A,I've gotten in the habit of cooking something big on the weekends so that I have leftovers all week.,,,
B,All week.,,,
B,"Well, we've done that, too.",,,
B,"There's just my husband and I,",,,
B,"and he, he sometimes makes a huge spot uh, pot of spaghetti",,,
A,Uh-huh.,,,
B,"and, you know, we're eating it for a week and a half,",,,
B,and I kind of get sick of it after he,,,
A,I know.,,,
A,I try not to make too much.,,,
A,"It's just my husband and I, too",,,
B,Uh-huh.,,,
A,and I try not to make so much that it lasts more than that week,,,
B,Yeah,,,
A,"but, uh, I usually, I usually like to make spaghetti or soup or chili or, you know, something like that or sometimes a roast,",,,
B,Right.,,,
A,"but,",,,
B,Right.,,,
A,What's your favorite thing to cook if you're having a dinner party?,,,
B,"Um, I have a great recipe for sour cream chicken enchiladas",,,
A,"Oh, oh.",,,
B,"it's, it's really good,",,,
B,I got it from a friend of mine that I used to work with,,,
A,Uh-huh.,,,
B,"and, uh, every time I've served it, everybody just loves it.",,,
A,"Ooh,",,,
A,that sounds delicious.,,,
B,"So that's, that's one of my favorite things to make.",,,
A,Uh-huh.,,,
B,What about you?,,,
A,"I end up with an old stand-by that we call Russian chicken, because it's so easy",,,
B,Uh-huh.,,,
A,"and, uh, it",,,
A,"you have to cook very little to go with it, just some rice and some salad",,,
A,"and that's about it, you know.",,,
B,Uh-huh.,,,
B,"Well, what do you put in it?",,,
A,"Uh, you make, you just take your boneless chicken breasts",,,
A,"and then you take and make a, a dressing out of, uh, Russian dressing, one bottle of that and a package of Lipton Onion Soup mix and three ounces of apricot preserves",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,"Ooh,",,,
B,that sounds good.,,,
A,"and you mix it up,",,,
A,"and you just put it on the top of the chicken,",,,
A,and then I cover the pan with foil and put it in the oven for about an hour,,,
B,Uh-huh.,,,
A,and then I take the foil off and let it brown takes about another twenty minutes,,,
B,Uh-huh.,,,
B,Uh-huh.,,,
A,and it's delicious,,,
B,"Ooh,",,,
B,that sounds good.,,,
