Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,Gene,,,
A,"So, it's nice to talk with you",,,
A,"and, um, food is a very intriguing thing.",,,
A,"Our lives are, are built around foods that we like and, nutritionally good for us.",,,
B,"Yes, sir.",,,
A,What kind of dining out do you like?,,,
B,"Well, there is two kinds.",,,
B,"One I guess I'd say is with my wife where we enjoy, uh oh, I guess we usually enjoy a good seafood restaurant.",,,
A,Oh.,,,
B,"Uh, you know, something nice.",,,
A,Yeah.,,,
B,"And the other is with my whole family whom we, uh, go somewhere that the kids will enjoy",,,
B,"Uh, recently we have been hitting Pancho's up.",,,
B,It's a local Mexican restaurant.,,,
A,Uh-huh.,,,
B,"because they have got a good rate on, you know, good prices and everything.",,,
A,"Pancho's, that's,  a new  one.",,,
B,Yeah.,,,
B,"Yeah,",,,
A,Uh-huh.,,,
B,"it's, it's a chain down uh,",,,
B,it goes up into Colorado and down here.,,,
B,I don't know where else it is.,,,
B,What about you?,,,
A,We have  one called Chi Chi's in in our area.,,,
B,"Oh, yeah.",,,
A,"And, uh, we had a restaurant called La Bamba",,,
A,"but it's just, it closed recently.",,,
A,"But Chi Chi's is a national restaurant, I think.",,,
A,Isn't it Mexican?,,,
B,"I think,  think it might be.",,,
A,Do you  have it there?,,,
B,I've I think I've seen it around.,,,
B,"Yes, sir.",,,
A,Uh-huh.,,,
B,Yeah.,,,
A,"Well,  I love Mexican food myself.",,,
B,"Oh, do you?",,,
B,Yeah.,,,
A,But you go ahead now,,,
B,"Oh, we, we do too.",,,
B,"We, uh, we enjoy Mexican food.",,,
B,I'm just not impressed with the quality of it.,,,
B,"It's just primarily the price that's, uh, satisfying at this point.",,,
B,"But the kids,  seem to enjoy it.",,,
A,Is that right?,,,
A,Uh-huh.,,,
B,"Uh, and, uh, let's see.",,,
B,"We've, uh, just recently discovered a super restaurant down here",,,
B,"but it's, uh, not part of a chain",,,
B,it's just an individually owned seafood restaurant.,,,
B,"But the first one we've been to that, uh, I don't think there was anything on the menu, that, that any of us had",,,
B,"that was, uh, not just really super.",,,
B,It's nice to find a place like that.,,,
A,"Oh, boy that is wonderful.",,,
B,Yeah.,,,
A,"Well, I, I agree with you on that.",,,
A,And I was really a seafood addict myself.,,,
A,"I, I love crab meat in particular.",,,
B,Um.,,,
A,"I, uh, I can almost live on, on seafood and almost live on the crab meat if I had to.",,,
B,"Oh, boy.",,,
B,"Have you ever been to, uh, what is it, Original Book Binders in Philadelphia?",,,
A,"I, uh, know the name",,,
A,but I haven't been there.,,,
B,"Uh, that's an old established, uh, restaurant.",,,
B,I used to go there when I was in college.,,,
A,Uh-huh.,,,
A,Where did you go to college?,,,
B,"Uh, I went to the Naval Academy.",,,
A,"Oh, the  U S ,  Naval Academy?",,,
B,"And we used to,  we use to go up there on, uh, for football games sometimes. And have some liberty.",,,
A,Uh-huh.,,,
B,"And,",,,
B,"yeah,",,,
B,"we would go over there to, uh,",,,
B,"pretty sure it was original, Original Book Binders",,,
B,"I think it was,",,,
B,yes.,,,
A,I'll be darn.,,,
B,I haven't been back there in years.,,,
A,"Well, we're, we're supposed to be talking about dinning out,",,,
A,"but I'll just make one comment that, uh, I just retired from Penn State,",,,
A,"and, uh, all my work has been in research for the Navy",,,
B,Okay.,,,
B,What area?,,,
A,Underwater acoustics.,,,
B,Is that right?,,,
B,"Did you have any dealings with the, uh, underwater sound reference laboratory in Orlando, Florida?",,,
A,"I have dealt with nearly all of the, all of the research laboratories that the country has.",,,
B,"Yes, sir.",,,
B,"My dad worked there for years, and years.",,,
A,Uh-huh.,,,
B,"That's that's, uh, that's where I grew up was down in Orlando.",,,
B,"So,",,,
A,"Oh,  you grew up in Orlando.",,,
A,Uh-huh.,,,
B,"That's, uh, that's interesting, Well, I was in submarines. Uh,",,,
A,"Well, that's what I worked on.",,,
B,"Okay,",,,
B,"yeah,",,,
B,"must have had some interesting, uh, assignments for you there.",,,
B,when did you retire?,,,
A,The end of last month.,,,
B,"Well, great.",,,
B,I'm sure you've seen some interesting developments in acoustics.,,,
A,I certainly have,,,
B,Yeah.,,,
A,"So, I hate to, uh,",,,
A,"I wish I could talk to you about that, uh,",,,
A,"but, uh, I guess we should continue on, uh,",,,
B,Okay.,,,
A,Okay.,,,
B,Right.,,,
B,"Where's,",,,
A,How  do you like Chinese food?,,,
B,"Oh, we, we do enjoy that.",,,
B,"Yes, sir.",,,
B,"Uh, I don't know if we are particularly adventurous,",,,
B,"we find something we like, uh, like cashew shrimp or something that's got a good, uh, at a particular restaurant",,,
B,and then we usually stick by it.,,,
B,"But do you,  What about you?",,,
A,Uh-huh.,,,
A,"Well, I, uh, enjoy the Szechuan type of, uh, Chinese food.",,,
B,Hot?,,,
A,Yes.,,,
B,Uh-huh.,,,
A,"Yep, uh,",,,
A,"it's, uh,",,,
A,"I, I do a lot of Chinese cooking myself.",,,
A,I have in the past.,,,
A,"I haven't done recently,",,,
A,"but, uh, it's in the sweet and sour porks and things like are just really delicious meals.",,,
B,Um. Where did you learn how to do Chinese cooking?,,,
A,"Uh, just at home.",,,
B,Uh-huh.,,,
A,"I, I enjoyed the food",,,
A,"and I bought a lot of, uh, good cookbooks,",,,
A,and I've been following through on that.,,,
A,"When you find the right cookbook, why it works out.",,,
B,Uh-huh.,,,
B,What's a good reference cookbook for Chinese food?,,,
A,"Okay,",,,
A,"well, that one's a good question.",,,
A,Here it's right under my nose if I can find it,,,
A,"Oh, boy.",,,
B,"I guess one of the things we've, uh, started avoiding is the, uh, run of the mill chop suey and things like that.",,,
A,"Yeah,",,,
A,right.,,,
B,"But we enjoy  trying, uh, different kinds of chicken or, uh, you know, even, uh, shrimp, uh, dishes that are fixed in a Chinese restaurant.",,,
A,One of this book I have is called CHINESE COOKING MADE EASY.,,,
A,"Uh, it's a paperback",,,
A,and I think it's by someone named Chang.,,,
A,"Yeah,",,,
A,Isabelle Chang.,,,
B,"Okay,",,,
B,"thanks for that, uh, reference.",,,
A,"Yeah,",,,
A,yeah.,,,
A,I think you will enjoy that.,,,
B,"Okay,",,,
B,good.,,,
B,Yeah.,,,
A,"Well, it certainly is nice talking with you Gene.",,,
A,"And, uh, what is your phone at home?",,,
