Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Uh, I don't go to the movies a whole lot,",,,
A,"but, uh, I went two or three weeks ago for the first time in a long time and saw DANCES WITH WOLVES, which turned out to be an extremely good movie.",,,
B,I haven't seen that yet.,,,
B,"I, I, I hear,",,,
B,"we, a whole bunch of us were going to go see it.",,,
B,"It's playing at school actually in about two weeks, I guess.",,,
B,So we're going to go see that.,,,
B,But you enjoyed that?,,,
A,"Yeah,",,,
A,"it's, it's something that, uh,",,,
A,"my brother lives over in Fort Worth,",,,
A,"and I was telling him about a couple of weeks ago,",,,
A,"and he said, Well I'll wait until it comes out on, uh, tape and rent, rent the video.",,,
A,"And I said, no,",,,
A,this is not one that you want to do that with.,,,
B,"That's what I heard,",,,
B,yeah.,,,
A,"It's, uh, the scenery and the landscape and the country that they're in needs a big screen.",,,
A,"It's just beautiful country with the hills and the trees and the buffalo and the whole thing,",,,
A,"it's just, uh, just amazing, amazing picture.",,,
B,"Yeah,",,,
B,"I've heard it, it, it's not one for the videos.",,,
A,"No,",,,
A,"it's one I think,",,,
A,"but, you know, every now and then you find one that you say, yeah,",,,
A,this is my favorite movie.,,,
A,"Well, this is the one for me this time.",,,
B,Really.,,,
A,Yeah.,,,
A,What have you been to lately?,,,
B,"Um, let's see.",,,
B,"Well, uh, this is almost, sort of funny.",,,
B,"I was just um,",,,
B,"friend and I went to see OUT FOR JUSTICE which is Steven Segal, because, uh, we're both big karate fans.",,,
A,Yeah.,,,
A,"Oh, yeah.",,,
B,So we wanted to see what this is like.,,,
B,"And, uh, impressed with actually.",,,
A,Is that right?,,,
B,"Yeah,",,,
B,"I wasn't, I mean, I've seen his other movies,",,,
B,and I just think he's pretty good.,,,
A,Yeah.,,,
B,"But, uh, this movie,",,,
B,I'm convinced now he can act.,,,
A,Uh-huh.,,,
A,How's his karate?,,,
B,"Oh, his, his, his karate is pretty good.",,,
B,I think in this one it wasn't so good.,,,
B,"I generally, um,",,,
B,"movies like that scare me, though.",,,
B,"I'd be just fine without them, because, you know, kids come running out wanting to beat each other up.",,,
A,"Well, well they do,",,,
A,they get,,,
B,Fighting.,,,
A,"I remember when we used to go to see, well I remember when GRAND PRIX came out when I was a kid, and some other movies like that.",,,
A,We wanted to jump in the cars and race.,,,
B,Right.,,,
A,And I suspect today what they see is bound to be what they want to do when they get out of it.,,,
B,"Yeah,",,,
B,"yeah,",,,
B,"well, that, that was number one for the week actually, too,",,,
B,"so, so it was a little bit, uh,",,,
B,"I was thinking, Wow,",,,
B,people must be into crime movies again.,,,
B,"But, but in the middle of that conversation we sort or picked an, um, an interesting point.",,,
B,Last year's number one movie for the year was GHOSTS.,,,
A,Is that right?,,,
B,I don't know if you saw GHOSTS or not.,,,
A,I did see GHOSTS.,,,
B,"Yeah,",,,
B,"and, and, and that was, that, that helped us sort of feel good about, you know, about ourselves and about one around us, in that at least, at least, if everyone's running around seeing karate movies and stuff like that, at least they're still going to see the real good movies, you know.",,,
A,Yeah.,,,
A,I think that GHOSTS was one of those that a lot of people didn't think was going to be any good.,,,
B,Yeah.,,,
A,And it turned out to be an excellent movie.,,,
B,Yeah.,,,
B,"It was, it, I was absolutely enthralled by it.",,,
A,"I've forgotten the guy's name who was in it, who had the lead role.",,,
B,"Oh, Patrick Swayze?",,,
A,"Yeah,",,,
A,and I especially like him.,,,
B,"Yeah,",,,
B,he's very good.,,,
A,He's a really good guy.,,,
A,"Other than that, DANCES WITH WOLVES seems like to be the only thing I've seen in the past several months to have any,",,,
B,"Really,",,,
B,I'm trying to think what else I've seen recently.,,,
B,What else have we seen recently.,,,
B,"Oh, you know, what's pretty cute actually. Um,",,,
B,DEFENDING YOUR LIFE.,,,
A,Is that right.,,,
B,Have you heard of it?,,,
A,"I've, I've seen the ads for it,",,,
A,but I'm not real sure what it's about.,,,
B,"Yeah, um,",,,
B,"I actually hadn't heard anything about it,",,,
B,"and some friends called up and said do you want to go see this movie,",,,
B,"and, and they said it starred, um, Meryl Streep and Mel Brooks,",,,
B,at first they told me.,,,
A,Yeah.,,,
B,"And I thought, what a strange combination,",,,
B,Mel Brooks and Meryl Streep.,,,
A,That is a strange combination.,,,
B,"Well, actually, it starred, that, that it's actually Albert Brooks,",,,
B,so it's lot better.,,,
B,Mel Brooks you probably know.,,,
A,Yeah.,,,
B,"I know,",,,
B,"so it, it was a strange combination.",,,
B,But it turned out to be a very cute movie.,,,
B,"I mean, the whole premise is that they go out",,,
B,"and, and they die",,,
A,"Oh, yeah.",,,
B,"and they have to,",,,
A,Both of them.,,,
B,Right.,,,
B,"Both of them are dead,",,,
B,"and they happen to meet in this, this town, um, this, this sort of city where you're set up.",,,
B,"You know, they go",,,
B,and they decide if you can move up to the next level.,,,
A,Oh.,,,
B,"I don't know if you've ever read Jonathan Livingston Seagull,",,,
B,but it's something like that.,,,
A,"Yeah,",,,
A,years ago.,,,
B,"They sort of move up to levels,",,,
B,"and, and they have to decide whether or not they're good enough,",,,
B,"and as it turns out, you know, they meet there and fall in love and stuff like that.",,,
A,Oh.,,,
B,So you can guess the rest of the plot.,,,
B,"It actually, it's, it's really funny because they run through, you know, what they have them do is sit down and see scenes of their lives.",,,
A,"Oh, yeah.",,,
A,And then defend it.,,,
B,And that's pretty good actually.,,,
A,"Well, I guess that's where the title comes from then.",,,
B,Yeah.,,,
B,And it's,,,
B,you actually have to go up there,,,
B,"and you have a, they have an attorney for, you know, attorney for you and attorney,",,,
B,"a defense and a prosecution,",,,
B,"and you know, the prosecutor's job is to make sure you don't move up a level,",,,
B,"and the defense's job is to make sure that you, you do, you know.",,,
B,"It's, uh, it's a neat little story actually.",,,
A,"Yeah,",,,
A,it is.,,,
