Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,Why don't you tell me about your choir.,,,
B,Oh.,,,
B,"Okay,",,,
B,"well, we, uh, are a group of, uh, musicians that just kind of have, you know, formed out of a desire to sing",,,
B,"and many of the people in the group are very professional in the sense that they, or just real talented I should say.",,,
A,Uh-huh.,,,
B,"Lot of them are former music teachers or currently teaching. Uh,",,,
B,"others have,",,,
B,"there's one gal that's in the, uh, Plano Community Orchestra. Uh,",,,
B,"just, you know, different backgrounds.",,,
B,It's been really kind of interesting.,,,
A,Great.,,,
B,"So,",,,
A,"Uh, I play the piano",,,
B,Um.,,,
A,"and, uh, I have a four year old who, who has started to play the piano.",,,
A,"He does that, uh, musically, listens",,,
A,"and then he can play, which is kind of interesting.",,,
B,"Oh, yeah.",,,
A,"I think it's because he's always heard music in our home all the, since he was a baby.",,,
B,Uh-huh.,,,
A,"Uh, my husband and my other son, who's eleven just got through singing in a musical here, in, in the community at Music Man.",,,
B,"Oh, they did?",,,
A,"Yeah,",,,
A,and that's lots of fun.,,,
B,"How did, How did they get involved in that?",,,
A,"Uh, basically they read in the newspaper that there were open auditions.",,,
A,It was the Plano Repertory Theatre.,,,
B,Uh-huh.,,,
A,And so they went and tried out,,,
A,and my husband played Harold Hill from the Music Man,,,
A,and my son played one of the children in a band.,,,
B,"Oh, how fun.",,,
A,"So, yeah,",,,
A,"it was really fun,",,,
A,"and, uh, my son plays the clarinet in his band at school,",,,
A,"and my daughter takes piano lessons, too.",,,
B,Uh-huh.,,,
A,"But, uh, we just really like music.",,,
A,"It's a, I, I especially like it as an outlet when the T V goes off,",,,
A,we get the T V off and just have some nice quiet music.,,,
B,"Um, uh-huh,",,,
B,um.,,,
B,"Yeah,",,,
B,"yeah,",,,
B,that's nice.,,,
B,You say have your four year old taking lessons already?,,,
A,Uh-huh.,,,
B,"And, uh, who do you have her, or him, take it from?",,,
A,"Uh, I have him take from a friend of mine who teaches Suzuki. Which is an auditory type learning experience.",,,
B,Uh-huh.,,,
A,You listen to the music and then learn to play it by by hearing the intervals and things like that.,,,
B,Uh-huh.,,,
A,"I teach, uh, like what is traditionally taught, you know,",,,
A,you look at the note on the page,,,
A,"and you play what's on the piano,",,,
A,but he can't learn like that.,,,
A,He's a delayed child.,,,
A,"He's only about, I guess he's about two and a half in his real understanding of things.",,,
B,Oh.,,,
A,"And, uh, so when my friend played something on the piano and he played it, uh, with his right hand,",,,
A,"we went, wow",,,
B,Uh-huh.,,,
A,"we better have him do do something. You know, educationally.",,,
B,Yeah.,,,
B,Yeah.,,,
A,So that was really fun.,,,
B,"Well, because my,",,,
A,"My husband and  I love to go to the musicals downtown, though.",,,
B,Pardon  me?,,,
A,"So,  my husband and I love to go to the musicals when they come into town into Dallas.",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,"Well, I have an eight and a half year old daughter who's taking piano lessons and started out at the age of just turning five",,,
A,Um.,,,
B,"because she wanted, you know, she just seemed to enjoy it so much",,,
B,"and now my, my four year old, four and a half year old daughter is, is trying to imitate her older sister and wanting to play",,,
B,and she actually does some very nice chording just naturally.,,,
B,"She just,",,,
A,"Oh, I think that's great.",,,
B,So I wasn't sure when to start her.,,,
B,"I didn't want to push her too early, either, but, uh, kind of had a mixed feelings about that scene.",,,
A,"That's really hard I think, because, especially if you start them",,,
A,and then they get pretty good,,,
A,"and then they get close, ten, you know, eleven or something,",,,
A,"they go, I don't want to do this anymore",,,
A,"and you're like God, I really want you to do it.",,,
B,Uh-huh,,,
B,Yeah.,,,
A,You know.,,,
B,Yeah.,,,
A,"So sometimes it's hard to, to know exactly when,",,,
A,"but, I don't know,",,,
A,if she acts like she wants to or says she wants to maybe you could have her take some for a while and see how she likes it.,,,
B,"Uh-huh,",,,
B,uh-huh.,,,
B,"Yeah,",,,
B,"I think she'd like to,",,,
B,"I just don't know if it's really,",,,
B,"knowing from what my daughter has gone through, she's, she learned a lot",,,
B,"and, of course, it was something she had to keep relearning if she ever got away from it.",,,
A,Uh-huh.,,,
B,It was something easily forgotten.,,,
B,"So, uh, I don't know if she's any farther ahead than those kids who started when they were eight",,,
B,"or, or should I say seven.",,,
B,"I mean, she's not a gifted pianist in the sense that she's going to excel just naturally.",,,
B,"She does have to really work at it,",,,
B,"but, uh, so,",,,
A,That's like me.,,,
B,"Yeah,",,,
B,"but, so I'm kind of, you know, just playing with it,",,,
B,"but at this point we're going to kind of wait, I think just more for the financial reasons of it anyway",,,
B,"but,",,,
A,"Well, it can get expensive",,,
B,Yeah.,,,
A,that's for sure.,,,
B,Yeah.,,,
A,"I, my friend is, is very generous in, in letting us have my children, uh, do the Suzuki method without paying a lot out.",,,
B,Uh-huh.,,,
B,"Oh, that's good.",,,
A,"Yeah,",,,
A,so it's been good for our family.,,,
B,"Well, as a piano teacher, do you have any feelings for kids who come from a Suzuki method,",,,
B,have you had any former Suzuki students?,,,
A,"I don't have any Suzuki students. Uh,",,,
B,"I was wondering how,",,,
A,"Something happening to me at Christmas time that, that verified to me that I will",,,
