Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Well I grew up out in the country and, uh, was used to having, uh, guns around the place",,,
A,"and, uh, I'm, uh, not for gun control, in the strictest sense of the, uh, word.",,,
B,Uh-huh.,,,
B,Uh-huh.,,,
B,"I, I think I'm kind of bent towards middle liberal of the bridge myself.",,,
A,Yeah.,,,
B,"You know, I have quite a collection myself",,,
B,"and, you know, I'm a good hunter",,,
B,and I started hunting when I was twelve years old.,,,
B,"Of course, my parents made me take hunters safety classes",,,
B,"and, you know, I don't want to see them ban guns completely",,,
A,Yeah.,,,
B,but I don't want them to completely turn loose of their controls either,,,
B,"so,",,,
A,Yeah.,,,
A,"Well I, I feel that its, uh,",,,
A,"I think the what was National Rifle Association, uh, had this bumper sticker a few years back if, uh, about if you outlaw guns,",,,
A,only outlaws will have guns then.,,,
B,I believe that.,,,
A,"And I believe that too because the person that is wanting to, commit a crime is going to find a way to get a gum, a a gun, a knife, a, a rock, a stick, whatever it is, to commit a crime with,",,,
B,Yeah.,,,
B,Yeah.,,,
A,"and it's the honest citizens like ourselves that are responsible about use of guns, uh,",,,
A,we can handle it,,,
A,but there's an element that can't.,,,
B,Yeah,,,
B,"and it's, you know, it's got to the point now where even our, our police departments and our D E A agents and everything have to carry automatic weapons",,,
B,because everybody that's in drug trafficking has got them.,,,
A,They have got them outgunned.,,,
B,You know. Yeah.,,,
B,So.,,,
A,"There was a  an article in the paper just this week where I think it's, uh, one of the gun companies, I can't remember which, was developing a ten metal, ten millimeter automatic pistol for the F B I which would give them additional firepower.",,,
B,Um.,,,
A,"It had, held like a fifteen shot clip, which, uh, would be able, they would be able to put down anything that came at them,",,,
B,Yeah,,,
B,"Yeah,",,,
B,"that would be,",,,
A,"but you  figure you got some drug guy out there that's got an Uzi machine gun, uh, a thirty-eight, uh,",,,
B,"Yeah,",,,
B,"that's,",,,
A,Smith and Wesson revolver isn't going to do you much good.,,,
B,No,,,
B,it's sure not.,,,
B,Huh-uh.,,,
A,Yeah.,,,
A,"I have lived in, uh, Illinois at one time",,,
A,"and they, they passed a, uh, it wasn't really gun control",,,
A,"but it was, you had to register as a gun owner,",,,
A,"you didn't have to list your guns,",,,
B,Yeah.,,,
A,"but you had to have this card,",,,
A,it was like a driver's license card that you had to have it in order to buy ammunition,,,
B,Um.,,,
A,"and that was the first, uh,",,,
A,this was twenty years ago.,,,
B,Yeah.,,,
A,But they had that so that they were trying to control it a little bit  in that respect.,,,
B,"See in California they,  In California they make you register when you buy ammunition.",,,
A,Pardon?,,,
A,Yeah.,,,
A,Uh-huh.,,,
B,"You have to sign a, you know,",,,
B,"they take your name and driver's license number, hunter, hunting license number and all that good stuff, before you can buy any big ammunition. Especially for handguns,",,,
A,Yeah.,,,
A,Yeah.,,,
A,Yeah.,,,
B,"now rifles aren't too bad,",,,
B,"but, you know, any kind of handgun at all, if it will fit in a handgun and a rifle you would still have to buy it, or sign up for it,",,,
A,Yeah.,,,
B,so.,,,
A,We lived in Tennessee for awhile,,,
A,and I bought a pistol there,,,
A,and there was a fifteen day waiting period.,,,
A,"You had to fill out an application and, go down to the sheriff's office and get fingerprinted",,,
B,Uh-huh.,,,
A,"and, then you had fifteen days while they checked to see if you had any kind of criminal record before that you could pick up the gun you were purchasing.",,,
B,Gee.,,,
B,"Gee, that's not a bad idea.",,,
A,"No,",,,
A,"I think that, uh, you know, a, a waiting period, uh, can make a difference",,,
B,Yeah.,,,
A,but again it's going to be the law abiding citizen that's going to comply with that.,,,
B,"Yeah,",,,
B,yeah,,,
B,it is.,,,
A,"So there's,  I don't,  think there's any way to control the criminal element as far as guns is concerned because,",,,
B,No.,,,
B,"the only way they could do it I think, would be to stiffen the penalties on anybody using a gun.",,,
A,"Right,",,,
A,right.,,,
B,"You know, I think if we kind of stiffen them up a little bit, course,",,,
B,"I, I feel kind of weird about that anyway,",,,
B,"I think if somebody shoots somebody, they ought to be shot.",,,
A,"Yeah,",,,
A,"I'm,",,,
B,So.,,,
A,"We, we're getting into capital punishment now",,,
B,"Yeah,",,,
B,"but, you know.",,,
A,"But I, I agree with you there that, uh,",,,
B,It would definitely be gun control,,,
A,Yeah.,,,
A,"The, uh, the, again the purpose of gun control is to control how it is being used is what the purpose should be.",,,
B,Yeah.,,,
B,Yeah.,,,
A,"It's not to keep people from buying a gun that need one for a specific purpose, legal purpose but to keep the guy that's illegal from getting his hands on one.",,,
B,Yeah.,,,
B,Yeah.,,,
A,"And I'm in favor of keeping the, the illegal guy from getting one in his hands",,,
A,"but, the legal person or lawful person should not be penalized because there is the criminal element.",,,
B,Myself.,,,
B,Yeah.,,,
B,"Well and they're actually a necessity in life,  you know.",,,
A,Oh yes.,,,
B,"They're not, you know,",,,
B,not everybody needs a gun,,,
B,but sooner or later I need one.,,,
B,"You know, whether I'm out hunting or you know,",,,
B,"I'm never had to protect my life or,",,,
A,Yeah.,,,
B,"well I did in the service but not, you know, not on the street",,,
B,"so I don't really need one in the, in the aspects ,",,,
A,"You don't have to carry one in your car or your, uh, or your pocket all the time.",,,
B,"No,",,,
B,huh-uh.,,,
A,Yeah.,,,
B,No.,,,
B,"So mine are, you know, I use mine for recreation,",,,
A,Yeah.,,,
B,"I don't,",,,
B,and I enjoyed my guns.,,,
A,Yeah.,,,
B,I have a good time with them,,,
B,"so,",,,
A,"Well I know what, uh,",,,
A,"I took my kids out and taught them out, how to shoot a gun.",,,
A,"My wife the same thing, uh, she knows how to shoot any weapon that we have not that I have an arsenal or anything,",,,
B,Yeah.,,,
A,but we have several guns around the house,,,
A,one of these days my grandkids probably.,,,
B,Probably.,,,
B,Yeah.,,,
A,"But I think it's, uh,",,,
A,"you got to have, have the",,,
A,living in Dallas there's not that many places to go shoot,,,
A,"but, uh, still I think they ought to know how to use one and that it's not just a toy and that when, it's not like on T V when someone gets shot, uh, they get back up.",,,
B,"No,",,,
B,huh-uh.,,,
A,"If someone gets shot with a, real gun they don't get back up.",,,
B,Yeah.,,,
B,Yeah.,,,
B,"I had to explain that to my,",,,
B,I've got a six year old now,,,
B,"and he, you know,",,,
B,"I have a fifteen year old and a seventeen year old, well",,,
B,they understand now.,,,
A,Yeah.,,,
B,You know I've taken time to teach them,,,
B,and now the young boy wants to know,,,
B,"and, you know, like I told him, you're a little bit young for a gun. Let me go out here and, you know, we would start with the B B gun deal, you know,",,,
A,Yeah.,,,
B,so he started with the B B gun and shot a couple of holes in a couple of windows,,,
B,"and I took it away from him,",,,
B,"I said now, you know, so he's learning the hard way",,,
