Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Okay,",,,
A,I'll let you start this time.,,,
B,"Well, how much do you like lawn and garden work?",,,
A,"Well, uh, even though it's totally out of my, uh, my degree training, I've been working as, as, in the horticultural aspect, so the last, I don't know, fifteen, twenty years, so Uh, I'm,",,,
B,Oh.,,,
B,"Oh, for goodness sakes.",,,
B,What do you do?,,,
A,"Well, I work for the state as, as a grounds keeper.",,,
B,"Uh-huh,",,,
B,"well, that's interesting.",,,
B,"Um, so, at this time of the year are you doing much garden work?",,,
A,"No,",,,
A,"mostly snow removal, which we've had a lot of,",,,
A,"but, uh, I don't know,",,,
A,"I, I guess, uh, growing up on the farm and, and that, I, I've always had a big interest, uh.",,,
B,Right.,,,
A,"I have a, uh, when I have an area to do, I, I always had a big garden and enjoy working on lawns and, and everything.",,,
B,Uh-huh.,,,
B,"Well I love to work outside, really,",,,
B,and I enjoy flowers and stuff.,,,
B,"I don't do a whole lot of it, um, at this exact point in my life, um, because I have two teenage boys,",,,
B,and so they do all the lawn all the lawn care,,,
A,Okay.,,,
B,"but I still take care of the, you know, flower beds and things like that.",,,
B,"I was even planning to go out and to, uh, dig up some hibiscus plants that will not make it through the winter here, but, you know, were planted in the ground since last spring",,,
A,Uh-huh.,,,
B,"and I was going to dig them up for a friend and for some starters for me,",,,
B,"and lo and behold, about five days ago, we had a freeze down to about, oh, twenty-three degrees or something",,,
A,Uh-huh.,,,
B,so the hibiscus plants no longer exist,,,
A,"Oh, that's terrible.",,,
A,Twenty-three,,,
B,"And I really feel bad about it,",,,
B,"it's a plant that we've had for probably twenty-five years that these were cuttings off of, you know.",,,
A,Yeah.,,,
A,Yeah.,,,
B,"So, they're all gone at this point.",,,
B,"Gardening in Texas is really interesting, though.",,,
B,I grew up in Illinois,,,
A,Yeah.,,,
B,"and, um, Texas is just so hot in the summer and so dry,",,,
B,"why, you know, everyone that lives in town and has yards practically has uh, watering system.",,,
A,Uh-huh.,,,
B,"And so with that, why, our lawns do stay, um, you know, pretty nice all summer, if you water.",,,
A,Uh-huh.,,,
B,"But in the winter, we have Bermuda grass",,,
A,Uh-huh.,,,
B,and in the winter it turns as brown as a grocery sack,,,
A,"Right,",,,
A,yeah.,,,
B,and and I just think it's ugly,,,
B,"When I go back home to my parents in Illinois in the winter, you know, and their grass is fairly green.",,,
A,Uh-huh.,,,
A,"Yeah,",,,
A,"that's one, one aspect of a lot of those grasses, they go dormant.",,,
A,"I think the Saint Augustine and, uh, Centipede grass is another one you have quite a bit of down there",,,
B,"Uh-huh,",,,
B,uh-huh.,,,
A,"yeah,",,,
A,those two.,,,
B,Yeah.,,,
B,"Some people have, I think it's fescue that stays green all winter,",,,
A,Yeah.,,,
B,but they really have a heck of a time keeping it going in the middle of the summer.,,,
B,They have to water an incredible amount.,,,
B,"But, um, those those lawns look nice during the winter,",,,
B,"but, you know, they almost stick out like a, I guess not a sore thumb, a pretty thumb.",,,
B,"But, you know, when you look at the neighborhoods and they're all brown except the one, you know,",,,
B,"it's sort of like, well,",,,
A,"Well, I know my folks live, uh, in Arizona there,",,,
A,"and, uh, you know, they just grow rocks",,,
B,Right.,,,
A,"So. I know I was in, uh, Houston when I was working for a company once,",,,
A,"and we were taking care of lawns out there,",,,
A,"and, uh, that particular year they had just tons of rain, you know,",,,
A,it was raining continuously.,,,
B,Uh-huh.,,,
A,"And then, I know with all that moisture, a lot of the lawns get a lot of disease problems.",,,
B,"Yes,",,,
B,that's true.,,,
B,"Yeah,",,,
B,"Houston is a lot, um, a lot wetter than, than Dallas, Dallas area,",,,
B,"that's where Plano is,",,,
B,"and, um, and just humidity you know, just all the time, it's an awfully lot more humid.",,,
A,Uh-huh.,,,
A,"Are, are you, uh, able to get, uh, sometimes a double crops of, of certain things in your garden?",,,
B,"Yes,",,,
B,"uh-huh,",,,
B,I think people do.,,,
B,Yeah.,,,
B,"I don't have a vegetable garden,",,,
B,"haven't for, I guess I never have here, actually,",,,
B,"but, um, but, yes,",,,
B,"uh-huh,",,,
B,"we have Neil Sperry talks on the radio,",,,
