Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
A,"Perhaps this connection,",,,
A,"no,",,,
A,it still echoes.,,,
A,"Okay, um,",,,
B,Do you like to cook?,,,
A,I love it.,,,
B,I do too.,,,
A,"Uh,",,,
B,"It, it's kind of hard to find time sometimes",,,
B,"but,",,,
A,Do you work?,,,
B,Yes.,,,
A,And have a family?,,,
B,"Uh, I don't have a family,",,,
B,"but I, I usually work about fifty hours a week",,,
B,"and, by the time I get home I'm so tired it's hard to cook a full meal.",,,
A,Oh!,,,
A,I expect so.,,,
A,"Uh, well for a dinner party, I think one of my favorite things is baked chicken and white wine.",,,
B,"That's, that's really weird that you said that because for a dinner party, mine is, is a, is a chicken in a marsala wine sauce,",,,
A,Oh,,,
B,so  Where did you get your recipe for it?,,,
A,"Um, I guess mostly out of an international cookbook that I have.",,,
B,"Oh, okay.",,,
B,"Well mine actually came from the, um, Texas Instruments Cafeteria.",,,
A,Oh.,,,
B,"They, they,",,,
A,"They have a T I plant in Texas, in Kingsport?",,,
B,"Yeah,",,,
B,"we have,",,,
B,it's in Johnson City.,,,
A,"Oh, uh-huh.",,,
B,"And, um, the cafeteria is real good about putting out recipes, you know, like once a month,",,,
B,they'll put out a recipe of the month.,,,
A,"Uh-huh,",,,
A,great.,,,
B,"And they, they put this one out",,,
B,and I tried it,,,
B,and it was really good.,,,
A,"What is, uh, is a marsala wine a sweeter wine?",,,
B,"Yeah,",,,
B,a little bit sweeter.,,,
A,Uh-huh.,,,
B,"And it, uh, it's a, it's a red wine.",,,
A,Okay.,,,
B,"And, uh, I'm trying to think what else.",,,
B,"I, I roll it in bread crumbs and, uh, Parmesan cheese,",,,
A,Uh-huh.,,,
B,"and, then I rub it with a little bit, I rub the chicken with a little bit of oil, and pour the wine sauce over it as, like the last twenty minutes, so that it gets just enough flavor.",,,
A,Huh.,,,
A,Oh.,,,
A,"Oh, so it kind of browns",,,
A,and then you put wine over it.,,,
B,Right.,,,
A,Uh-huh.,,,
A,That sounds real good.,,,
B,"And, it's really easy too",,,
B,"so,",,,
A,Yeah.,,,
B,What do you use ?,,,
A,What do you serve with it?,,,
B,Huh?,,,
A,What do you serve with it?,,,
B,"I like to serve, um, a wild rice with it.",,,
A,Uh-huh.,,,
A,That's what I do too,,,
B,This is really neat.,,,
B,"And, I,",,,
B,we're big broccoli fans.,,,
A,Uh-huh,,,
A,that's what I've got.,,,
A,I've got steamed broccoli down on mine,,,
B,"Well, I just, I just don't think you can go wrong with something like that.",,,
A,"No,",,,
A,it's great.,,,
A,I've got a good dessert recipe.,,,
B,"Oh, what?",,,
A,"Uh, do you like angel food cake?",,,
B,Yes.,,,
A,"I just break it up in a glass bowl,",,,
B,Uh-huh.,,,
A,"and then I mix up, uh, some cream cheese and a little bit of Amaretta and some cool whip,",,,
B,Wow.,,,
A,and I make a thickened blueberry sauce,,,
A,"and I layer it with, uh, angel food cake and the blueberries and then that topping.",,,
B,What time should we be there?,,,
B,That sounds wonderful,,,
A,"It is, it's great.",,,
B,"I love desserts,",,,
B,"but since there's only two of us, it's really,",,,
A,Uh-huh.,,,
B,"I, I try to avoid making anything that, too fancy, that, we'd like too much and eat too much",,,
A,Right.,,,
A,"I know, I know what you mean.",,,
A,We don't eat desserts much any more.,,,
B,"But I, I guess one that, that I really like, that I haven't made in awhile,",,,
B,"and it's, it's called a fruit pizza.",,,
A,Uh-huh.,,,
B,"And you take a, uh, sugar cookie, uh, recipe, and, and spread it out on a pizza pan.",,,
A,Uh-huh.,,,
B,"So you make it like a pizza crust,",,,
B,"and then you, you bake that",,,
B,"and then you, um, take things like kiwi, and strawberries and bananas and whatever fresh fruit you want",,,
A,Uh-huh.,,,
B,"and you mix that with, um, excuse me, you use cream cheese and a little bit of orange juice",,,
B,and I can't remember what else is in it,,,
B,"and you make kind of a glaze,",,,
A,Uh-huh.,,,
B,and then you layer your fresh fruit on that.,,,
A,"Oh, and pour that over it?",,,
B,Yeah.,,,
A,That sounds great.,,,
B,"It is really good,",,,
B,"and it, it's real light",,,
A,It would be pretty.,,,
B,"and it,",,,
B,"depending on the fruit you use it's, you know, it's real colorful.",,,
A,Right.,,,
A,Yeah.,,,
B,Especially  with like the kiwi and the strawberries.,,,
