Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,Okay.,,,
A,Okay,,,
B,"Well, did you go to college?",,,
A,"Yes,",,,
A,I did.,,,
B,And where did you go?,,,
A,I went to a small liberal arts college in Virginia.,,,
B,Uh-huh.,,,
A,"Uh, it was Sweeper College of about seven hundred and fifty students.",,,
A,"I had gone to a small school growing up, uh,",,,
A,and a lot of my friends went to University of Michigan,,,
A,"but my parents were retiring in South Carolina when I graduated and, uh, were looking for a southern school and, uh, also U of M seemed overwhelming in size",,,
B,Uh-huh.,,,
A,"and, uh, what about you?",,,
B,I went to the University of Minnesota.,,,
A,"Oh, so you're from the Midwest, too.",,,
B,"I am,",,,
B,uh-huh.,,,
B,Where do you live now?,,,
A,"Uh, I live in Texas now.",,,
A,Where are you?,,,
B,"Well, I'm in Texas.",,,
B,I'm in Austin.,,,
A,"Oh, uh, my brother's in Austin.",,,
A,"Uh, he lives Lakeway.",,,
A,"He, uh, had moved, uh,",,,
A,we're in Plano.,,,
B,Uh-huh.,,,
A,"And,",,,
B,I'm familiar with Plano.,,,
B,I visited once or twice.,,,
A,"Oh, Austin is so pretty.",,,
A,I really like it,,,
B,"Oh, I love it.",,,
B,I love it.,,,
B,I really do.,,,
A,And your daughter is going to be a sophomore.,,,
B,That's correct.,,,
B,"I have two daughters,",,,
B,"but my oldest will be, will be a sophomore.",,,
A,"Is, uh, because you live in Austin, is she thinking about the University of Texas?",,,
B,She has her heart set on U T.,,,
B,"And, uh, you know, having gone to the University of Minnesota, I know what a big university is like.",,,
B,"And, uh, one thing that I did this summer, which I thought might benefit both my daughters is, my youngest daughter got involved in band,",,,
B,and Baylor has a band camp.,,,
A,Oh.,,,
B,"So she went for a week,",,,
B,"and it was overnight,",,,
B,and they lived in the dorms.,,,
B,"And I thought this would expose both of them to what it's, you know, like on a a smaller college campus.",,,
B,"And, uh, my oldest one just wasn't impressed at all with the idea of a small school.",,,
B,"So, uh, I, I, I still think the exposure was good.",,,
A,Yes.,,,
B,"The reason I ask if you went to college is I thought, well, you know,",,,
B,what were your selection criteria.,,,
B,Did you base it on what you wanted to major in or what you would feel comfortable with or what you could afford,,,
B,"or, you know, there's all of these areas to look at in making the decision.",,,
A,Uh-huh.,,,
A,"Those, and those were several, uh, that we did consider.",,,
A,"Uh, my parents, uh, certainly didn't push but wanted me to look in the south",,,
A,"and because I had been in a small school, they suggested that I probably, I,",,,
A,"when I say small, my graduating class had eighteen in it.",,,
B,"Oh, wow.",,,
A,"And so they suggested that I might want a smaller school because I was used to a lot of one-on-one uh, or small group situations.",,,
B,"Oh, definitely.",,,
A,And I did pick it because at the time I was interested in majoring in biology,,,
A,and I also wanted to spend one year studying in Europe.,,,
B,Uh-huh.,,,
A,"Uh, I had had an A F S student from Germany live with us our senior year",,,
B,"Oh, how exciting.",,,
A,and we just thought that would be a wonderful thing,,,
A,and I ended up majoring in French.,,,
A,One of the reasons I picked the school was because they had a strong science department.,,,
A,They also had a strong language department,,,
A,and I'd always loved working with children.,,,
A,"Uh, and I found that I couldn't fit everything in,",,,
A,but because I had had a fair amount of French going in I was able to do my year's study in France and able to take a lot of the other courses that interested me.,,,
B,Uh-huh.,,,
A,"Uh, and so that was some of,",,,
B,"Oh, that was, That worked out very well for you.",,,
A,but,,,
A,"several of the things you mentioned were the things that, uh, our son has talked a lot about Texas A and M.",,,
A,"He, but he thinks he wants to be a writer",,,
A,"and I don't think that,",,,
B,"Well, then he should come to U T.",,,
A,Yes,,,
A,"Uh, and really his, his graduating class will probably be in the neighborhood of eight hundred and fifty to a thousand.",,,
B,Uh-huh.,,,
A,"Uh, and so he's used to a bigger size",,,
B,Large classes.,,,
A,"and because my brother is there, uh, he would have family, close by.",,,
A,"So there, there are advantages. Uh,",,,
A,"but I also,",,,
A,"because I had so many friends who did go from our small school to University of Michigan, which was so large",,,
A,"and they really felt, uh, like they were numbers.",,,
B,"Oh, I went from a large high school to a large university",,,
B,and I definitely felt like I was a number.,,,
A,"You still,",,,
A,Yeah.,,,
B,"Uh, I mean, it is a different feeling.",,,
B,"But that was, that was my only option.",,,
B,"I, I mean, I just really couldn't look at anything else.",,,
B,"That was the one and only thing I could really afford other than a you know, a junior college, which I didn't want to do.",,,
B,"So that's how, you know, my decision was made.",,,
B,"But, uh,",,,
A,"Well, that's certainly,",,,
