Person,Conversation,Custom Tag,Custom Tag 2,Topic Description
B,All right.,,,
A,"Okay,",,,
A,so what do you think of the Giants?,,,
B,"Uh, I like the Giants.",,,
B,"They got, uh,",,,
B,"I probably didn't get into baseball until maybe, maybe three years ago really",,,
A,Yeah.,,,
B,"so, uh, but I, I just like the Giants.",,,
B,"I don't, I don't know why.",,,
B,I really got into them.,,,
B,"I read, uh, Dave Dreveki's book his autobiography",,,
A,"Oh, yeah.",,,
A,Yeah,,,
B,"and,",,,
A,wasn't that something of him.,,,
B,"Yeah,",,,
B,"that, that was incredible.",,,
A,"Yeah,",,,
A,"that's really a,",,,
A,"really proud of him though, the way he's, you know.",,,
B,"The way he handled that  entire situation, there.",,,
A,"Yeah,",,,
A,"really,  you know.",,,
B,"But, I just think the Giants have a good team.",,,
B,"They, they got all, you know,",,,
B,"they're, they're, they're real balanced out.",,,
B,"They got real good pitching,",,,
B,and they got the hitting to go along with it.,,,
B,So.,,,
A,"Yeah,",,,
A,I just don't understand why they're not right up there on the top you know.,,,
B,"Yeah,",,,
B,"they just they need that, I think they just need that one, one element to push them over the top, you know.",,,
B,"I don't really know what it is,",,,
B,"but, but every team that's, that's really good seems,",,,
B,"you know, like the A had, they had, they just had it all that one year.",,,
B,So.,,,
A,"Yeah,",,,
A,"um I was mostly an A fan, you know.",,,
A,"I had been to more games at the A than I have in the Giants because, uh, I lived in Oakland you know, for some time.",,,
B,Yeah.,,,
B,Yeah.,,,
A,"But, uh, I still like the Giants, though, you know",,,
B,"Yeah,",,,
B,"if you're a fan you got to stay with the team any way,  you know, you  good and the bad",,,
A,"Yeah,",,,
A,right.,,,
B,"but. It's, it's kind of hard.",,,
B,"I still, basically, the, the,",,,
B,"me and all my friends around here, since we don't have anywhere,",,,
B,"I mean, we can go to the Astros or the Rangers teams,",,,
B,"but since,",,,
B,"me, none of me and my friends are really, really like either one of those teams,",,,
B,"so  we, uh",,,
A,Uh-huh.,,,
B,"about, about the most baseball we get is either T V or we play it on Nintendo.",,,
B,We play R B I baseball on Nintendo,,,
B,"so. So that's just, you know, that's small town trying to make it through the not being around it really,",,,
A,"Yeah,",,,
A,"right,",,,
A,right.,,,
A,Yeah.,,,
B,but.,,,
A,"Yeah,",,,
A,right.,,,
A,"Well, I prefer uh, football over baseball,",,,
B,Yeah.,,,
B,"Yeah,",,,
B,"so do I,",,,
B,but baseball is still,,,
A,it's.,,,
B,"you got, you got to do something when football ain't on.",,,
B,So,,,
A,"So, hot dogs, baseball and apple pie. Huh.",,,
B,"Yeah,",,,
B,exactly.,,,
B,"This is America,",,,
B,so.,,,
A,"Yeah,",,,
A,um.,,,
B,But.,,,
A,So what do you think is going to happen this year to the teams?,,,
B,"Uh, I don't know, it's hard to say.",,,
B,"I haven't really, really,",,,
B,you have to just keep up with everything in the season.,,,
B,"It's kind of hard to do,",,,
B,"at least,  you know,  you have to read the paper and SPORTS ILLUSTRATED and everything to keep up with who they traded and who they picked up and, and all that,",,,
A,I know.,,,
B,"but, like I say, if they can, if they can get that one element that they were missing, I think the Giants can do it.",,,
A,"Yeah,",,,
A,"well, the Giants are.",,,
B,"They just,",,,
B,"I don't,",,,
B,yeah,,,
B,I don't really know about the A,,,
B,They kind of.,,,
A,"Yeah,",,,
A,"makes you sick, doesn't it?",,,
B,Yeah.,,,
B,"You hear what, you hear what, you hear what he did.",,,
A,Yes.,,,
B,"He ramming his wife's car,",,,
B,"and I was like, yeah.",,,
A,"He's like a little bitty kid, huh.",,,
B,"Yeah,",,,
B,"he's just a, a, a little boy with a lot of money.",,,
B,So.,,,
A,Yeah,,,
B,"That's just,",,,
B,"you know, but.",,,
A,"Yeah,",,,
A,"well, I guess the Giants or, might move away from San Francisco, it sounds like.",,,
B,"Yeah,",,,
B,"I've heard, I've heard talk about that.",,,
A,"You know, uh, they won't be that far away,",,,
A,"but San Francisco will be hurting, anyhow.",,,
B,"Yeah,",,,
B,they're not going to be happy about it.,,,
A,You know.,,,
B,But I hope they can do good.,,,
B,"I mean, that's just,",,,
B,"I think they're a good team. That just need that one, one little thing to push them over.",,,
B,I don't know exactly what it is.,,,
B,"They got,",,,
B,they're pretty balanced out all the way through.,,,
B,"It just might be the drive, you know more than anything else,",,,
A,Uh-huh.,,,
B,"they just, they probably just need something to push them because I, that's, that's the only thing I can see that's holding them back, is the ambition to do it.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"Or somebody basically,",,,
B,maybe they just need everybody to tell them they can't do it.,,,
B,"Maybe that's what, you know, that's what some teams need.",,,
B,Look at the Twins going from worst to first.,,,
A,"I know, isn't that something",,,
B,"Yeah,",,,
B,"my roommate my roommate's a Twins fan, for forever,",,,
A,"I couldn't believe that, huh.",,,
B,"so, he had his year this year,",,,
B,so.,,,
A,"Yeah,",,,
A,"I just, it.",,,
B,"We got we, we got into that a whole bunch.",,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"That was a, that was a series to remember, for sure.",,,
A,Uh-huh.,,,
B,"So I saw all seven games of that,",,,
A,Uh-huh.,,,
A,"Yeah,",,,
A,"yeah,",,,
A,"I couldn't believe that, you know.",,,
B,Yeah.,,,
A,"I don't, uh,",,,
A,there was Braves in that chanting that they had.,,,
A,That would drive you up a wall.,,,
B,Yeah,,,
B,"they,",,,
B,every team with the Indians been doing that now.,,,
A,You know.,,,
B,I can't figure out why.,,,
B,"You have to figure out why they're all doing that, I'm like, it's doesn't work, it's obvious it doesn't work because the, you know the Braves, Braves didn't win,",,,
A,"Yeah,",,,
A,"well, you're right",,,
B,"so, uh, why keep on doing something that didn't work,",,,
B,but I don't know.,,,
A,"Yeah,",,,
A,yeah.,,,
A,Yeah.,,,
B,"I was, I was kind of surprised that we were going to talk about baseball,",,,
B,and I get a woman's voice.,,,
B,"I was, I was, I was thinking, uh-huh,",,,
B,"I talked to a guy named Vinny last night about fixing your car,",,,
B,so.,,,
A,"Oh, really?",,,
B,"Yeah,",,,
B,"I got, I called, got a call the other night about, uh, fixing your automobile up,",,,
B,so.,,,
A,"Uh-huh,",,,
A,uh-huh.,,,
B,"Well, baseball's baseball.",,,
A,"Yeah,",,,
A,right.,,,
B,"It's kind of,",,,
B,"I don't know, it's kind of odd they pick,",,,
B,do you pick the topic or does the computer?,,,
A,"No,",,,
A,"uh, they give you a list of things that you want,",,,
